date,Liabilities,Assets,VAR,VAR_DATE,timestamp
2021-12-19,14078181923.646133,5577257198.081173,-4.270285828949819,2021-01-09,1639872000.0
2021-12-18,14201066700.610802,5641203872.441929,-4.314317229882134,2021-01-09,1639785600.0
2021-12-17,14180290533.512934,5742831350.05758,-4.187028702104177,2021-01-09,1639699200.0
2021-12-16,14213321538.15082,5682344120.065071,-4.280229583965369,2021-01-09,1639612800.0
2021-12-15,14182094703.6771,5633385984.434938,-4.320331529529114,2021-01-09,1639526400.0
2021-12-14,13865749859.087492,5610309766.027536,-4.108073983159533,2021-01-07,1639440000.0
2021-12-13,14151416581.768028,5848036233.674997,-4.099764030915446,2021-01-07,1639353600.0
2021-12-12,14814195793.801897,5910849425.094593,-4.543115242856349,2021-01-07,1639267200.0
2021-12-11,14588316052.165695,5967470752.191226,-4.471803779937997,2021-01-07,1639180800.0
2021-12-09,14638902769.378393,5888881292.559515,-4.624951499470551,2021-01-07,1639008000.0
2021-12-08,15111173343.983467,5924879444.706732,-4.930656692304914,2021-01-07,1638921600.0
2021-12-07,15026002142.493885,6005640940.218789,-4.812735340547869,2021-01-07,1638835200.0
2021-12-06,14926370370.947292,5998588025.159744,-4.788600966774693,2021-01-07,1638748800.0
2021-12-05,14616245417.123701,5953672523.8074465,-4.594257184042621,2021-01-07,1638662400.0
2021-12-04,14593265423.839094,5960947839.165739,-4.547401809384371,2021-01-07,1638576000.0
2021-12-03,15235069738.850687,6135221087.59102,-4.798024157299846,2021-01-07,1638489600.0
2021-12-02,15882755762.368208,6152273286.314819,-5.161249773579375,2021-01-07,1638403200.0
2021-12-01,16110520559.024117,6191259807.563026,-5.211909143953603,2021-01-07,1638316800.0
2021-11-30,16217419021.13091,6178495065.663832,-5.265862370209802,2021-01-07,1638230400.0
2021-11-29,15869543456.29617,6102558735.715387,-5.052688642015244,2021-01-09,1638144000.0
2021-11-28,15496945874.323725,6059712238.315597,-4.822668092083054,2021-01-09,1638057600.0
2021-11-27,15083724212.051245,5980835227.229086,-4.6528882699282095,2021-01-09,1637971200.0
2021-11-26,14970793373.258705,5921969720.123285,-4.634568802118577,2021-01-09,1637884800.0
2021-11-25,16397301855.009558,6083313220.823926,-5.35839325229049,2021-01-10,1637798400.0
2021-11-23,16250754986.400976,6146783585.859107,-5.154174260334788,2021-01-10,1637625600.0
2021-11-22,16012196944.112268,6202723918.388148,-4.95360623441274,2021-01-10,1637539200.0
2021-11-21,16402017835.143423,6179476656.740903,-5.170433693312174,2021-01-10,1637452800.0
2021-11-20,16492385155.218023,6134678117.650222,-5.290240580777592,2021-01-10,1637366400.0
2021-11-19,16041329740.35687,5918193543.624564,-5.153270901404686,2021-01-10,1637280000.0
2021-11-18,15515977467.487272,5919349488.325593,-4.844690277513432,2021-01-10,1637193600.0
2021-11-17,16269886100.17486,6018985449.47857,-5.238314112920091,2021-01-10,1637107200.0
2021-11-16,16185738693.712261,6153226746.117268,-5.194225310365312,2021-01-10,1637020800.0
2021-11-15,16928784360.419216,6250388465.910873,-5.600979327620942,2021-01-10,1636934400.0
2021-11-14,17136650657.660616,6319072071.363266,-5.665735558166871,2021-01-10,1636848000.0
2021-11-13,17072646801.676285,6249368361.182559,-5.6952763865131795,2021-01-10,1636761600.0
2021-11-12,17261977084.369152,6461523610.865914,-5.684998245151277,2021-01-10,1636675200.0
2021-11-11,17268583805.55267,6431186014.575326,-5.6768768048591145,2021-01-10,1636588800.0
2021-11-10,17135662953.196068,6444599100.082761,-5.5913734667369575,2021-01-10,1636502400.0
2021-11-09,17354646591.27149,6474146775.58187,-5.737768847686472,2021-01-10,1636416000.0
2021-11-08,17448721617.246006,6464973994.890028,-5.774216924157577,2021-01-10,1636329600.0
2021-11-07,16819753005.385954,6303013531.279331,-5.487090674945502,2021-01-10,1636243200.0
2021-11-06,16500272351.965424,6236695005.805021,-5.362460568617752,2021-01-10,1636156800.0
2021-11-05,16410951356.535753,6179833501.987884,-5.318165626875131,2021-01-10,1636070400.0
2021-11-04,16357608086.488672,6168563469.032182,-5.3181633422668355,2021-01-10,1635984000.0
2021-11-03,16547988498.822577,6152552643.424491,-5.3938507189413025,2021-01-10,1635897600.0
2021-11-02,16624803045.101963,6228288766.898014,-5.37414237477792,2021-01-10,1635811200.0
2021-11-01,16153498055.668901,6177432814.452585,-5.110717418547428,2021-01-10,1635724800.0
2021-10-31,16048672834.99052,6176277921.830126,-5.060795029132021,2021-01-10,1635638400.0
2021-10-30,16105150668.58492,6181903823.974757,-5.078403278482039,2021-01-10,1635552000.0
2021-10-29,16206928022.11989,6182422205.998681,-5.188009678979835,2021-01-10,1635465600.0
2021-10-28,16000074400.463892,6185178111.267784,-5.056546559880083,2021-01-10,1635379200.0
2021-10-27,15365793292.45289,6099225005.6215315,-4.727229442590562,2021-01-10,1635292800.0
2021-10-26,15837307962.134686,6144131821.157491,-4.965924335420563,2021-01-10,1635206400.0
2021-10-25,15973783761.843506,6182732869.415077,-5.030092028806831,2021-01-10,1635120000.0
2021-10-24,15580040257.87812,6129182426.458989,-4.862612051472228,2021-01-10,1635033600.0
2021-10-23,15827202181.028389,6167326261.350722,-4.975561330635681,2021-01-10,1634947200.0
2021-10-22,15489031580.29154,6103150302.498837,-4.7706860274593295,2021-01-10,1634860800.0
2021-10-21,15712511843.025276,6126971349.032512,-4.893865611427226,2021-01-10,1634774400.0
2021-10-20,15948165345.186905,6153698677.265713,-5.017783350445528,2021-01-10,1634688000.0
2021-10-19,15447145426.57972,6150770214.136917,-4.717406786856881,2021-01-10,1634601600.0
2021-10-18,15178591781.137976,6106836622.945707,-4.580931492774147,2021-01-10,1634515200.0
2021-10-17,15329234499.747776,6128613768.474561,-4.656081560818418,2021-01-10,1634428800.0
2021-10-16,15351364460.363579,6122252557.300803,-4.669128570275303,2021-01-10,1634342400.0
2021-10-15,15347006100.774126,6096254328.6255865,-4.6897267467294235,2021-01-10,1634256000.0
2021-10-14,15106016388.637243,6091290666.580718,-4.557174375509641,2021-01-10,1634169600.0
2021-10-13,14855260560.751186,6104115266.347052,-4.392104712293059,2021-01-10,1634083200.0
2021-10-12,14589373184.590857,6081962022.945148,-4.253798321604049,2021-01-10,1633996800.0
2021-10-11,14779926971.299582,6116810270.37859,-4.332276277321896,2021-01-10,1633910400.0
2021-10-10,14550339890.10113,6071994491.796453,-4.218513802332835,2021-01-10,1633824000.0
2021-10-09,14804348434.641172,6078555700.02405,-4.36589081562634,2021-01-10,1633737600.0
2021-10-08,14673042913.694025,6057470009.247609,-4.344078628394896,2021-01-10,1633651200.0
2021-10-07,14691450199.145027,6060609620.922743,-4.355620405700921,2021-01-10,1633564800.0
2021-10-06,14729544665.124327,6077772562.6577635,-4.362929098401369,2021-01-10,1633478400.0
2021-10-05,14521032493.008999,6056713574.421653,-4.256589411415959,2021-01-10,1633392000.0
2021-10-04,14207722783.711964,6040943450.907753,-4.094090103994434,2021-01-10,1633305600.0
2021-10-03,14293942659.67132,6053842096.023599,-4.129888126702497,2021-01-10,1633219200.0
2021-10-02,14229729665.887033,6035285329.325338,-4.102530943795574,2021-01-10,1633132800.0
2021-10-01,14073005704.32456,6050105535.700901,-4.006789481303422,2021-01-10,1633046400.0
2021-09-30,13392844488.95397,6008102374.539553,-3.6500845779957265,2021-01-10,1632960000.0
2021-09-29,13144715805.665407,6033385901.514831,-3.4847939522450733,2021-01-10,1632873600.0
2021-09-28,13003693105.051558,5971611991.56657,-3.445227608293328,2021-01-10,1632787200.0
