,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
46,1639783076,288.775439661863775653,12889.376707721922,2021-12-18,644344.578872940000,183.35147789698038,2363286.26853173,52947.403642353005,-2310338.864889377,-0.0023103388648893766
45,1639731236,288.967692865318821348,12889.376707721922,2021-12-17,644344.578872940000,174.34472841824802,2247194.8815882704,50379.99393425171,-2196814.8876540186,-0.0021968148876540185
43,1639627556,288.886871000498599882,12884.29654376848,2021-12-16,644090.619649200000,173.4472301085491,2234745.5474137953,50106.62758976221,-2184638.919824033,-0.002184638919824033
41,1639523877,288.835155279205556303,11620.377292720263,2021-12-15,580906.841564867500,169.29690954304348,1967293.9633816988,48898.899156154584,-1918395.0642255442,-0.0019183950642255442
40,1639472037,288.835155279205556303,11620.377292720263,2021-12-14,580906.841564867500,162.11078649038004,1883788.502237835,46823.294188383064,-1836965.208049452,-0.0018369652080494519
38,1639368357,288.835155279205556303,11620.377292720263,2021-12-13,580906.841564867500,180.0306664826825,2092024.2687886585,51999.18550854448,-2040025.083280114,-0.002040025083280114
36,1639264677,260.760106192085604442,12870.9936580194,2021-12-12,643425.603604580000,180.23594680589218,2319815.72828576,46998.34462873554,-2272817.3836570247,-0.002272817383657025
35,1639212837,260.760106192085604442,12870.9936580194,2021-12-11,643425.603604580000,169.0613986582262,2175988.189945919,44084.46826710159,-2131903.721678817,-0.002131903721678817
33,1639109157,260.760106192085604442,12870.9936580194,2021-12-10,643425.603604580000,178.4253138751939,2296511.0833177418,46526.20379345177,-2249984.87952429,-0.00224998487952429
31,1639005477,233.229278058371967382,12870.9936580194,2021-12-09,643425.603604580000,200.8445175415287,2585068.511524982,46842.82182819276,-2538225.6896967893,-0.002538225689696789
30,1638953637,236.052357803203916787,12892.1367949276,2021-12-08,644482.556625357500,187.18431082971313,2413205.741080909,44185.29791512158,-2369020.4431657875,-0.0023690204431657874
28,1638849957,244.594432944286555256,15620.724264421642,2021-12-07,780885.625898352500,184.99892576039215,2889817.208517296,45249.70734166528,-2844567.5011756304,-0.00284456750117563
26,1638746278,282.060048101084563314,16318.316288138394,2021-12-06,815758.502138955000,191.70554872723284,3128311.7783221123,54072.47629524811,-3074239.302026864,-0.0030742393020268643
25,1638694438,282.060048101084563314,16318.316288138394,2021-12-05,815758.502138955000,201.67010875812514,3290916.6205783547,56883.08057686774,-3234033.540001487,-0.003234033540001487
23,1638590758,294.534747509298394674,16509.878792203624,2021-12-04,825334.780636255000,226.170428387568,3734046.3590595173,66615.0500192022,-3667431.309040315,-0.003667431309040315
21,1638487078,231.976165967903929373,16528.81812693032,2021-12-03,826281.564793110000,244.6210508699044,4043296.8598472197,56746.253495840014,-3986550.60635138,-0.00398655060635138
20,1638435238,231.976165967903929373,16528.81812693032,2021-12-02,826281.564793110000,250.95922413420985,4148059.3729898967,58216.55862893387,-4089842.8143609627,-0.004089842814360963
18,1638331558,231.976165967903929373,16528.81812693032,2021-12-01,826281.564793110000,256.9472639733981,4247034.594428653,59605.64115249182,-4187428.953276161,-0.004187428953276161
16,1638227878,144.438163450876607898,16524.57180561562,2021-11-30,826069.289662875000,249.4319706062917,4121756.5088998717,36027.495740305814,-4085729.013159566,-0.004085729013159566
15,1638176038,144.438163450876607898,16524.57180561562,2021-11-29,826069.289662875000,238.06022954686162,3933843.3572084517,34384.98234644281,-3899458.3748620087,-0.003899458374862009
13,1638072359,144.438163450876607898,16524.57180561562,2021-11-28,826069.289662875000,231.2831782873089,3821855.4870396354,33406.11750890056,-3788449.369530735,-0.003788449369530735
