,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1641960356,7303154.994414593320665397,105090143.6398704,2022-01-12,5093156558.37156055,1.0613451981247914,111536919.32242104,7751168.484483017,-103785750.83793803,-0.10378575083793802
47,1641856676,7301792.233806529947979652,105108729.31233169,2022-01-11,5094057306.39900948,0.9997147482457436,105078746.8629077,7299709.384762621,-97779037.47814508,-0.09777903747814508
46,1641804836,7284215.276456167312258885,104364034.02803841,2022-01-10,5057965913.43085157,1.0334443497826933,107854421.28680503,7527831.120054404,-100326590.16675062,-0.10032659016675062
44,1641701156,7279441.063639164765825754,103692953.9034804,2022-01-09,5025442253.08361479,1.0285036973017714,106648586.47387174,7486932.04824322,-99161654.42562851,-0.0991616544256285
42,1641597477,7277863.725161576002865286,103739810.50468443,2022-01-08,5027713141.65089242,1.0825121689168833,112299607.27245241,7878376.046206165,-104421231.22624625,-0.10442123122624625
41,1641545637,7277863.725161576002865286,103739810.50468443,2022-01-07,5027713141.65089242,1.1881882795823906,123262426.96776421,8647472.378634822,-114614954.58912939,-0.11461495458912939
39,1641441957,7292096.646145607895532842,103755854.26323791,2022-01-06,5028490696.72187610,1.189972567514762,123466620.2923127,8677394.968579672,-114789225.32373303,-0.11478922532373304
37,1641338277,7547481.049526463502906173,103756853.04298568,2022-01-05,5028539102.22829720,1.3034197372284797,135238730.12894237,9837535.766310712,-125401194.36263166,-0.12540119436263167
36,1641286437,7547481.049526463502906173,103756853.04298568,2022-01-04,5028539102.22829720,1.2994813531391751,134830095.78976157,9807810.88703093,-125022284.90273064,-0.12502228490273065
34,1641182757,7630054.666606210841357189,103777015.01289625,2022-01-03,5029516244.95284820,1.3029281211891834,135213991.1933746,9941412.791331995,-125272578.40204261,-0.12527257840204262
32,1641079077,8485615.359467203608321416,104363818.38227244,2022-01-02,5057955462.23524810,1.2567567038141045,131159928.38755856,10664353.98899834,-120495574.39856023,-0.12049557439856022
31,1641027237,8485615.359467203608321416,104363818.38227244,2022-01-01,5057955462.23524810,1.215335496800896,126837053.06165756,10312869.558559386,-116524183.50309817,-0.11652418350309818
29,1640923557,8628731.901953395422254123,104766575.6286794,2021-12-31,5077474949.40998110,1.1977175965168572,125480771.15728343,10334784.034595948,-115145987.12268747,-0.11514598712268748
27,1640819878,8641283.280485132465271266,104972209.05438414,2021-12-30,5087440900.49229812,1.1592480578927524,121688829.47900681,10017390.8606035,-111671438.61840332,-0.11167143861840331
26,1640768038,8641283.280485132465271266,104972209.05438414,2021-12-29,5087440900.49229812,1.2333589913199805,129468417.87594534,10657804.430529352,-118810613.44541599,-0.11881061344541599
24,1640664358,8022826.835966377104344375,103808594.19026254,2021-12-28,5031046718.58948377,1.3899735861198461,144291203.93669903,11151517.38800672,-133139686.54869232,-0.13313968654869232
22,1640560678,7642471.272116012925907421,101168585.23590179,2021-12-27,4903099620.46637600,1.339692970744102,135534842.50066316,10238565.042367563,-125296277.4582956,-0.1252962774582956
21,1640508838,7481883.046916201726891826,101171016.25938815,2021-12-26,4903217439.15787426,1.3486530395717284,136444598.5947846,10090464.312943721,-126354134.28184086,-0.12635413428184086
19,1640405158,7450957.730808824936093839,101172225.22559315,2021-12-25,4903276031.27643702,1.3205223010138518,133600179.65359193,9839155.847444616,-123761023.8061473,-0.12376102380614731
17,1640301478,7585472.592927303456506619,101175254.51705426,2021-12-24,4903422844.81325273,1.3335124248432637,134918458.9851714,10115321.950976606,-124803137.0341948,-0.1248031370341948
16,1640249638,7587241.852798387184593729,101172459.60453254,2021-12-23,4903287390.36865017,1.1950545242671011,120906605.58162715,9067167.702895416,-111839437.87873173,-0.11183943787873173
14,1640145959,7591278.940787304061471342,114905596.43203917,2021-12-22,5568858998.48940176,1.1737908447242722,134875137.09950957,8910573.720444309,-125964563.37906526,-0.12596456337906525
12,1640042279,7586653.956205249632683597,114914672.53667498,2021-12-21,5569298868.68321109,1.119000616106861,128589589.3682575,8489470.45118323,-120100118.91707426,-0.12010011891707427
11,1639990439,7592266.556718352629765122,114922714.46040018,2021-12-20,5569688617.66579183,1.147679759201131,131894473.2586524,8713490.653605318,-123180982.60504709,-0.12318098260504709
9,1639886759,7583140.604746092809971465,114940945.62966043,2021-12-19,5570572184.82127008,1.1847230088222918,136173182.94325075,8983921.153577283,-127189261.78967346,-0.12718926178967346
7,1639783079,7592577.721944135201715619,114943534.26502746,2021-12-18,5570697642.11669404,1.1623677007770132,133606651.64282382,8825367.109626977,-124781284.53319684,-0.12478128453319684
6,1639731239,7576465.312084664075830952,114943534.26502746,2021-12-17,5570697642.11669404,1.1394775816882967,130975580.45501937,8633212.3715595,-122342368.08345987,-0.12234236808345987
4,1639627559,7581020.982981944415416891,114949656.97384974,2021-12-16,5570994377.02934320,1.1290359260265102,129782292.40790014,8559245.045747425,-121223047.36215271,-0.12122304736215271
2,1639523879,7217272.863776812473666237,114954982.12792099,2021-12-15,5571252458.73370603,1.0606472154152604,121926681.69209042,7654980.3658569995,-114271701.32623342,-0.11427170132623342
0,1639420200,7036781.061476006619243185,114956959.13695116,2021-12-14,5571348273.77552907,1.0286983362979534,118256032.61005346,7238724.970833315,-111017307.63922015,-0.11101730763922014
98,1639368356,7036601.297739326914977602,114962679.75596689,2021-12-13,5571625521.54823822,1.2013709005362634,138112818.106488,8453568.037779735,-129659250.06870826,-0.12965925006870826
96,1639264676,7035468.303703613657449356,114990720.10497195,2021-12-12,5572984487.12281684,1.1419835692387954,131317512.97481517,8034389.204729865,-123283123.7700853,-0.12328312377008531
95,1639212836,7035213.267793587182913987,115011879.51514907,2021-12-11,5574009970.43630744,1.0865833556270976,124969993.98055013,7644345.640071437,-117325648.34047869,-0.11732564834047869
93,1639109156,6080456.613208465182129185,114312353.80706985,2021-12-10,5540107704.96731745,1.1547375102789337,132000762.82930043,7021331.33089542,-124979431.49840501,-0.12497943149840501
91,1639005477,6079377.043844754264626672,114469116.70310089,2021-12-09,5547705163.15298474,1.29597226675122,148348800.6467276,7878704.047946814,-140470096.59878078,-0.1404700965987808
90,1638953637,6079048.304325596386003718,114469921.44622774,2021-12-08,5547744164.74335663,1.3275410851230718,151963523.73067796,8070186.382439973,-143893337.348238,-0.143893337348238
88,1638849957,6087579.228020270746523700,114347102.74142478,2021-12-07,5541791799.75276806,1.3578170240064256,155262442.7481184,8265818.710793818,-146996624.03732458,-0.14699662403732458
86,1638746277,6076099.606907369754271122,114365793.0730747,2021-12-06,5542697620.05069361,1.1683794324970709,133622640.40779646,7099189.810514108,-126523450.59728235,-0.12652345059728234
85,1638694437,6190364.536228863762541129,114420696.36680658,2021-12-05,5545358488.71888179,1.1212009409853134,128288592.43465838,6940642.543061916,-121347949.89159647,-0.12134794989159646
83,1638590757,8292312.089293740613590472,114698034.68082243,2021-12-04,5558799591.79471453,1.285098417967879,147398262.91234982,10656437.1472473,-136741825.7651025,-0.1367418257651025
81,1638487077,8292051.773885251554747279,114849824.3100427,2021-12-03,5566156022.36735932,1.4241524987645724,163563664.27381945,11809146.253663884,-151754518.02015555,-0.15175451802015555
80,1638435237,8409447.257738064130284818,114942226.50747527,2021-12-02,5570634262.11051124,1.4886708463969458,171111141.62163267,12518898.966907397,-158592242.65472525,-0.15859224265472524
78,1638331557,6467014.009297629867548722,115130082.11929779,2021-12-01,5579738617.74503642,1.460035902884115,168094053.39617124,9442072.638029084,-158651980.75814217,-0.15865198075814219
76,1638227878,6468971.534066468947827949,115143320.94429554,2021-11-30,5580380232.70555595,1.6155954190449122,186025021.85122198,10451240.776369724,-175573781.07485226,-0.17557378107485225
75,1638176038,6495660.775812346849595528,115178585.48439577,2021-11-29,5582089316.14067779,1.6365596497343426,188496625.51723978,10630536.324056562,-177866089.1931832,-0.17786608919318322
73,1638072358,6513528.424432964937189319,115279633.16859742,2021-11-28,5586986556.33537736,1.7537863677064576,202175849.12528732,11423337.356439058,-190752511.76884827,-0.19075251176884828
71,1637968678,9088217.496382627018279167,117053095.9464668,2021-11-27,5672936801.19455746,1.3384999560363395,156675563.77826324,12164578.719356839,-144510985.0589064,-0.14451098505890642
70,1637916838,9470800.374887552803032715,116848589.3768133,2021-11-26,5663025462.79130778,1.426280500738914,166658864.56699705,13508017.901092911,-153150846.66590413,-0.15315084666590414
68,1637813158,9770449.455376695445087150,117176488.85944816,2021-11-25,5678916994.98096300,1.1232128665145504,131614139.93993106,10974294.539909186,-120639845.40002188,-0.12063984540002189
66,1637709478,9769622.923124180235256192,117177723.38795935,2021-11-24,5678976825.96763260,1.0592436851606597,124119763.54019848,10348411.387720112,-113771352.15247837,-0.11377135215247837
65,1637657638,9783887.897496547236694429,117199587.32196504,2021-11-23,5680036453.77872865,1.0374420550395154,121587780.72108254,10150216.76665506,-111437563.95442748,-0.11143756395442748
63,1637553959,9788269.124047734335464620,117256806.9956367,2021-11-22,5682809584.97956966,1.0865135149549225,127401105.52122018,10635086.691293841,-116766018.82992634,-0.11676601882992634
61,1637450279,9786411.301018364493673308,116877580.05603787,2021-11-21,5664430485.78309516,1.1155221752305071,130379532.3397891,10916958.822212424,-119462573.51757668,-0.11946257351757668
60,1637398439,9775441.587896759918317378,116365080.51216237,2021-11-20,5639592377.06381510,1.1209808108602004,130443022.30833629,10958082.43771704,-119484939.87061925,-0.11948493987061926
58,1637294759,9774020.161885805648281087,116353275.36080869,2021-11-19,5639020244.58823628,0.9739530973345766,113322632.9226825,9519437.21007928,-103803195.71260321,-0.10380319571260321
56,1637191079,10524580.320572467154325468,116310896.28459316,2021-11-18,5636966357.68230078,1.0700149466354265,124454397.48107758,11261458.250077609,-113192939.23099998,-0.11319293923099998
55,1637139239,11272451.198375293756352847,117131145.21406364,2021-11-17,5676719431.28115427,1.0782247414896229,126293698.76881725,12154235.77932259,-114139462.98949465,-0.11413946298949465
53,1637035559,11277910.067711402180336418,117999015.81002948,2021-11-16,5718780472.06542218,1.1523750458108821,135979121.24972174,12996382.130929938,-122982739.1187918,-0.1229827391187918
51,1636931879,11285393.366647918507562006,118008576.36439046,2021-11-15,5719243820.94343134,1.1526610545751217,136023890.08108708,13008233.419295471,-123015656.66179161,-0.12301565666179161
50,1636880039,11282264.981056932335688594,118010546.03090782,2021-11-14,5719339280.13297308,1.1486850749475066,135556952.91210952,12959769.39534301,-122597183.51676652,-0.12259718351676652
148,1636776356,11304980.544580082382116164,118010395.5599248,2021-11-13,5719331987.61012118,1.173941568630649,138537308.87834147,13271386.59384331,-125265922.28449816,-0.12526592228449815
146,1636672676,11308447.893896476598763202,118080407.12844738,2021-11-12,5722725073.46034701,1.132080360910789,133676509.91846561,12802071.773063174,-120874438.14540245,-0.12087443814540244
145,1636620836,11392404.413011892695860412,118176007.26044019,2021-11-11,5727358299.96833359,1.0804043105763235,127677867.65087847,12308402.835646776,-115369464.8152317,-0.11536946481523169
143,1636517156,11600112.559249645656946472,118427110.91152662,2021-11-10,5739527949.40514982,1.1753825508469946,139197159.71263012,13634569.890003107,-125562589.82262701,-0.125562589822627
141,1636413477,11605337.608958320383016027,118542582.78181362,2021-11-09,5745124252.66528321,1.2463991515946111,147751374.60708645,14464882.949774684,-133286491.65731177,-0.13328649165731177
140,1636361637,11592701.007679526444564308,118544378.91087233,2021-11-08,5745211301.42340764,0.9979044615220827,118295964.60352378,11568408.056654943,-106727556.54686883,-0.10672755654686883
138,1636257957,11432383.214129670026950704,119660510.46365792,2021-11-07,5799304221.47455644,1.0134783543776886,121273337.22870222,11586472.926471248,-109686864.30223097,-0.10968686430223097
