,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1639886756,3446686943.487530704191529837,4280669119.4856167,2021-12-19,198534695165.92557667,1.0009100207431971,4284564617.179112,3449823500.101411,-834741117.0777011,-0.834741117077701
47,1639783076,3464124500.189819549907785729,4241350621.557604,2021-12-18,196711128386.38017297,1.0003129418584091,4242677917.703279,3465208569.748669,-777469347.9546099,-0.7774693479546099
46,1639731236,3475123839.765609149017919699,4226694532.460665,2021-12-17,196031388350.42638216,0.9998809497607476,4226191343.465329,3474710125.4410534,-751481218.0242758,-0.7514812180242758
44,1639627556,3476616214.161337817606132565,4335737061.305757,2021-12-16,201088711077.34232736,0.9996574333908048,4334251782.562304,3475425241.5333796,-858826541.028924,-0.858826541028924
42,1639523877,3579445768.280573609853288890,4438839762.801167,2021-12-15,205870548411.83700180,1.0026442741189496,4450577271.904106,3588910804.0858216,-861666467.8182845,-0.8616664678182845
41,1639472037,3691568111.112952059586960259,4554965725.591875,2021-12-14,211256396273.46132915,0.9988379283201336,4549672528.919403,3687278244.3567286,-862394284.5626745,-0.8623942845626745
39,1639368357,3704929110.485016773965515361,4570723553.155955,2021-12-13,211987234234.67422623,0.9989776215711985,4566050543.991194,3701141270.882219,-864909273.1089749,-0.8649092731089749
37,1639264677,3707992202.692861509689243612,4588112993.467675,2021-12-12,212793745351.28400111,0.9995493085498041,4586045170.168986,3706321042.309715,-879724127.8592715,-0.8797241278592716
36,1639212837,3708259572.584820016847638382,4579477962.027924,2021-12-11,212393258117.44584172,0.995229215210866,4557630258.224506,3690568264.2217717,-867061994.0027347,-0.8670619940027346
34,1639109157,3718538500.363946801629806128,4612005909.647211,2021-12-10,213901883517.98704393,0.9980080078395094,4602818830.031057,3711131200.8227377,-891687629.2083197,-0.8916876292083197
32,1639005477,3727582279.833292563010625171,4608380390.6548195,2021-12-09,213733734266.57771476,1.0013557667104835,4614628279.377714,3732636011.798878,-881992267.578836,-0.881992267578836
31,1638953637,3733145798.969370606120294585,4622307647.419436,2021-12-08,214379671525.23530653,1.0029613747099249,4635996032.387997,3744201042.5269,-891794989.8610969,-0.8917949898610968
29,1638849957,3738227733.325317729637523250,4660547464.801366,2021-12-07,216153209791.14879063,1.0010238609330975,4665319217.277423,3742055158.660491,-923264058.6169319,-0.923264058616932
27,1638746278,3749424769.066838395866875088,4645980689.6567135,2021-12-06,215477612079.16268961,1.0004759565933234,4648191974.798409,3751209332.5068464,-896982642.291563,-0.896982642291563
26,1638694438,3758991188.345590422290136387,4657272897.022946,2021-12-05,216001337432.51930942,0.9995927005396948,4655375992.285495,3757460153.2632856,-897915839.0222092,-0.8979158390222092
24,1638590758,3765268008.800077770271674621,4726280054.250662,2021-12-04,219201845236.80341343,0.999703768225611,4724879979.923932,3764152616.7767806,-960727363.1471515,-0.9607273631471515
22,1638487078,3764032553.176011958144491903,4732285756.057009,2021-12-03,219480385844.38109393,0.9975399468525554,4720644081.588214,3754772833.046488,-965871248.5417261,-0.9658712485417261
21,1638435238,3755821852.785539387767761330,4736479154.854817,2021-12-02,219674872997.85953423,1.001319489566333,4742728889.680802,3760777620.5332956,-981951269.1475067,-0.9819512691475067
19,1638331558,3742070804.659888858479729522,4729740397.781549,2021-12-01,219362333755.98067083,0.9980027717628793,4720294026.70485,3734597035.1835175,-985696991.5213327,-0.9856969915213327
17,1638227878,3736278351.909669535467644041,4733671084.84578,2021-11-30,219544636507.32794943,0.9986096774223755,4727089755.061471,3731083719.76072,-996006035.3007512,-0.9960060353007512
16,1638176038,3402047199.689583581403093673,4402282544.017067,2021-11-29,204175047992.43354803,1.001637828844,4409492729.3470955,3407619170.721885,-1001873558.6252103,-1.0018735586252103
14,1638072359,3402521554.972117655793746600,4402501594.46051,2021-11-28,204185207411.86099824,0.9987986677496729,4397212727.312968,3398433996.095696,-998778731.2172723,-0.9987787312172722
12,1637968679,3412232332.412999405300817063,4412606193.121319,2021-11-27,204653852233.24318147,1.0001721286924639,4413365729.255699,3412819675.5027614,-1000546053.7529378,-1.0005460537529378
11,1637916839,3411885695.175441360144840618,4414794418.483165,2021-11-26,204755340725.58909386,0.9979605899493754,4405790842.374669,3404927461.1971183,-1000863381.1775508,-1.0008633811775507
9,1637813159,3410463599.208778309259447462,4423574501.438605,2021-11-25,205162555355.92698540,1.0022449718047552,4433505301.47057,3418119993.830146,-1015385307.6404238,-1.0153853076404238
7,1637709479,3409972295.281413775342697940,4432206701.859924,2021-11-24,205562911288.94140923,1.0009342580306821,4436347526.56478,3413158089.282685,-1023189437.2820954,-1.0231894372820953
6,1637657639,3414843299.762528524578937677,4436016974.75478,2021-11-23,205739629308.14907502,0.9998445390092198,4435327347.160767,3414312424.839788,-1021014922.3209786,-1.0210149223209786
4,1637553959,3419229786.277639365700527618,4453327206.560626,2021-11-22,206542466784.93079742,1.004509532449662,4473409630.1075735,3434648913.9517093,-1038760716.1558642,-1.0387607161558643
2,1637450279,3471061272.477314004966460730,4563425683.345221,2021-11-21,211648763701.72886521,1.0066940349166575,4593973414.2091055,3494296677.833135,-1099676736.3759704,-1.0996767363759703
0,1637346600,3464278016.026768496916103129,4502740002.936394,2021-11-20,208834200668.56669264,1.006266999854717,4530958673.880624,3485988645.849906,-1044970028.0307178,-1.044970028030718
99,1637294769,3412912566.067662470855424016,4438175743.774499,2021-11-19,205839751634.19215801,0.9993381522388782,4435238347.0950165,3410653737.526906,-1024584609.5681105,-1.0245846095681104
97,1637191089,3464922339.587575855788089537,4452430106.747412,2021-11-18,206500859869.52141913,1.0076808696516855,4486628642.030579,3491535956.4311614,-995092685.5994172,-0.9950926855994172
95,1637087408,3504928791.855020822859383434,4448012755.913913,2021-11-17,206295985963.90289932,1.002397544398201,4458677063.97998,3513332014.246026,-945345049.7339544,-0.9453450497339544
94,1637035568,3511111926.220201505375070679,4440101034.552876,2021-11-16,205929045388.77160372,1.0031440842988035,4454061086.500715,3522151158.0987725,-931909928.4019427,-0.9319099284019428
92,1636931888,3522261132.020382264961173200,4440558435.910122,2021-11-15,205950259371.09410913,1.0083551412462424,4477659928.854344,3551690121.284563,-925969807.5697813,-0.9259698075697813
90,1636828207,3513248462.620068196636992834,4424124605.792498,2021-11-14,205188068843.92633594,1.0031728200177052,4438161556.902578,3524395367.6694407,-913766189.2331376,-0.9137661892331376
89,1636776367,3510019162.983611513115410662,4398377930.714275,2021-11-13,203993954525.46086624,1.0076412807183253,4431987171.188149,3536840204.7346706,-895146966.4534788,-0.8951469664534788
87,1636672687,3500077186.338206191517477486,4357380249.435633,2021-11-12,202092508296.38551203,1.0011671074263095,4362465780.284003,3504162152.4150376,-858303627.8689656,-0.8583036278689656
85,1636569006,3469546224.885642476153028665,4329240895.0142,2021-11-11,200787423040.71956746,1.0044213662836692,4348382054.741298,3484886359.5839825,-863495695.1573153,-0.8634956951573153
84,1636517166,3459901431.604171293296795381,4303081699.22627,2021-11-10,199574176275.65156975,1.0011499772523627,4308030145.295438,3463880239.545933,-844149905.749505,-0.844149905749505
82,1636413486,3306234659.793039299615663959,4119004950.3911047,2021-11-09,191036814429.39995582,1.0009555678702178,4122940939.1789665,3309393991.4053383,-813546947.7736282,-0.8135469477736282
