,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1639886769,54140.691796804977472727,1493723.5338441662,2021-12-19,74496366.848975679597,3966.4253516705508,5924742893.026424,214745012.49982908,-5709997880.526595,-5.709997880526595
47,1639783089,54298.539215383291503753,1501246.2765339937,2021-12-18,74871548.056497801878,3886.7473617182886,5834965004.607904,211044704.040548,-5623920300.567356,-5.623920300567356
45,1639679408,54958.263895260373517918,1495907.71807453,2021-12-17,74605298.512703432105,3971.5597663421136,5941086907.265444,218270029.71442848,-5722816877.551015,-5.722816877551015
44,1639627568,54246.762627795951455225,1501513.4460541487,2021-12-16,74884872.582846447900,4015.72254331389,6029661394.408569,217839947.5862377,-5811821446.822331,-5.811821446822331
42,1639523888,53162.883799707028829939,1498572.620670246,2021-12-15,74738205.009045704802,3858.1644681806974,5781739638.058373,205111149.30204892,-5576628488.756325,-5.576628488756325
40,1639420207,53439.678481390471700081,1501289.3265777396,2021-12-14,74873695.088247035533,3782.8952622347147,5679220280.754477,202156706.5425984,-5477063574.211878,-5.477063574211877
39,1639368367,53363.866871384622118268,1505229.7786542303,2021-12-13,75070216.972511394466,4135.841510137412,6225391800.853114,220704495.74811924,-6004687305.104995,-6.004687305104995
37,1639264687,51450.727672337156957458,1508824.2975566438,2021-12-12,75249486.156354693465,4079.814930569866,6155723896.778186,209909446.94628537,-5945814449.831901,-5.945814449831901
35,1639161006,51528.205045121455102782,1510112.8278381363,2021-12-11,75313748.934821503629,3918.200743402953,5916925204.6577215,201897851.31401467,-5715027353.343707,-5.715027353343707
34,1639109166,51717.181146003410837316,1527444.8273557925,2021-12-10,76178146.505749950274,4153.333310724186,6343987481.750167,214798691.19045278,-6129188790.559714,-6.129188790559715
32,1639005486,52315.535030614026382565,1586291.0137134402,2021-12-09,79112978.144427099833,4431.540647139759,7029713105.463643,231838419.96503004,-6797874685.498613,-6.797874685498614
30,1638901805,52043.102589198750281200,1577950.3208796945,2021-12-08,78697003.367944703408,4310.566646424531,6801860022.898898,224335262.1974503,-6577524760.7014475,-6.577524760701447
29,1638849965,51903.094687499381834293,1577177.0378412665,2021-12-07,78658437.478338227929,4347.615630598069,6856959541.939053,225654705.73978394,-6631304836.199268,-6.631304836199268
27,1638746285,51111.647312509330505941,1580649.6036139466,2021-12-06,78831624.502474500277,4198.572874562462,6636472549.921424,214595975.98050505,-6421876573.940919,-6.421876573940919
25,1638642604,52923.696826056754035525,1587798.5958636792,2021-12-05,79188165.681059235468,4101.656791810778,6512604894.751876,217074840.53433016,-6295530054.2175455,-6.295530054217545
24,1638590764,54561.705817264548619228,1599928.8269958275,2021-12-04,79793135.829757213680,4240.155516808957,6783947042.288041,231350117.92758164,-6552596924.360459,-6.55259692436046
22,1638487084,56428.187461449092442313,1599089.1438458357,2021-12-03,79751258.372141141330,4519.441028028784,7226989084.172292,255023865.55057243,-6971965218.621719,-6.971965218621719
20,1638383403,56617.468755227631565138,1599121.5265588087,2021-12-02,79752873.392866545432,4589.610617539151,7339345137.029723,259852135.73718387,-7079493001.29254,-7.07949300129254
19,1638331563,58511.211207898639930743,1603164.1710662663,2021-12-01,79954491.912923295992,4637.121616831405,7434067232.980984,271323602.3191347,-7162743630.661849,-7.162743630661849
17,1638227883,59839.575603568394798176,1652185.7952102986,2021-11-30,82399343.863784631503,4444.528279821561,7343186490.331647,265958686.02258006,-7077227804.309067,-7.077227804309067
15,1638124202,61373.352157255428490728,1666016.3816463803,2021-11-29,83089115.710805882716,4290.091862536401,7147363321.753475,263297318.6664224,-6884066003.087052,-6.884066003087052
14,1638072362,60363.627447427219261578,1666420.2638029545,2021-11-28,83109258.496681730457,4084.0884856959556,6805807811.728063,246530395.81287783,-6559277415.915185,-6.559277415915185
12,1637968682,60120.020336033624743600,1639349.457053027,2021-11-27,81759158.089981754233,4048.3128440761725,6636599462.917069,243384650.51248553,-6393214812.404584,-6.393214812404584
10,1637865001,60547.289019973495192482,1641752.572183728,2021-11-26,81879008.478826013813,4515.843300142739,7413897353.587997,273422069.46265334,-7140475284.125344,-7.140475284125344
9,1637813161,60527.742012232187734305,1645143.422798759,2021-11-25,82048120.128755878923,4269.437219728043,7023836561.08781,258419394.57312083,-6765417166.5146885,-6.7654171665146885
7,1637709481,60487.851933979282926401,1650705.3052104358,2021-11-24,82325507.492028354431,4355.420957796475,7189516481.459358,263450058.00534335,-6926066423.454015,-6.926066423454015
5,1637605800,58139.913405695987105307,1651411.483250261,2021-11-23,82360726.658844410065,4101.062876490145,6772542327.767172,238435440.5104515,-6534106887.256721,-6.534106887256721
4,1637553960,58315.484403542778761836,1654990.0227999052,2021-11-22,82539198.905571217937,4319.361566856902,7148500298.013538,251885662.08530578,-6896614635.928232,-6.896614635928232
2,1637450280,58996.886267723506106878,1644930.9897751499,2021-11-21,82037525.471780132420,4436.192766930451,7297230958.9402685,261721560.1322935,-7035509398.807975,-7.035509398807974
0,1637346600,59405.983159526591469462,1644562.5604759397,2021-11-20,82019150.823721114355,4317.603195646166,7100568566.550958,256491462.73007432,-6844077103.820884,-6.844077103820884
99,1637294756,57460.739760700287264264,1634890.271115855,2021-11-19,81536765.429026337095,3993.846595161859,6529500942.759307,229489379.84875453,-6300011562.910552,-6.300011562910552
97,1637191076,56128.133888322064942625,1636398.249686631,2021-11-18,81611972.736311500145,4302.804958962834,7041102503.589737,241508412.83200198,-6799594090.757735,-6.7995940907577355
96,1637139236,53844.213822861051457149,1637641.7298750144,2021-11-17,81673988.734710372268,4243.352906802173,6949091794.76568,228480001.23971516,-6720611793.525965,-6.720611793525965
94,1637035556,54412.819213548216546307,1630574.953062953,2021-11-16,81321547.880761780577,4583.211418759011,7473269744.020565,249385454.3464039,-7223884289.674161,-7.223884289674161
92,1636931877,54590.354978842016160118,1628922.4999603606,2021-11-15,81239135.205496078696,4652.947394238871,7579290701.607628,254006049.94937798,-7325284651.65825,-7.32528465165825
91,1636880037,54622.157917453191061454,1616291.623534142,2021-11-14,80609196.409894386316,4666.498498194288,7542422433.866081,254894217.88992652,-7287528215.976154,-7.287528215976154
89,1636776357,55906.292188257992161107,1601162.722790078,2021-11-13,79854673.826353748456,4685.10635551733,7501617648.761227,261926924.84461632,-7239690723.916611,-7.239690723916611
87,1636672677,55844.027321573404726753,1603757.1227793733,2021-11-12,79984064.151254206825,4732.9244503493555,7590461298.8244295,264305562.31625223,-7326155736.508177,-7.326155736508177
86,1636620837,55824.390419996412312162,1603923.229474904,2021-11-11,79992348.378586731620,4641.528764849704,7444655806.2184,259110513.9146136,-7185545292.303786,-7.185545292303786
84,1636517157,55440.867862737046740221,1606642.071829415,2021-11-10,80127945.008657180700,4742.08091060724,7618826699.000735,262905081.1593838,-7355921617.8413515,-7.355921617841352
