,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1641960369,344765.450077624160582975,2985518.2805688125,2022-01-12,148857134.962410495000,26.78551731571388,79968651.60055625,9234720.932914093,-70733930.66764216,-0.07073393066764216
47,1641856689,394412.999390183437102346,2970661.9227406406,2022-01-11,148116400.97438856,27.918030064851187,82935028.87158184,11011233.974943275,-71923794.89663856,-0.07192379489663855
45,1641753008,393228.363777438166877921,2969154.3505839985,2022-01-10,148041233.833913380000,27.57901621049492,81886355.9662176,10844851.41904436,-71041504.54717325,-0.07104150454717324
44,1641701168,393198.809150947252383650,2968616.964858186,2022-01-09,148014439.92679353,25.543917582482937,75830107.08429815,10043837.974482235,-65786269.10981591,-0.06578626910981591
42,1641597488,392734.439975119565192531,2968551.588563196,2022-01-08,148011180.28238604,26.078018132741683,77413942.15453015,10241735.84702332,-67172206.30750683,-0.06717220630750682
40,1641493807,391171.826161522818919990,2960239.201999841,2022-01-07,147596726.93384203,25.381284961517824,75134674.74021408,9928443.588722922,-65206231.15149116,-0.06520623115149116
39,1641441967,380268.158375453443174465,2810750.547669347,2022-01-06,140143263.01173070,25.554109913321952,71826228.43407236,9717414.315662855,-62108814.11840951,-0.06210881411840951
37,1641338287,370177.097771682654432671,2541930.882151834,2022-01-05,126739987.10786772,23.71465044906858,60281002.335923284,8778620.477906136,-51502381.85801715,-0.05150238185801714
35,1641234606,370107.478584501611027619,2543855.238916194,2022-01-04,126835935.01629373,23.625931182659464,60100948.81328175,8744133.819225049,-51356814.9940567,-0.0513568149940567
34,1641182766,370038.595916802280541293,2544680.865507422,2022-01-03,126877100.53509789,21.86140125189378,55630289.45887411,8089562.2240245985,-47540727.234849505,-0.047540727234849506
32,1641079086,370006.679402154841679114,2544634.136535173,2022-01-02,126874770.64116489,20.575090207835967,52356076.90514997,7612920.806201179,-44743156.09894879,-0.04474315609894879
30,1640975405,369939.499712168739462085,2554857.3781100535,2022-01-01,127384498.704385915000,19.628848081937342,50148907.34593899,7261486.239358063,-42887421.10658093,-0.04288742110658093
29,1640923565,369893.227383221834213153,2554896.8152316045,2021-12-31,127386465.02861294,19.949776750677458,50969621.08488735,7379287.307882847,-43590333.7770045,-0.043590333777004504
27,1640819885,369841.497699028895808537,2554791.9599344223,2021-12-30,127381236.97182101,19.759929988922877,50482510.26456725,7308042.101531191,-43174468.163036056,-0.04317446816303606
25,1640716204,368512.275768852203924563,2469054.135657778,2021-12-29,123106372.214570100000,20.489272466519495,50589122.920079,7550548.425485183,-43038574.494593814,-0.04303857449459381
24,1640664364,368448.078391114426671607,2469490.9091425557,2021-12-28,123128149.62253130,23.07640941191419,56986983.258373804,8502458.703986408,-48484524.5543874,-0.0484845245543874
22,1640560684,437296.613166299011695108,2540238.812994909,2021-12-27,126655620.99679832,23.06587145471841,58592821.92482705,10086627.466877574,-48506194.457949474,-0.04850619445794947
20,1640457003,453952.731536929677194071,2539899.9054652746,2021-12-26,126638723.15892312,22.217433541556627,56430057.3518807,10085664.64392983,-46344392.70795087,-0.04634439270795087
19,1640405163,457405.317763950969652149,2540384.291636383,2021-12-25,126662874.52256268,21.519089176170425,54666756.11346587,9842945.822617032,-44823810.29084884,-0.04482381029084884
17,1640301483,462271.517611328414168113,2527282.498118279,2021-12-24,126009622.63706343,22.237114564733584,56199470.44810226,10279584.697136369,-45919885.75096589,-0.045919885750965894
15,1640197802,439318.519598071663415052,2499661.072611965,2021-12-23,124632425.82295981,20.025141759874366,50056067.330694206,8797415.632689532,-41258651.69800468,-0.041258651698004675
14,1640145962,439266.645075428190924771,2498466.624693551,2021-12-22,124572870.97241538,19.522755015208766,48776951.82756774,8575695.098160243,-40201256.7294075,-0.0402012567294075
12,1640042282,405380.171741344155113349,2434445.085516933,2021-12-21,121380774.32382296,18.9260065679481,46074323.67780244,7672227.792892607,-38402095.88490984,-0.03840209588490984
10,1639938601,373377.575550695775106685,2406586.281738489,2021-12-20,119991741.89319620,18.946564119336628,45596541.295674205,7074222.175893714,-38522319.11978049,-0.03852231911978049
9,1639886761,373343.590782818955086671,2406317.5451860013,2021-12-19,119978342.76128555,19.56898026993636,47089180.564946555,7305953.361936177,-39783227.20301038,-0.039783227203010384
7,1639783081,373265.261316577458979009,2386732.0789943803,2021-12-18,119001816.70778156,18.34068597505276,43774303.56742075,6845940.943203359,-36928362.62421739,-0.03692836262421739
5,1639679400,380550.577053165384600018,2371069.8161899787,2021-12-17,118220900.51535171,18.83067899597354,44648854.58571547,7166025.75822065,-37482828.82749482,-0.037482828827494825
4,1639627560,385477.910474762116550704,2363830.6510063573,2021-12-16,117859957.69488162,19.7418986250727,46666505.07900711,7610065.830797605,-39056439.248209506,-0.03905643924820951
2,1639523880,369348.713105616533611761,2346726.2686948823,2021-12-15,117007137.81340269,18.435910639931006,43264035.78603757,6809279.86978866,-36454755.91624891,-0.03645475591624891
0,1639420200,369333.884461182241577903,2346793.0204318375,2021-12-14,117010466.03697498,17.719170631625975,41583225.966140635,6544290.1188089205,-35038935.84733172,-0.03503893584733172
99,1639368356,369294.410110521267881232,2346609.2197450013,2021-12-13,117001301.78438116,20.450577384803857,47989513.44028935,7552283.911740706,-40437229.52854864,-0.04043722952854864
97,1639264676,369229.028759324433067180,2347351.1797913453,2021-12-12,117038295.71185908,19.8931133989622,46696123.20677694,7345114.939297916,-39351008.267479025,-0.039351008267479025
96,1639212836,369186.755959213299628754,2346487.9312985362,2021-12-11,116995254.37520525,18.573056431034924,43581452.76275011,6856926.452021188,-36724526.31072892,-0.03672452631072892
94,1639109156,369116.194706041369760764,2351670.2142571234,2021-12-10,117253641.603580470000,20.41964157739341,48020262.88336243,7537220.396308724,-40483042.48705371,-0.04048304248705371
92,1639005477,369039.131640925885169151,2352188.192043033,2021-12-09,117279467.83605962,22.745243320763482,53501092.764245525,8393884.844056122,-45107207.9201894,-0.0451072079201894
91,1638953637,369007.982690139301476602,2352191.775067095,2021-12-08,117279646.484671454000,20.805377625976657,48938238.12898726,7677350.426868205,-41260887.70211905,-0.04126088770211905
89,1638849957,369155.182116037204851475,2372453.390798407,2021-12-07,118289885.17156964,19.821174458596452,47024812.55390394,7317089.267016918,-39707723.28688702,-0.03970772328688702
87,1638746277,369057.918018822689025686,2402369.081935384,2021-12-06,119781473.45024608,19.373770156945657,46542946.42556868,7150043.278297562,-39392903.14727111,-0.03939290314727111
86,1638694437,369027.466146275628998042,2379016.615439759,2021-12-05,118617125.77920050,20.537634151279672,48859372.88771737,7578951.091485952,-41280421.79623142,-0.04128042179623142
84,1638590757,368966.371953752886089926,2449126.7457057266,2021-12-04,122112797.934738205000,23.336541648949257,57154148.30471724,8610399.106160456,-48543749.19855679,-0.048543749198556786
82,1638487077,361078.427604987946788926,2460455.2564822254,2021-12-03,122677634.42177495,24.540953928891525,60381919.093429275,8861209.056570606,-51520710.03685867,-0.05152071003685867
81,1638435237,346985.214447420812760293,2432154.13582553,2021-12-02,121266548.19108589,25.384330794438775,61738605.12685763,8807987.464312606,-52930617.662545025,-0.052930617662545025
79,1638331557,342220.723576883218184023,2389009.287889917,2021-12-01,119115357.72814870,25.33925564958578,60535717.09507748,8671618.403300872,-51864098.6917766,-0.051864098691776606
77,1638227878,342157.783848004805335682,2399841.12669378,2021-11-30,119655430.28480058,24.974293202199757,59934335.93674788,8545148.815234961,-51389187.12151292,-0.05138918712151292
76,1638176038,342124.213127848173830100,2394497.7376632295,2021-11-29,119389010.35119836,24.784495494883156,59346418.39162222,8479376.018957598,-50867042.37266462,-0.05086704237266462
74,1638072358,358072.026515812359229086,2394175.439206998,2021-11-28,119372940.637236258000,23.971030169804372,57390851.68503558,8583355.350573529,-48807496.33446205,-0.04880749633446205
72,1637968678,382336.894533847836812616,2374738.355998728,2021-11-27,118403812.91919802,23.904530218454966,56767004.79189566,9139583.849014593,-47627420.94288106,-0.04762742094288106
71,1637916838,382304.555879274026146620,2670756.5119307013,2021-11-26,133163198.20773636,26.353795797103132,70384571.73920514,10075176.19794459,-60309395.54126055,-0.060309395541260545
69,1637813158,408835.225271698819794307,3261604.1400423083,2021-11-25,162622701.33403195,25.60719532200036,83520534.2771084,10469123.46804641,-73051410.80906199,-0.073051410809062
67,1637709478,424699.536115485862996997,3269346.9874557457,2021-11-24,163008757.61441617,26.974475323188766,88188919.63606654,11456047.156716889,-76732872.47934966,-0.07673287247934966
66,1637657638,424657.460296949377262351,3259523.360800435,2021-11-23,162518954.24313304,26.791258610061014,87326733.30473967,11377107.839507287,-75949625.46523239,-0.07594962546523239
64,1637553959,424567.452914915043870458,3259879.588590119,2021-11-22,162536715.66449546,29.27322544841148,95427190.13147342,12428458.767236136,-82998731.36423728,-0.08299873136423729
62,1637450279,424969.632343154347560578,3250766.8284706776,2021-11-21,162082355.90665760,28.433744311005434,92431472.81543331,12083477.86598724,-80347994.94944607,-0.08034799494944607
61,1637398439,425145.199673450096622159,3252174.675104511,2021-11-20,162152550.75950539,28.432359689307106,92467000.13502693,12087881.237297824,-80379118.89772911,-0.08037911889772911
59,1637294759,412306.544062435716365714,3257756.901165731,2021-11-19,162430879.04293745,26.464340926443086,86214389.28792265,10911420.948271828,-75302968.33965082,-0.07530296833965082
57,1637191079,343178.122274769476896049,3556508.294092413,2021-11-18,177326542.78967635,29.274433672617782,104114766.16152336,10046345.178426255,-94068420.9830971,-0.0940684209830971
56,1637139239,336453.183693444116872040,4263351.141522374,2021-11-17,212569536.21628152,29.409939022086608,125384897.10191636,9895067.616211094,-115489829.48570526,-0.11548982948570526
54,1637035559,329212.914015092025033476,4262723.556328456,2021-11-16,212538244.98804837,32.18944925935051,137214723.62307298,10597182.391211726,-126617541.23186126,-0.12661754123186125
52,1636931879,329167.999363316940552877,4263012.54073963,2021-11-15,212552653.67272343,33.91317278142035,144572280.86346483,11163131.236522632,-133409149.6269422,-0.1334091496269422
50,1636828200,329118.563449238722769267,4263325.450383255,2021-11-14,212568255.26302529,34.159558928385486,145633316.9532524,11242544.96256985,-134390771.99068254,-0.13439077199068256
149,1636776356,328091.244530039730398127,4263254.918782968,2021-11-13,212564738.57648830,34.41305609565629,146711630.67016086,11290622.402505944,-135421008.26765493,-0.13542100826765494
147,1636672676,327058.889012861550397365,4258623.390991401,2021-11-12,212333811.85195990,34.89480354472274,148603826.59960592,11412655.679659082,-137191170.91994685,-0.13719117091994684
146,1636620836,327029.859868728054487941,4256764.450290344,2021-11-11,212241125.57077870,34.28654102832006,145949728.97277415,11212722.707874905,-134737006.26489925,-0.13473700626489926
144,1636517156,326985.535026184959593030,4340815.439473137,2021-11-10,216431885.18593116,33.91019803951846,147197911.20553344,11088144.248795832,-136109766.9567376,-0.1361097669567376
142,1636413477,319935.852435708068814154,4450114.550944391,2021-11-09,221881509.35786832,34.52815514533082,153654245.62950212,11046794.749453798,-142607450.88004833,-0.14260745088004834
141,1636361637,319920.365995091383750140,4449766.523880946,2021-11-08,221864156.82250089,32.367545819762455,144028021.84896165,10355037.10502129,-133672984.74394035,-0.13367298474394035
139,1636257957,303210.997626043984256885,4398804.06959025,2021-11-07,219323182.61854438,32.077534578419154,141102789.64597213,9726261.260906395,-131376528.38506573,-0.13137652838506572
