,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
39,1641597477,6.922918755349845778,1614.884363652352,2022-01-08,80742.630012422500,2127.3131855511033,3435364.7999379514,14727.216350754761,-3420637.5835871967,-0.0034206375835871966
38,1641545637,6.922918755349845778,1614.884363652352,2022-01-07,80742.630012422500,2253.9185578249076,3639817.835977303,15603.69505699713,-3624214.1409203056,-0.0036242141409203055
36,1641441957,6.922918755349845778,1614.884363652352,2022-01-06,80742.630012422500,2252.4953509003835,3637519.521368647,15593.842311086599,-3621925.6790575604,-0.0036219256790575604
34,1641338277,6.922918755349845778,1614.884363652352,2022-01-05,80742.630012422500,2452.7132315190706,3960848.2461033785,16979.934431978105,-3943868.3116714004,-0.0039438683116714
33,1641286437,6.922918755349845778,1614.884363652352,2022-01-04,80742.630012422500,2407.7947179273847,3888310.0408656592,16668.967211771786,-3871641.0736538875,-0.0038716410736538876
31,1641182757,6.922918755349845778,1614.884363652352,2022-01-03,80742.630012422500,2473.43411136602,3994310.0709693357,17123.3833996979,-3977186.687569638,-0.003977186687569638
29,1641079077,6.922918755349845778,1614.884363652352,2022-01-02,80742.630012422500,2432.427575912272,3928089.2580575226,16839.49848631323,-3911249.7595712095,-0.003911249759571209
28,1641027237,6.922918755349845778,1614.884363652352,2022-01-01,80742.630012422500,2341.3853251303854,3781066.5508381375,16209.220380846044,-3764857.3304572916,-0.0037648573304572917
26,1640923557,6.922918755349845778,1614.884363652352,2021-12-31,80742.630012422500,2399.0226629452072,3874144.186437842,16608.23898781271,-3857535.947450029,-0.003857535947450029
24,1640819878,6.922918755349845778,1614.884363652352,2021-12-30,80742.630012422500,2357.043138159667,3806352.108268116,16317.618148334217,-3790034.490119782,-0.003790034490119782
23,1640768038,6.922918755349845778,1614.884363652352,2021-12-29,80742.630012422500,2508.6879303647843,4051240.912029471,17367.442724442157,-4033873.4693050287,-0.004033873469305028
21,1640664358,9.211701327032673466,1581.667100010538,2021-12-28,79081.799498100000,2680.611642101846,4239835.242217713,24692.993820808806,-4215142.248396904,-0.0042151422483969045
19,1640560678,9.210724736775477236,1678.6833878886239,2021-12-27,83932.518480605000,2692.117289480463,4519212.5720986035,24796.351312518644,-4494416.220786084,-0.004494416220786084
18,1640508838,9.210724736775477236,1678.6833878886239,2021-12-26,83932.518480605000,2701.440143834723,4534862.692830805,24882.221557736782,-4509980.471273068,-0.0045099804712730686
16,1640405158,9.210263681593316380,1689.4407396396966,2021-12-25,84470.375488760000,2569.4981301703283,4341014.821537777,23665.755308229705,-4317349.066229547,-0.004317349066229548
14,1640301478,9.208696025693413160,1599.347961564568,2021-12-24,79965.825187425000,2672.0208541377665,4273491.106323253,24605.827820068367,-4248885.278503185,-0.004248885278503185
13,1640249638,9.208696025693413160,1599.347961564568,2021-12-23,79965.825187425000,2454.895528919873,3926232.160031971,22606.38670065696,-3903625.7733313143,-0.0039036257733313143
11,1640145959,9.213941422146795029,1600.1103724146424,2021-12-22,80003.944980130000,2433.08675430748,3893207.3525520754,22418.3188291904,-3870789.033722885,-0.003870789033722885
9,1640042279,6.921034760537382554,1176.4884368225537,2021-12-21,58823.264814710000,2355.9178307418792,2771710.085971895,16305.389199534375,-2755404.6967723607,-0.0027554046967723607
8,1639990439,6.921034760537382554,1176.4884368225537,2021-12-20,58823.264814710000,2386.998588819333,2808276.2384576984,16520.500206572284,-2791755.738251126,-0.002791755738251126
6,1639886759,6.921034760537382554,1176.4884368225537,2021-12-19,58823.264814710000,2476.5984767707287,2913689.470573112,17140.62414562415,-2896548.8464274877,-0.0028965488464274877
4,1639783079,0.05357777785870303500,915.9406482478373,2021-12-18,45796.131623660000,2373.304823754037,2173806.358758992,127.15639863808218,-2173679.202360354,-0.0021736792023603537
3,1639731239,0.05357777785870303500,915.9406482478373,2021-12-17,45796.131623660000,2329.3749181831417,2133569.1725729196,124.80273191605094,-2133444.369841004,-0.0021334443698410037
1,1639627559,0.05357777785870303500,915.9406482478373,2021-12-16,45796.131623660000,2375.8041119403742,2176095.558400544,127.29030494533464,-2175968.2680955986,-0.0021759682680955986
0,1639575719,0.05357539811289731000,915.9406489568511,2021-12-15,45796.131659110000,2302.9244113081522,2109342.0797921633,123.38009215974394,-2109218.6997000035,-0.0021092186997000036
78,1639264689,100.418596541585487995,1176.4385086869097,2021-12-12,58820.768457030000,2446.8936989260437,2878619.974079951,245713.6311326021,-2632906.342947349,-0.002632906342947349
76,1639161008,200.702685940130543505,915.8907194031793,2021-12-11,45793.635230530000,2354.2739861295117,2156257.694828349,472509.1124551706,-1683748.5823731786,-0.0016837485823731786
75,1639109168,200.702685940130543505,915.8907194031793,2021-12-10,45793.635230530000,2529.509951127668,2316754.688875821,507679.44130361127,-1809075.2475722097,-0.0018090752475722097
73,1639005488,200.541586316546336205,653.1955399239074,2021-12-09,32659.134606120000,2723.3450667555308,1778876.8512784885,546143.9397744951,-1232732.9115039934,-0.0012327329115039934
71,1638901807,200.541586316546336205,653.1955399239074,2021-12-08,32659.134606120000,2608.8080614888863,1704061.7902820753,523174.50704637554,-1180887.2832356999,-0.0011808872832357
70,1638849967,200.541586316546336205,653.1955399239074,2021-12-07,32659.134606120000,2608.4090170594923,1703801.1362405636,523094.48204349406,-1180706.6541970696,-0.0011807066541970697
68,1638746287,200.344774473508077017,653.2791169553967,2021-12-06,32663.313375500000,2575.1187704778977,1682271.316433068,515911.5893138919,-1166359.727119176,-0.001166359727119176
66,1638642606,200.344774473508077017,653.2791169553967,2021-12-05,32663.313375500000,2586.7705680692443,1689883.1924744858,518245.96607454115,-1171637.2263999446,-0.0011716372263999447
65,1638590766,200.344774473508077017,653.2791169553967,2021-12-04,32663.313375500000,2777.166797083999,1814265.0728368822,556390.8556371086,-1257874.2171997735,-0.0012578742171997735
63,1638487086,200.225703914986059771,543.4145396952706,2021-12-03,27170.192559640000,2963.979933451468,1610669.7912025482,593464.9685652136,-1017204.8226373346,-0.0010172048226373346
61,1638383405,200.225703914986059771,543.4145396952706,2021-12-02,27170.192559640000,2972.367071316758,1615227.4838649756,595144.2891481234,-1020083.1947168523,-0.0010200831947168522
60,1638331565,200.225703914986059771,543.4145396952706,2021-12-01,27170.192559640000,3055.884475752712,1660612.0557530834,611866.6202404649,-1048745.4355126186,-0.0010487454355126186
58,1638227885,200.125265097317532353,1242.9127897022602,2021-11-30,62144.417133165000,3087.308056453096,3837254.6691163806,617848.3432347602,-3219406.3258816204,-0.0032194063258816205
56,1638124204,150.056901225542572110,1227.6457655854122,2021-11-29,61381.080941792500,3074.512313079531,3774412.022392297,461351.79048048955,-3313060.231911808,-0.003313060231911808
55,1638072364,150.056901225542572110,1227.6457655854122,2021-11-28,61381.080941792500,3069.9256362573688,3768781.208013461,460663.5279696329,-3308117.680043828,-0.0033081176800438283
