,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
0,1639420200,1008.027034519972707442,1237.3775294887193,2021-12-14,61743.354591200000,15.878127072211987,19647.23764952162,16005.581346333149,-3641.6563031884707,-3.6416563031884705e-06
18,1638331557,1625.046257193158355713,1253.5884677649833,2021-12-01,62552.257037215000,21.99977103136211,27578.65925838569,35750.64557362146,8171.986315235772,8.171986315235772e-06
16,1638227878,1625.046257193158355713,1253.5884677649833,2021-11-30,62552.257037215000,22.223742184062445,27859.426912522864,36114.60905703638,8255.182144513517,8.255182144513517e-06
15,1638176038,1625.046257193158355713,1253.5884677649833,2021-11-29,62552.257037215000,21.575248031751123,27046.482121772362,35060.776062011224,8014.293940238862,8.014293940238862e-06
13,1638072358,1625.046257193158355713,1253.5884677649833,2021-11-28,62552.257037215000,21.471224180759126,26916.079021796293,34891.73249229786,7975.653470501566,7.975653470501566e-06
11,1637968678,1625.046257193158355713,1253.5884677649833,2021-11-27,62552.257037215000,21.415388877955653,26846.08453010769,34800.99754245783,7954.913012350138,7.954913012350138e-06
10,1637916838,1625.046257193158355713,1253.5884677649833,2021-11-26,62552.257037215000,22.706231109589947,28464.269465388457,36898.675879602,8434.406414213543,8.434406414213543e-06
8,1637813158,1625.046257193158355713,1253.5884677649833,2021-11-25,62552.257037215000,22.1275045784789,27738.784559998014,35958.21849628161,8219.433936283596,8.219433936283596e-06
6,1637709478,1625.046257193158355713,1253.5884677649833,2021-11-24,62552.257037215000,23.10546217756595,28964.740928176674,37547.444832371635,8582.703904194961,8.58270390419496e-06
5,1637657638,1625.046257193158355713,1253.5884677649833,2021-11-23,62552.257037215000,23.756143495991186,29780.427525144663,38604.83207350407,8824.404548359405,8.824404548359405e-06
3,1637553959,1625.046257193158355713,1253.5884677649833,2021-11-22,62552.257037215000,22.99606288665885,28827.59923871387,37369.66592414347,8542.0666854296,8.542066685429599e-06
2,1637502119,1625.046257193158355713,1253.5884677649833,2021-11-21,62552.257037215000,23.055667376752783,28902.318740122635,37466.52597768252,8564.207237559884,8.564207237559883e-06
59,1636413477,1606.289273060456270071,1272.7223218223585,2021-11-09,63507.008766260000,25.763940409857067,32790.34205772617,41384.34111212223,8593.99905439606,8.59399905439606e-06
58,1636361637,1581.291616648343614288,1296.3394986004203,2021-11-08,64685.471834725000,24.69918656502407,32018.53112754154,39056.61665330596,7038.085525764418,7.038085525764418e-06
56,1636257957,1581.291616648343614288,1296.3394986004203,2021-11-07,64685.471834725000,24.56027836626137,31838.458942806017,38836.96228311878,6998.503340312764,6.998503340312763e-06
54,1636154277,1581.291616648343614288,1296.3394986004203,2021-11-06,64685.471834725000,24.840200107447174,32201.332552422176,39279.600185773495,7078.267633351319,7.078267633351319e-06
53,1636102437,1581.291616648343614288,1296.3394986004203,2021-11-05,64685.471834725000,25.22168060869714,32695.860794138396,39882.83210431488,7186.971310176486,7.186971310176486e-06
51,1635998757,1581.291616648343614288,1296.3394986004203,2021-11-04,64685.471834725000,25.6741930284816,33282.47051751224,40598.386200149296,7315.915682637053,7.315915682637052e-06
49,1635895077,1581.291616648343614288,1296.3394986004203,2021-11-03,64685.471834725000,25.53834404426457,33106.364113426964,40383.569340276714,7277.20522684975,7.27720522684975e-06
