,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1641960356,9846.697516529331183277,84830.85120181278,2022-01-12,4237653.576136395000,6.969877655310527,591260.654272487,68630.27699905945,-522630.37727342756,-0.0005226303772734275
47,1641856676,10596.708025378213185322,104682.88006380561,2022-01-11,5229344.923196570000,6.581233088487847,688942.4340741223,69739.4054856638,-619203.0285884585,-0.0006192030285884586
46,1641804836,11345.501337946184643007,104678.33474703728,2022-01-10,5229117.865733570000,6.937585443919244,726214.8914347519,78710.38493610175,-647504.5064986502,-0.0006475045064986502
44,1641701156,11342.509495802338174318,104625.15193602242,2022-01-09,5226461.163294620000,6.5845904854998665,688913.7799819112,74685.78010775197,-614227.9998741592,-0.0006142279998741592
42,1641597477,11342.509495802338174318,104625.15193602242,2022-01-08,5226461.163294620000,7.152416433513209,748322.656066023,81126.35131505626,-667196.3047509668,-0.0006671963047509669
41,1641545637,11342.155389765022359121,111067.31171954183,2022-01-07,5548273.818218087500,7.454539357229957,827955.6465150526,84550.54374882125,-743405.1027662314,-0.0007434051027662314
39,1641441957,11337.602791688351293496,130599.411580337,2022-01-06,6523983.382037520000,7.698476365144857,1005416.4833530498,87282.26712921313,-918134.2162238368,-0.0009181342162238367
37,1641338277,11337.602791688351293496,130599.411580337,2022-01-05,6523983.382037520000,8.096657624491813,1057418.72152608,91796.68808678316,-965622.0334392969,-0.0009656220334392969
36,1641286437,11337.602791688351293496,130599.411580337,2022-01-04,6523983.382037520000,8.516903889092546,1112302.6364017702,96561.27330951704,-1015741.3630922531,-0.001015741363092253
34,1641182757,11336.122447337224902767,130862.51079354758,2022-01-03,6537126.281182645000,8.975739917217464,1174587.8617969463,101750.08675702968,-1072837.7750399166,-0.0010728377750399167
32,1641079077,11334.595479544545124365,131049.81735620614,2022-01-02,6546483.022437020000,9.169157605334188,1201616.4294893139,103928.69234465236,-1097687.7371446616,-0.0010976877371446617
31,1641027237,11333.612363091046060399,133238.36312263508,2022-01-01,6655809.979107325000,9.442705144974937,1258130.5769661453,107019.9597721114,-1151110.617194034,-0.0011511106171940338
29,1640923557,3742.755949216666792112,135565.85846899025,2021-12-31,6772078.044772002500,10.24682422107986,1389119.5221115337,38351.36231402408,-1350768.1597975097,-0.0013507681597975097
27,1640819878,23597.746619529806150221,137087.98619273907,2021-12-30,6848114.650564575000,9.097428639489653,1247148.1717197865,214678.8159239306,-1032469.3557958559,-0.001032469355795856
26,1640768038,23276.826153802776475962,142580.57613834695,2021-12-29,7122492.345654336667,9.099628737717438,1297430.3080688112,211810.47619199663,-1085619.8318768146,-0.0010856198318768145
24,1640664358,21139.875549974966715959,113386.98958822187,2021-12-28,5664151.368383307500,9.132540211987381,1035511.2419306308,193060.76353655526,-842450.4783940755,-0.0008424504783940756
22,1640560678,22152.370860476737069353,113353.80326768475,2021-12-27,5662493.573749510000,7.939165836547874,899934.6423455715,175871.34593403552,-724063.296411536,-0.0007240632964115361
21,1640508838,22270.749898688720910222,113329.46699591001,2021-12-26,5661277.875832360000,7.649620027881638,866927.3604810643,170362.7744609522,-696564.586020112,-0.000696564586020112
