,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
46,1641856676,50302644.525837362667778763,87044713.54870413,2022-01-11,4329928123.79054565,1.0024759087603576,87260228.31752218,50427189.284088045,-36833039.03343414,-0.036833039033434135
45,1641804836,50071530.232968440662765050,87044713.54870413,2022-01-10,4329928123.79054565,1.0002987914668373,87070721.76634578,50086491.17893354,-36984230.587412246,-0.036984230587412244
43,1641701156,50004098.581587979450327354,87044713.54870413,2022-01-09,4329928123.79054565,0.9973118011244516,86810720.04762007,49869677.62000814,-36941042.42761193,-0.03694104242761193
41,1641597477,49983994.855366748126045715,87044713.54870413,2022-01-08,4329928123.79054565,1.0022367538771892,87239411.14922303,50095796.7496569,-37143614.39956613,-0.03714361439956613
40,1641545637,49921058.230583428648808353,87044713.54870413,2022-01-07,4329928123.79054565,1.0007252286094106,87107840.8652676,49957262.410224296,-37150578.45504331,-0.037150578455043305
38,1641441957,49863828.489533238362796577,87044713.54870413,2022-01-06,4329928123.79054565,0.9991753402265621,86972931.27495009,49822707.796028316,-37150223.47892177,-0.03715022347892177
36,1641338277,49849648.183183480653113466,87044713.54870413,2022-01-05,4329928123.79054565,1.0021493485367277,87231802.97639991,49956792.4515624,-37275010.524837516,-0.03727501052483752
35,1641286437,49840985.243590822487816488,87044713.54870413,2022-01-04,4329928123.79054565,1.0015556054850516,87180120.78254524,49918518.15361613,-37261602.62892911,-0.03726160262892911
33,1641182757,49840985.243590822487816488,87044713.54870413,2022-01-03,4329928123.79054565,1.000807028211201,87114961.08817384,49881208.32475645,-37233752.763417386,-0.03723375276341739
31,1641079077,49836334.980907984332846870,87044713.54870413,2022-01-02,4329928123.79054565,1.0057605590100167,87546139.75761144,50123420.129408464,-37422719.628202975,-0.037422719628202976
30,1641027237,49835857.949354256151872893,87044713.54870413,2022-01-01,4329928123.79054565,0.9982359249778655,86891160.14372401,49747943.75713915,-37143216.38658486,-0.03714321638658486
28,1640923557,49740660.790466068760290705,87044713.54870413,2021-12-31,4329928123.79054565,1.002001748348852,87218955.16032654,49840229.07607418,-37378726.08425236,-0.037378726084252356
26,1640819878,49074427.627375194308236249,87044713.54870413,2021-12-30,4329928123.79054565,0.998322636486753,86898707.9221765,48992111.97303956,-37906595.949136935,-0.03790659594913694
25,1640768038,49074427.627375194308236249,87044713.54870413,2021-12-29,4329928123.79054565,0.9997181437312388,87020179.4505279,49060595.69231255,-37959583.75821535,-0.03795958375821535
23,1640664358,48894698.824134444738369408,87044713.54870413,2021-12-28,4329928123.79054565,0.9997534047497002,87023248.73577932,48882641.62363958,-38140607.11213973,-0.038140607112139735
21,1640560678,48887056.566581626323318456,87044713.54870413,2021-12-27,4329928123.79054565,1.0008309952154049,87117047.2891894,48927681.47668369,-38189365.81250571,-0.038189365812505705
20,1640508838,48762092.437511791936600565,87044713.54870413,2021-12-26,4329928123.79054565,1.0016774290819972,87190724.88264485,48843887.38946551,-38346837.493179336,-0.03834683749317934
18,1640405158,48637850.246305022944954463,87044713.54870413,2021-12-25,4329928123.79054565,1.0017555065769979,87197521.11583178,48723234.31230345,-38474286.803528324,-0.038474286803528324
16,1640301478,48466351.698024221266221207,87044713.54870413,2021-12-24,4329928123.79054565,1.002041813610772,87222442.62957363,48565310.954585716,-38657131.67498791,-0.03865713167498791
15,1640249638,48297217.873988862120913215,87044713.54870413,2021-12-23,4329928123.79054565,1.0008944834394793,87122573.60346767,48340418.93555006,-38782154.66791762,-0.038782154667917616
13,1640145959,48219791.747785593779478452,87044713.54870413,2021-12-22,4329928123.79054565,1.0007738358673477,87112071.87011112,48257105.95215607,-38854965.917955056,-0.03885496591795506
11,1640042279,48206796.842268175531298164,87044713.54870413,2021-12-21,4329928123.79054565,1.0044645095415072,87433325.50288008,48422016.54673598,-39011308.9561441,-0.0390113089561441
10,1639990439,48206796.842268175531298164,87044713.54870413,2021-12-20,4329928123.79054565,0.9971771117679525,86798996.05116555,48070714.44275743,-38728281.60840812,-0.038728281608408126
8,1639886759,48198629.600236116918430416,87044793.35685234,2021-12-19,4329932093.74496620,1.0003625697890954,87076353.16922158,48216104.96720498,-38860248.2020166,-0.0388602482020166
6,1639783079,48447724.811985405594532808,87044793.35685234,2021-12-18,4329932093.74496620,0.9985023986138946,86914434.95366785,48375169.43215333,-38539265.52151452,-0.03853926552151452
5,1639731239,48554583.367386143156926044,87044793.35685234,2021-12-17,4329932093.74496620,0.9988138045025411,86941541.2148952,48496988.139214754,-38444553.07568045,-0.03844455307568045
3,1639627559,48131932.400175758951890155,87044793.35685234,2021-12-16,4329932093.74496620,0.9996190534027342,87011633.93901333,48113596.70430807,-38898037.23470526,-0.03889803723470526
1,1639523879,48084663.465406106502118052,87044793.35685234,2021-12-15,4329932093.74496620,1.002443411579276,87257479.61285615,48202154.08890307,-39055325.52395308,-0.03905532552395308
0,1639472039,48084663.465406106502118052,87044793.35685234,2021-12-14,4329932093.74496620,0.9953509462835358,86640117.43679781,47861115.28201733,-38779002.154780485,-0.03877900215478049
90,1639264676,48078223.377335516286745607,87044793.35685234,2021-12-12,4329932093.74496620,1.0007796911001703,87112661.40754883,48115709.54021483,-38996951.867334,-0.038996951867334
89,1639212836,48081858.150972398805413498,87044793.35685234,2021-12-11,4329932093.74496620,0.994981096809914,86607923.96579325,47840539.95971323,-38767384.006080024,-0.03876738400608003
87,1639109156,48071992.764839922758690168,87044793.35685234,2021-12-10,4329932093.74496620,0.9956324469647305,86664620.60542221,47862035.78692839,-38802584.81849382,-0.03880258481849382
85,1639005477,47908672.053825430568159297,87045668.73351757,2021-12-09,4329975638.23936802,0.9994867642507749,87000993.78450832,47884083.61062953,-39116910.17387879,-0.03911691017387879
84,1638953637,47679744.796712686605360753,87045887.5776839,2021-12-08,4329986524.36296847,1.0003127104162381,87073107.73342013,47694654.74955421,-39378452.983865924,-0.03937845298386593
