,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1641960356,466997.855226513061657723,9465722.694156865,2022-01-12,467954563.05320092,15.97779568078496,151241383.17820773,7461596.314174018,-143779786.8640337,-0.1437797868640337
47,1641856676,466933.876902522207039512,9508085.311686525,2022-01-11,470048833.17038059,15.153966304360306,144085204.43228075,7075900.236945145,-137009304.1953356,-0.1370093041953356
46,1641804836,466333.008149099072767443,9739845.82546313,2022-01-10,481506319.66787354,15.823337635503357,154116869.014051,7378944.638523134,-146737924.37552786,-0.14673792437552785
44,1641701156,465787.918074368325512010,9744911.525510632,2022-01-09,481756751.41290567,14.927288377919501,145465104.55860865,6952950.576046839,-138512153.98256183,-0.13851215398256184
42,1641597477,465728.373034210947567689,9765173.117889535,2022-01-08,482758418.68277879,15.79027176297993,154194737.3440218,7353977.577940685,-146840759.76608112,-0.14684075976608113
41,1641545637,465694.094365424768750314,9769783.976775382,2022-01-07,482986364.55917330,17.112550442129038,167185921.11127275,7969213.680429931,-159216707.43084282,-0.15921670743084282
39,1641441957,465632.567668932949279778,9603570.23949212,2022-01-06,474769297.64130951,17.262822629223788,165784729.65164468,8038132.4260588335,-157746597.22558585,-0.15774659722558584
37,1641338277,465544.766989152121032789,5418574.2241913285,2022-01-05,267876697.36173765,18.34947387011855,99427986.14009668,8542501.537237875,-90885484.60285881,-0.09088548460285881
36,1641286437,465493.221283156256487408,5418575.127791415,2022-01-04,267876742.03278887,18.438001548948492,99907696.59931189,8582764.735043855,-91324931.86426803,-0.09132493186426803
34,1641182757,465423.950831589856458046,5386068.785518484,2022-01-03,266269734.12792210,18.348436916562584,98825943.33935276,8539802.001290752,-90286141.338062,-0.09028614133806201
32,1641079077,465327.491395817952541699,5402537.077413037,2022-01-02,267083872.95141680,17.501847838535845,94554381.87093113,8144090.949497204,-86410290.92143393,-0.08641029092143393
31,1641027237,414635.859736974008842764,5345877.161199324,2022-01-01,264282790.85857392,17.05830184651069,91191586.25010575,7072983.651780773,-84118602.59832498,-0.08411860259832499
29,1640923557,518177.885043622680332126,5278886.417349546,2021-12-31,260970986.22624695,17.788046793465686,93901078.60920416,9217372.466495043,-84683706.14270912,-0.08468370614270912
27,1640819878,518083.631523726971282144,5300348.056727724,2021-12-30,262031979.91918704,17.139968666548977,90847799.61411695,8879937.210968586,-81967862.40314837,-0.08196786240314836
26,1640768038,525042.651737243630004685,5302295.66257355,2021-12-29,262128263.22179698,18.466954809675723,97917254.38828534,9695938.922783988,-88221315.46550135,-0.08822131546550135
24,1640664358,522762.271912563806022443,5305171.829876522,2021-12-28,262270451.58469510,19.119611915933174,101432826.53458014,9995011.763259752,-91437814.77132039,-0.09143781477132039
22,1640560678,521844.737761106990380917,5326639.578366625,2021-12-27,263331747.29227210,18.676675766974135,99483920.33268528,9746324.96786584,-89737595.36481944,-0.08973759536481944
21,1640508838,521820.567156647755066407,5327059.142635231,2021-12-26,263352489.18597969,17.537060100939087,93420956.34565109,9151198.64813225,-84269757.69751884,-0.08426975769751884
19,1640405158,522022.955328248091479140,5337668.060816868,2021-12-25,263876959.61814434,17.505148846217573,93436673.8963008,9138089.534163369,-84298584.36213742,-0.08429858436213743
17,1640301478,521965.751637995731839703,5334851.42675992,2021-12-24,263737714.38542551,18.192447300688,97054003.43833002,9495834.429438235,-87558169.00889179,-0.0875581690088918
16,1640249638,521906.075085670029783433,6893180.911666736,2021-12-23,340776458.99735428,16.217342471774156,111789075.56439586,8463929.557763787,-103325146.00663207,-0.10332514600663208
14,1640145959,521837.303678133799143093,8556723.102585886,2021-12-22,423016577.81603416,15.092040775445797,129138413.96842526,7875589.865259086,-121262824.10316618,-0.12126282410316618
12,1640042279,576081.228300556671781176,8600074.933666721,2021-12-21,425159751.43589001,14.530517192162566,124963536.67753063,8370758.191903369,-116592778.48562726,-0.11659277848562727
11,1639990439,598993.347017210843348853,8630711.43294606,2021-12-20,426674320.38080459,14.959625340689453,129112209.46047805,8960716.052943058,-120151493.40753499,-0.12015149340753499
9,1639886759,600396.074456920748016108,8642503.759763572,2021-12-19,427257294.68943040,15.6035029794557,134853333.16542798,9368281.936642071,-125485051.22878592,-0.12548505122878592
7,1639783079,600296.823586208894459917,8669545.857536137,2021-12-18,428594168.10692593,14.995422443035723,130003502.52302478,9001704.460887693,-121001798.0621371,-0.1210017980621371
