,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1641960356,2127605397.78989133,2843140341.2962666,2022-01-12,128264457599.05223835,0.9998590606997351,2842739631.086009,2127305534.573887,-715434096.5121219,-0.7154340965121219
47,1641856676,2136967005.78056722,2849960606.2300158,2022-01-11,128572144690.57666162,1.000715385370986,2851999426.3555994,2138495760.7147822,-713503665.6408172,-0.7135036656408171
46,1641804836,2164877891.56339007,2895829104.088996,2022-01-10,130641440361.04047836,1.0005933470813582,2897547335.836019,2166162415.5418463,-731384920.2941728,-0.7313849202941728
44,1641701156,2192819957.71650598,2945997285.0692396,2022-01-09,132904710460.19721555,0.9994029448446835,2944238362.2026405,2191510723.25607,-752727638.9465704,-0.7527276389465704
42,1641597477,2227278957.92744328,2963387617.301911,2022-01-08,133689251940.22623406,1.002207271479534,2969928618.2723856,2232195167.2482424,-737733451.0241432,-0.7377334510241432
41,1641545637,2162951012.50594012,2810313340.325,2022-01-07,126783511543.37375117,1.000597733788647,2811993159.5651975,2164243881.4093027,-647749278.1558948,-0.6477492781558948
39,1641441957,2222494052.78934980,2809634465.8835783,2022-01-06,126752885034.81136529,1.00154495565859,2813975226.550215,2225927707.552389,-588047518.9978256,-0.5880475189978256
37,1641338277,2281690446.55922435,2904401975.7801504,2022-01-05,131028193952.32853473,0.9998077875815131,2903843713.6521277,2281251877.3202524,-622591836.3318753,-0.6225918363318753
36,1641286437,2272372150.54742018,2918555506.902423,2022-01-04,131666711497.92455073,1.0008293667320893,2920976059.745604,2274256780.41201,-646719279.3335938,-0.6467192793335939
34,1641182757,2254844387.91123773,2928411305.098702,2022-01-03,132111342595.26780576,1.0003279953892503,2929371810.504603,2255583966.4739494,-673787844.0306535,-0.6737878440306535
32,1641079077,2164821981.64439906,2818092646.6612396,2022-01-02,127134464499.58967978,1.0049661491112332,2832087714.9538293,2175572810.4045205,-656514904.5493088,-0.6565149045493088
31,1641027237,2204880803.71402435,2865421414.824609,2022-01-01,129269638303.40485577,1.0004306190189083,2866655319.7830195,2205830267.32253,-660825052.4604897,-0.6608250524604897
29,1640923557,2275661028.53008843,2942414830.9874587,2021-12-31,132743092856.24044761,1.0032391820770392,2951945848.3712077,2283032308.9471197,-668913539.424088,-0.668913539424088
27,1640819878,2447567396.77257988,3178258652.836077,2021-12-30,143382870094.14792112,1.0052491203497327,3194941715.007393,2460414972.6023207,-734526742.4050722,-0.7345267424050722
26,1640768038,2462627313.90777178,3193870967.242281,2021-12-29,144087198688.16473383,0.9999649206617851,3193758928.3624063,2462540926.57133,-731218001.7910762,-0.7312180017910762
24,1640664358,2460611108.34403786,3188223923.07265,2021-12-28,143832439875.54646478,0.9999943110111517,3188205785.3023057,2460597109.954882,-727608675.3474236,-0.7276086753474236
22,1640560678,2453293699.82702439,3254631443.6171556,2021-12-27,146828325966.50725136,1.000044386755775,3254775906.1481805,2453402593.5753226,-801373312.5728579,-0.8013733125728578
21,1640508838,2478425365.24082567,3293314554.5864286,2021-12-26,148573462558.83442612,0.9999938549872146,3293294317.1263843,2478410135.285269,-814884181.8411155,-0.8148841818411154
19,1640405158,2599028331.66906736,3401965363.5251803,2021-12-25,153475097864.62922606,1.0021178805913122,3409170319.940907,2604532763.32898,-804637556.611927,-0.804637556611927
17,1640301478,2578021071.18156225,3400269812.256199,2021-12-24,153398605346.58907854,1.0037032919884286,3412862004.2104225,2587568235.9604692,-825293768.2499533,-0.8252937682499533
16,1640249638,2578036318.74208620,3405805755.79634,2021-12-23,153648352003.53793812,1.0022051215043384,3413315971.308046,2583721202.06751,-829594769.2405357,-0.8295947692405358
14,1640145959,2581835743.74679711,3519385263.827766,2021-12-22,158772338948.68326578,1.002035591208254,3526549293.529272,2587091305.8879232,-939457987.6413488,-0.9394579876413488
12,1640042279,2529031724.61202987,3503507651.747607,2021-12-21,158056041806.45311265,1.0031801488399719,3514649327.542145,2537074421.9173064,-977574905.6248384,-0.9775749056248384
11,1639990439,2526902750.55534992,3506694346.5821824,2021-12-20,158199805263.55495173,0.9987582573206193,3502339934.548488,2523764987.5633407,-978574946.9851475,-0.9785749469851475
9,1639886759,2510943196.61279087,3525893237.7122846,2021-12-19,159065937448.99014793,1.0004683284416795,3527544513.7978306,2512119142.727206,-1015425371.0706244,-1.0154253710706242
7,1639783079,2520920184.89481783,3619353209.8153124,2021-12-18,163282258555.23279168,0.9997624272038046,3618493349.952838,2520321282.837507,-1098172067.1153312,-1.0981720671153312
6,1639731239,2497704947.79327850,3610256436.848656,2021-12-17,162871869861.60327774,1.0004251063497358,3611791179.784135,2498766738.0263515,-1113024441.7577834,-1.1130244417577835
4,1639627559,2553539536.07107197,3675307401.03205,2021-12-16,165806556734.45543973,0.9995022904553682,3673478165.4591007,2552268615.071375,-1121209550.3877258,-1.1212095503877257
2,1639523879,2585083466.43201835,3675719585.9941983,2021-12-15,165825151905.37696356,1.001547113540312,3681406341.53608,2589082884.0657725,-1092323457.4703074,-1.0923234574703073
0,1639420200,2649782623.08760619,3736620692.32997,2021-12-14,168572623515.51162805,0.998431856652746,3730761135.4500813,2645627384.095542,-1085133751.3545394,-1.0851337513545394
99,1639368356,2676659135.09322371,3770696772.74483,2021-12-13,170109920112.52762840,0.999231581126135,3767799298.177031,2674602339.6949153,-1093196958.4821157,-1.0931969584821157
97,1639264676,2725558719.41821177,3784106119.5428934,2021-12-12,170714864781.92339640,0.9976642221865579,3775267288.4251547,2719192419.8321614,-1056074868.5929933,-1.0560748685929933
96,1639212836,2758529357.68095788,3811746007.2581897,2021-12-11,171961801190.37547534,0.9961241561275025,3796972274.8524413,2747837728.572885,-1049134546.2795563,-1.0491345462795563
94,1639109156,2785190372.80166898,3821720754.473426,2021-12-10,172411798512.93696563,0.9985747046642346,3816273673.707477,2781220653.954096,-1035053019.7533813,-1.0350530197533812
92,1639005477,2785601427.75024215,3771737231.663628,2021-12-09,170156859019.10754540,1.000099566894019,3772112771.8248405,2785878781.4323773,-986233990.3924632,-0.9862339903924632
91,1638953637,2752466718.60457427,3736328912.913174,2021-12-08,168559460279.04018921,1.0020050105897729,3743820291.9504395,2757985443.5233736,-985834848.4270658,-0.9858348484270658
89,1638849957,2744332837.19006272,3786380183.2968116,2021-12-07,170817456113.66500698,1.0009222152041022,3789872040.670359,2746863702.657636,-1043008338.012723,-1.043008338012723
87,1638746277,2777077243.62976511,3660113802.1872663,2021-12-06,165121117930.57447444,1.001201788493352,3664512484.8390937,2780414703.106309,-884097781.7327847,-0.8840977817327847
86,1638694437,2783959559.55928864,3672307975.9071474,2021-12-05,165671241698.76524457,0.999132144612245,3669120943.6447606,2781543485.256233,-887577458.3885274,-0.8875774583885274
84,1638590757,2889513441.05847045,3787797089.55179,2021-12-04,170881377936.17366261,1.0020663203323739,3795623891.6928377,2895484101.432397,-900139790.2604408,-0.9001397902604408
82,1638487077,2878341631.17303494,3771963059.0093274,2021-12-03,170167046916.47809883,0.9981847390456269,3765115961.74697,2873116689.9966197,-891999271.7503505,-0.8919992717503504
81,1638435237,2870212526.96070788,3728069924.823327,2021-12-02,168186867124.81753822,1.0007834225567176,3730990578.895454,2872461116.1969023,-858529462.6985517,-0.8585294626985517
79,1638331557,2863896160.05610323,3727726550.4914227,2021-12-01,168171376253.05316348,0.9977658019593205,3719398071.136126,2857497648.866596,-861900422.2695298,-0.8619004222695298
77,1638227878,2870146225.04974861,3868330284.3840656,2021-11-30,174514524849.05912457,0.9984575534746769,3862363591.7781153,2865719177.9777517,-996644413.8003635,-0.9966444138003635
76,1638176038,2875663058.62197506,3932429617.9315214,2021-11-29,177406280183.99860474,1.0004934014057925,3934369884.2331886,2877081914.8176847,-1057287969.415504,-1.057287969415504
74,1638072358,2927728846.37759655,3990316668.8037524,2021-11-28,180017776730.36686700,0.999736893024412,3989266788.653385,2926958540.4954844,-1062308248.1579008,-1.0623082481579007
72,1637968678,2845935198.54014839,3883677600.128872,2021-11-27,175206898384.41243525,0.9999429300274965,3883455958.75502,2845772781.0966206,-1037683177.6583996,-1.0376831776583997
71,1637916838,2788458739.18823768,3817588061.032355,2021-11-26,172225357599.36582973,0.9979628377563338,3809811014.7725487,2782778196.326742,-1027032818.4458065,-1.0270328184458064
69,1637813158,2789088945.44153497,3706853732.171774,2021-11-25,167229727090.87613881,0.9999580024462168,3706698053.3827906,2788971810.528542,-917726242.8542485,-0.9177262428542485
67,1637709478,2870157864.80120341,3766989411.6812305,2021-11-24,169942667497.86084236,1.0012366070029162,3771647697.1676264,2873707122.116292,-897940575.0513344,-0.8979405750513344
66,1637657638,2866138758.80692736,3768376521.9577847,2021-11-23,170005245114.82476030,0.9999017290703515,3768006200.093706,2865857100.686598,-902149099.4071083,-0.9021490994071083
64,1637553959,2858122866.22676832,3759190086.825597,2021-11-22,169590811433.03129455,1.0029429219625317,3770253089.893447,2866534098.781401,-903718991.1120458,-0.9037189911120458
62,1637450279,2775145969.98028325,3576144032.471228,2021-11-21,161332934557.80629273,1.0063141945917666,3598724501.7804365,2792668781.655296,-806055720.1251407,-0.8060557201251407
