,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1641960356,621332241.01508002,825868561.7487068,2022-01-12,38687768745.67539121,1.0004184134103478,826214116.2301271,621592214.7570021,-204621901.47312498,-0.20462190147312498
47,1641856676,614780235.14253837,849441976.5141364,2022-01-11,39792064103.59498660,1.0010964178053856,850373319.8218285,615454291.1387478,-234919028.68308067,-0.23491902868308068
46,1641804836,644492249.58714944,851443969.500322,2022-01-10,39885847358.30082391,0.9994756681661351,850997530.3223606,644154321.7840116,-206843208.53834903,-0.20684320853834903
44,1641701156,648163805.71038384,843507302.8475302,2022-01-09,39514054632.07744572,0.9976930894854255,841561406.9814708,646668549.811824,-194892857.16964686,-0.19489285716964685
42,1641597477,650627716.85379992,838566409.0746864,2022-01-08,39282598726.70191577,1.0020948041790443,840323041.4928222,651990654.5140673,-188332386.97875488,-0.18833238697875487
41,1641545637,605897773.92428033,830948956.4267154,2022-01-07,38925759563.51615618,1.0011714415556676,831922364.5649123,606607547.7551417,-225314816.80977058,-0.22531481680977059
39,1641441957,645947897.46632597,833603356.2553712,2022-01-06,39050104781.97580918,1.0030243967228383,836124503.514177,647901500.1705475,-188223003.34362948,-0.18822300334362949
37,1641338277,654277675.48424083,828885325.9399707,2022-01-05,38829088903.38272026,0.998683448070849,827794055.3650595,653416284.9483815,-174377770.41667795,-0.17437777041667796
36,1641286437,652979924.14726275,832263845.390415,2022-01-04,38987355466.92013618,1.0009629642368902,833065285.7091826,653608720.4616239,-179456565.2475587,-0.1794565652475587
34,1641182757,652977013.57976416,823103186.6969484,2022-01-03,38558224898.80591646,1.0004834410206112,823501108.5415934,653292689.4536448,-170208419.08794868,-0.17020841908794868
32,1641079077,649317571.14791326,822285143.9678276,2022-01-02,38519903730.77246670,1.0056235944782979,826909342.1630313,652969069.8556825,-173940272.30734885,-0.17394027230734885
31,1641027237,648927762.34401286,819873938.9310831,2022-01-01,38406950959.37450733,0.9985822067753996,818711527.2154402,648007716.9593064,-170703810.2561338,-0.1707038102561338
29,1640923557,650618220.12638944,815289810.0617577,2021-12-31,38192207686.88412938,1.0013363724084388,816379340.8688055,651487688.3641938,-164891652.50461173,-0.16489165250461174
27,1640819878,640976686.76906382,854312506.1306882,2021-12-30,40020223803.82032682,1.0022754173528616,856256423.6319047,642435176.2449179,-213821247.38698685,-0.21382124738698685
26,1640768038,641852967.86289448,964461920.0611475,2021-12-29,45180167227.00870489,1.0004601482447002,964905715.5207437,642148315.3794123,-322757400.14133143,-0.3227574001413314
24,1640664358,657272977.23747680,964756807.940969,2021-12-28,45193981234.01761692,1.0005678641380735,965304658.7341609,657646218.9901748,-307658439.7439861,-0.30765843974398616
22,1640560678,660163550.00404362,962561111.8439956,2021-12-27,45091123967.41381485,1.001877026095947,964367864.1698706,661402694.2149942,-302965169.9548764,-0.30296516995487643
21,1640508838,656270175.90519129,867126088.6692592,2021-12-26,40620475394.71052206,1.0011658004083022,868136984.6174793,657035255.9442182,-211101728.67326117,-0.21110172867326116
19,1640405158,657031032.34729047,846168898.2547362,2021-12-25,39638736927.03066226,1.003063812129429,848761400.7887547,659044051.9936074,-189717348.7951473,-0.1897173487951473
17,1640301478,653365674.15214479,832124059.3236195,2021-12-24,38980807196.07350473,1.0029939607130471,834615406.0656157,655321825.3118099,-179293580.75380576,-0.17929358075380575
16,1640249638,644156259.14807221,820412285.6630409,2021-12-23,38432169783.33223657,1.0013596178411093,821527732.8436936,645032065.4904721,-176495667.35322154,-0.17649566735322153
14,1640145959,638204611.33874653,872247145.7817038,2021-12-22,40860371042.12462433,1.0023078392301832,874260151.9631542,639677484.9776778,-234582666.98547637,-0.23458266698547636
12,1640042279,612655059.80650040,884628733.1188545,2021-12-21,41440385840.83519102,1.0031154352544778,887384736.661137,614563746.9786558,-272820989.68248117,-0.2728209896824812
