,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
46,1641960369,0.63642712000000000000,2335.800533157777,2022-01-12,115608.021185533333,42825.96387312913,100032909.24785072,27255.604848999617,-100005653.64300172,-0.10000565364300172
44,1641856689,0.63620567000000000000,2385.5876949472085,2022-01-11,118072.185044225000,41853.30772889238,99844735.91088456,26627.311685376153,-99818108.59919918,-0.09981810859919918
42,1641753008,0.63620567000000000000,2385.5876949472085,2022-01-10,118072.185044225000,41937.45464797547,100045475.76561691,26680.846432409846,-100018794.9191845,-0.1000187949191845
41,1641701168,0.63620567000000000000,2385.5876949472085,2022-01-09,118072.185044225000,41727.344700651774,99544240.06069548,26547.17329259911,-99517692.88740289,-0.09951769288740289
39,1641597488,0.63620567000000000000,2385.5876949472085,2022-01-08,118072.185044225000,42031.79555633946,100270534.27574016,26740.866653223966,-100243793.40908694,-0.10024379340908694
37,1641493807,0.63620567000000000000,2385.5876949472085,2022-01-07,118072.185044225000,43183.81516529129,103018778.07919356,27473.788060390307,-102991304.29113317,-0.10299130429113316
36,1641441967,0.64166416500000000000,2385.588057073709,2022-01-06,118072.202967300000,43651.74764114118,104135087.84310184,28009.762200943573,-104107078.08090091,-0.1041070780809009
34,1641338287,0.64698986000000000000,2385.6175284590413,2022-01-05,118073.661622905000,45914.50209736554,109534441.01394466,29706.21728394424,-109504734.7966607,-0.1095047347966607
32,1641234606,0.64698986000000000000,2385.6175284590413,2022-01-04,118073.661622905000,46533.97194397127,111012259.13835911,30107.007993273903,-110982152.13036583,-0.11098215213036583
31,1641182766,0.64698986000000000000,2385.6175284590413,2022-01-03,118073.661622905000,47370.45356360401,113007784.35238878,30648.20311925266,-112977136.14926954,-0.11297713614926953
29,1641079086,0.64698986000000000000,2385.6175284590413,2022-01-02,118073.661622905000,47765.55729636586,113950350.74282506,30903.83122799773,-113919446.91159706,-0.11391944691159706
27,1640975405,0.64677157000000000000,2385.648253638743,2022-01-01,118075.182333760000,46346.94453228382,110567507.28493458,29975.886079848122,-110537531.39885473,-0.11053753139885474
26,1640923565,0.64677157000000000000,2385.648253638743,2021-12-31,118075.182333760000,47212.70262033006,112632901.55575572,30535.833797693987,-112602365.72195803,-0.11260236572195803
24,1640819885,0.64677157000000000000,2385.648253638743,2021-12-30,118075.182333760000,46575.51065364095,111112785.65319121,30123.716149007083,-111082661.9370422,-0.1110826619370422
22,1640716204,0.64677157000000000000,2385.648253638743,2021-12-29,118075.182333760000,47682.48473957059,113753636.44811258,30839.675516513107,-113722796.77259606,-0.11372279677259606
21,1640664364,0.64677157000000000000,2385.648253638743,2021-12-28,118075.182333760000,50813.007896489944,121221963.5503929,32864.4088936352,-121189099.14149927,-0.12118909914149927
19,1640560684,0.64677157000000000000,2385.648253638743,2021-12-27,118075.182333760000,50822.73779865886,121245175.67451024,32870.70191773694,-121212304.9725925,-0.1212123049725925
17,1640457003,0.64666105000000000000,2386.0916907854144,2021-12-26,118097.129794735000,50748.78316824812,121091249.83522753,32817.26140980166,-121058432.57381773,-0.12105843257381772
16,1640405163,0.64666105000000000000,2386.0916907854144,2021-12-25,118097.129794735000,50795.82972129129,121203507.22452393,32847.68458319143,-121170659.53994074,-0.12117065953994074
14,1640301483,0.64659537600000000000,2388.6121867416487,2021-12-24,118221.879124042000,50923.03403083785,121635379.67191899,32926.598336230396,-121602453.07358275,-0.12160245307358275
12,1640197802,0.64659537600000000000,2388.6121867416487,2021-12-23,118221.879124042000,48892.84078636029,116786035.34671932,31613.88477196477,-116754421.46194737,-0.11675442146194737
11,1640145962,0.64655648000000000000,2391.141007333964,2021-12-22,118347.040472565000,49187.26071564862,117613676.13561435,31802.342149152053,-117581873.7934652,-0.1175818737934652
9,1640042282,0.64649264000000000000,2424.4100355930955,2021-12-21,119993.656469610000,47168.28533183412,114355264.32021725,30493.949308450716,-114324770.3709088,-0.1143247703709088
7,1639938601,0.64642599000000000000,2457.650321176905,2021-12-20,121638.849877795000,46866.50683788107,115181485.58255802,30295.72808051904,-115151189.8544775,-0.11515118985447749
6,1639886761,0.64642599000000000000,2457.650321176905,2021-12-19,121638.849877795000,46956.29538315965,115402154.42969994,30353.76972979141,-115371800.65997015,-0.11537180065997014
4,1639783081,0.64634761000000000000,2457.7757900519405,2021-12-18,121645.059829440000,46341.99208790469,113898226.21643072,29953.035828656106,-113868273.18060207,-0.11386827318060207
2,1639679400,0.64634761000000000000,2457.7757900519405,2021-12-17,121645.059829440000,47644.278935331524,117098955.30173945,30794.765820024873,-117068160.53591943,-0.11706816053591942
1,1639627560,0.64633553000000000000,2457.9013031384306,2021-12-16,121651.271969285000,48820.65698137904,119996356.41460587,31554.525205007823,-119964801.88940087,-0.11996480188940087
0,1639575720,0.64630298000000000000,2458.3285877375683,2021-12-15,121672.419976697500,48270.02882016978,118663591.77953969,31197.06347116161,-118632394.71606852,-0.11863239471606853
92,1639264676,0.64615324000000000000,2458.958528522474,2021-12-12,121703.598241525000,49270.20633816324,121153394.07728855,31836.10346087271,-121121557.97382767,-0.12112155797382768
91,1639212836,0.64611338333333333333,2459.382850168078,2021-12-11,121724.599600630000,47265.73410567076,116244535.86009109,30539.023378748654,-116213996.83671235,-0.11621399683671235
89,1639109156,0.64608319666666666667,2461.412924694351,2021-12-10,121825.076030663333,47786.630321451,117622629.50081046,30874.13887601132,-117591755.36193445,-0.11759175536193445
87,1639005477,0.64596008000000000000,2461.9509909242274,2021-12-09,121851.707059820000,50548.12397229681,124447003.90295683,32652.07020499477,-124414351.83275184,-0.12441435183275185
86,1638953637,0.64596008000000000000,2461.9509909242274,2021-12-08,121851.707059820000,50576.15367864407,124516011.66627377,32670.17627634922,-124483341.48999742,-0.12448334148999741
84,1638849957,0.64596008000000000000,2461.9509909242274,2021-12-07,121851.707059820000,50518.475874148535,124374011.73834166,32632.91871714306,-124341378.81962451,-0.12434137881962451
82,1638746277,0.64581003000000000000,2462.0780560905328,2021-12-06,121857.996018243333,49279.81628623866,121330754.28652106,31825.39963421028,-121298928.88688685,-0.12129892888688686
81,1638694437,0.64581003000000000000,2462.0780560905328,2021-12-05,121857.996018243333,49037.24762284625,120733531.30328739,31668.746358427765,-120701862.55692896,-0.12070186255692897
79,1638590757,0.64581003000000000000,2462.0780560905328,2021-12-04,121857.996018243333,53779.28022508981,132408785.71453714,34731.19857554366,-132374054.5159616,-0.1323740545159616
77,1638487077,0.64573743500000000000,2464.253321385287,2021-12-03,121965.658514552500,56594.70475261395,139463689.15944862,36545.31948153524,-139427143.8399671,-0.1394271438399671
76,1638435237,0.64573743500000000000,2464.253321385287,2021-12-02,121965.658514552500,57212.75109938861,140986711.9222581,36944.41514421263,-140949767.5071139,-0.1409497675071139
