,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1641960369,2653.1347518490000000,36301.03663353915,2022-01-12,1811361.808643274500,42825.96387312913,1554626883.4250846,113623053.0332287,-1441003830.391856,-1.441003830391856
47,1641856689,2652.7394686076666667,36046.618076878454,2022-01-11,1798666.742615337667,41853.30772889238,1508670198.957449,111025921.30421512,-1397644277.6532338,-1.3976442776532338
45,1641753008,2652.3855386681818182,34997.36992166968,2022-01-10,1746310.991584838636,41937.45464797547,1467700613.888443,111234298.23684286,-1356466315.6516001,-1.3564663156516001
44,1641701168,2652.1551299776470588,34888.93422140144,2022-01-09,1740900.229128047059,41727.344700651774,1455822584.4947836,110667391.30817918,-1345155193.1866045,-1.3451551931866046
42,1641597488,2745.2618104700000000,34852.991777937445,2022-01-08,1739106.760526661667,42031.79555633946,1464933824.9370468,115388283.16630138,-1349545541.7707453,-1.3495455417707454
40,1641493807,2829.5715161601724138,32627.448693656035,2022-01-07,1628055.834156339828,43183.81516529129,1408977713.701867,122191693.35083394,-1286786020.3510332,-1.2867860203510333
39,1641441967,2817.7107189834782609,33136.56939873243,2022-01-06,1653460.116972683913,43651.74764114118,1446469165.0866292,122997997.23080526,-1323471167.855824,-1.323471167855824
37,1641338287,2809.5059203948275862,33819.857278401316,2022-01-05,1687555.054316637586,45914.50209736554,1552821907.9417605,128997065.47452922,-1423824842.4672313,-1.4238248424672313
35,1641234606,2797.0374120114285714,33789.10156514813,2022-01-04,1686020.394991428571,46533.97194397127,1572341104.2445989,130157260.45677783,-1442183843.787821,-1.4421838437878212
34,1641182766,2796.8501632217647059,33738.378406203796,2022-01-03,1683489.393084981176,47370.45356360401,1598202287.6023772,132488060.78125489,-1465714226.8211222,-1.465714226821122
32,1641079086,2813.7585526977777778,33667.029759319536,2022-01-02,1679929.213375261111,47765.55729636586,1608124438.967232,134400745.3670252,-1473723693.6002069,-1.473723693600207
30,1640975405,2839.7130506022857143,35038.29816805684,2022-01-01,1748353.243522403143,46346.94453228382,1623918061.7005522,131612023.24386661,-1492306038.4566855,-1.4923060384566855
29,1640923565,2839.9093789523076923,35593.54791277589,2021-12-31,1776059.289275206538,47212.70262033006,1680467592.8083577,134079796.97716154,-1546387795.831196,-1.546387795831196
27,1640819885,2839.6302670286486486,35844.35060999098,2021-12-30,1788573.929885232432,46575.51065364095,1669468933.7084763,132257229.75439413,-1537211703.9540823,-1.5372117039540822
25,1640716204,2839.1997510366666667,35394.71399211419,2021-12-29,1766137.804834273333,47682.48473957059,1687707909.7904506,135380098.80139846,-1552327810.989052,-1.5523278109890521
24,1640664364,2839.4487385931250000,34363.8015072531,2021-12-28,1714696.973488822500,50813.007896489944,1746128117.3414648,144280931.17581084,-1601847186.165654,-1.601847186165654
22,1640560684,2841.6417325958333333,34323.96558754476,2021-12-27,1712709.226849509583,50822.73779865886,1744437903.265977,144420012.6934447,-1600017890.5725322,-1.6000178905725322
20,1640457003,2773.5672468878571429,34312.927323617696,2021-12-26,1712158.435699575476,50748.78316824812,1741339308.6141307,140755162.81486672,-1600584145.799264,-1.600584145799264
19,1640405163,2695.0234326765517241,34113.660761173276,2021-12-25,1702215.363147813448,50795.82972129129,1732831703.194454,136895951.38112807,-1595935751.813326,-1.595935751813326
17,1640301483,2694.6305798080000000,34535.40564147917,2021-12-24,1723259.736532763000,50923.03403083785,1758647636.7498333,137218764.7160991,-1621428872.0337343,-1.6214288720337344
15,1640197802,2500.3660672325531915,34285.53479586935,2021-12-23,1710791.593779702979,48892.84078636029,1676317194.0496562,122250000.03281905,-1554067194.0168371,-1.5540671940168371
14,1640145962,2440.5313047900000000,34208.19933987025,2021-12-22,1706932.682177124500,49187.26071564862,1682607619.5430768,120043049.57340783,-1562564569.9696689,-1.5625645699696689
12,1640042282,2348.9786317452380952,33805.746557649334,2021-12-21,1686850.952642611190,47168.28533183412,1594559099.486873,110797294.34054068,-1483761805.1463323,-1.4837618051463322
10,1639938601,2266.3685192572000000,33686.13859133975,2021-12-20,1680882.712551569200,46866.50683788107,1578751644.632834,106216775.70492597,-1472534868.927908,-1.4725348689279079
9,1639886761,2265.9809058430769231,33698.349180045334,2021-12-19,1681492.000772884231,46956.29538315965,1582349638.0230646,106402068.7473672,-1475947569.2756975,-1.4759475692756974
7,1639783081,2265.6234078220000000,33690.5667467553,2021-12-18,1681103.670197584333,46341.99208790469,1561287977.615159,104993502.03945878,-1456294475.5757003,-1.4562944755757004
5,1639679400,2265.3011467229411765,33907.657349480716,2021-12-17,1691936.132938575882,47644.278935331524,1615505884.8023033,107928639.70699415,-1507577245.0953093,-1.5075772450953093
4,1639627560,2265.2146246956000000,34089.952107937184,2021-12-16,1701032.340485409600,48820.65698137904,1664293858.3732407,110589266.18146715,-1553704592.1917737,-1.5537045921917736
2,1639523880,2265.0171005277777778,33922.06547141303,2021-12-15,1692655.074440602778,48270.02882016978,1637419077.944793,109332440.7206532,-1528086637.2241397,-1.5280866372241397
0,1639420200,2264.5677320806666667,34027.53876446716,2021-12-14,1697918.017667231778,46713.90584148504,1589559241.860801,105786803.80808155,-1483772438.0527194,-1.4837724380527193
