,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1641960356,7.774778507056718014,45.191394477508034,2022-01-12,2258.1990590700000000,32782.550844043646,1481489.1871721405,254877.07170876465,-1226612.1154633758,-0.0012266121154633758
47,1641856676,7.772489399900603052,45.09915632134201,2022-01-11,2253.5899488650000000,32051.533764095995,1445497.1315657366,249120.20643199235,-1196376.9251337443,-0.0011963769251337442
46,1641804836,7.772489399900603052,45.09915632134201,2022-01-10,2253.5899488650000000,32703.185849338457,1474886.090825215,254185.1653569625,-1220700.9254682525,-0.0012207009254682525
44,1641701156,7.770782471842427217,43.96717053024612,2022-01-09,2197.0249926850000000,33222.266522601676,1460689.0576005147,258163.00636871057,-1202526.051231804,-0.0012025260512318042
42,1641597477,7.763416633536947915,42.8360450922942,2022-01-08,2140.5030280675000000,35733.24190776579,1530670.7616549123,277412.0445969485,-1253258.7170579638,-0.001253258717057964
41,1641545637,7.763416633536947915,42.8360450922942,2022-01-07,2140.5030280675000000,36078.82409793872,1545474.1359362535,280094.94312039117,-1265379.1928158624,-0.0012653791928158623
39,1641441957,7.763416633536947915,42.8360450922942,2022-01-06,2140.5030280675000000,32943.37264940805,1411163.7963022946,255753.1271912206,-1155410.669111074,-0.001155410669111074
37,1641338277,7.763416633536947915,42.8360450922942,2022-01-05,2140.5030280675000000,36344.26803938124,1556844.7045813617,282155.69503065763,-1274689.0095507042,-0.001274689009550704
36,1641286437,7.763416633536947915,42.8360450922942,2022-01-04,2140.5030280675000000,38914.75669878003,1666954.2727045992,302111.46944535227,-1364842.803259247,-0.0013648428032592469
34,1641182757,7.762056719780936755,44.67456097916388,2022-01-03,2232.3730598250000000,39095.17312977268,1746559.6959769987,303458.9513029511,-1443100.7446740475,-0.0014431007446740474
32,1641079077,7.510051152610397195,45.871564372719725,2022-01-02,2292.1869241300000000,36591.70311559391,1678518.664974415,274805.5621592435,-1403713.1028151715,-0.0014037131028151715
31,1641027237,7.008013064667612391,45.871564372719725,2022-01-01,2292.1869241300000000,33025.88478812236,1514949.0000243802,231445.83206736887,-1283503.1679570114,-0.0012835031679570114
29,1640923557,7.008013064667612391,45.871564372719725,2021-12-31,2292.1869241300000000,30241.905012284868,1387243.4925247007,211935.66542652927,-1175307.8270981715,-0.0011753078270981714
