,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1641960356,10402305.233211875403627120,123625349.96912861,2022-01-12,6024243368.41273408,0.7195750584629558,88957718.43153909,7485239.396337947,-81472479.03520115,-0.08147247903520115
47,1641856676,10400451.070277455210664215,123548118.51639023,2022-01-11,6020479892.17498726,0.6893115654025814,85163146.9770766,7169151.208145905,-77993995.7689307,-0.07799399576893071
46,1641804836,10398237.340847739522956936,123539575.05188192,2022-01-10,6020063570.52720042,0.727980849935099,89934444.84688996,7569717.657217222,-82364727.18967274,-0.08236472718967273
44,1641701156,10398237.340847739522956936,123539575.05188192,2022-01-09,6020063570.52720042,0.7123946482120451,88008932.10935096,7407648.632458577,-80601283.47689238,-0.08060128347689238
42,1641597477,10019487.162462840275846839,123542338.55685072,2022-01-08,6020198235.67869217,0.7523353774568565,92945271.91007105,7538014.656295609,-85407257.25377543,-0.08540725725377543
41,1641545637,9860605.207645893708601936,123542338.55685072,2022-01-07,6020198235.67869217,0.799835171411923,98813507.5362485,7886858.85648275,-90926648.67976576,-0.09092664867976576
39,1641441957,9854687.537957726513632794,123542338.55685072,2022-01-06,6020198235.67869217,0.8348297678195769,103136821.81330325,8226986.509247724,-94909835.30405553,-0.09490983530405553
37,1641338277,9851057.542288588857789341,123539148.23909211,2022-01-05,6020042772.00877987,0.8971765621662657,110836428.31009734,8838137.939492539,-101998290.3706048,-0.1019982903706048
36,1641286437,9866573.439811192361410553,123534899.37884778,2022-01-04,6019835725.73423711,0.944688821394199,116702038.49525467,9320841.634054543,-107381196.86120012,-0.10738119686120012
34,1641182757,9872524.754534444855095704,123535460.46520886,2022-01-03,6019863067.38213140,0.8910729473253938,110079106.85593332,8797139.730565917,-101281967.1253674,-0.1012819671253674
32,1641079077,9870622.250119224158876895,123536021.55156991,2022-01-02,6019890409.03002568,0.8660892667609329,106993222.32416199,8548839.98707991,-98444382.33708209,-0.09844438233708208
31,1641027237,9868064.735270141181511921,123550189.76201117,2022-01-01,6020580823.64009119,0.8068679006672487,99688682.24031416,7962224.676595929,-91726457.56371823,-0.09172645756371824
29,1640923557,9868064.735270141181511921,123550189.76201117,2021-12-31,6020580823.64009119,0.795614835610811,98298363.91718702,7851178.702148796,-90447185.21503823,-0.09044718521503822
27,1640819878,9932788.900700783703948821,123565737.09937648,2021-12-30,6021338442.88277029,0.7604747542376151,93968623.55283809,7553635.19815454,-86414988.35468355,-0.08641498835468354
26,1640768038,9681903.919088463745565513,123573030.7249457,2021-12-29,6021693860.08059970,0.8042095270600716,99378608.59668829,7786279.371811188,-91592329.2248771,-0.0915923292248771
24,1640664358,9636148.240787865211106387,123574416.24139677,2021-12-28,6021761376.07383712,0.879898867530702,108732988.90657261,8478835.92442721,-100254152.9821454,-0.10025415298214539
22,1640560678,9636148.240787865211106387,123574416.24139677,2021-12-27,6021761376.07383712,0.8794929864791052,108682832.3925581,8474924.794445897,-100207907.5981122,-0.1002079075981122
21,1640508838,10031737.130005777185421421,123789933.84731318,2021-12-26,6032263514.25619490,0.8653923963865232,107126867.50065553,8681389.034855358,-98445478.46580017,-0.09844547846580017
19,1640405158,10357130.363224475799932622,124251441.52968165,2021-12-25,6054752709.19617980,0.8531437225090164,106004337.353744,8836120.75259249,-97168216.60115151,-0.0971682166011515
17,1640301478,9739056.075852254462472876,124003653.46816772,2021-12-24,6042678036.91642621,0.8865496091652391,109935390.51726584,8634156.357685165,-101301234.15958068,-0.10130123415958067
16,1640249638,9739056.075852254462472876,124003653.46816772,2021-12-23,6042678036.91642621,0.828043244742864,102680387.5777513,8064359.593781406,-94616027.98396988,-0.09461602798396988
14,1640145959,9266793.466310439501554000,128128516.74442166,2021-12-22,6243681959.20087194,0.7833940745731087,100375120.80142127,7259551.091800395,-93115569.70962088,-0.09311556970962087
12,1640042279,9302340.405849286796799902,128187870.38543834,2021-12-21,6246574252.55636134,0.7588658791938455,97277400.96203238,7059228.730645251,-90218172.23138712,-0.09021817223138712
11,1639990439,9301325.037363233860071570,128199241.16910973,2021-12-20,6247128349.01103765,0.7738041512839097,99201105.0081042,7197403.926352636,-92003701.08175157,-0.09200370108175157
9,1639886759,9296442.300361273017208231,128200740.67771935,2021-12-19,6247201419.82377825,0.7863910719677162,100815917.88860692,7310639.226067125,-93505278.6625398,-0.0935052786625398
7,1639783079,9176408.730879414561733816,128201141.00099072,2021-12-18,6247220927.51223527,0.7745325774015699,99295960.16531941,7107427.505618302,-92188532.65970111,-0.0921885326597011
6,1639731239,9151947.210814153254936235,128203142.6173474,2021-12-17,6247318465.95452036,0.7821644422149572,100275939.53550214,7158327.6853271825,-93117611.85017495,-0.09311761185017495
4,1639627559,9150072.919205276771846543,128207193.29261893,2021-12-16,6247515854.70729803,0.7917883755204085,101512965.30719376,7244921.372590826,-94268043.93460293,-0.09426804393460293
2,1639523879,9213831.297805716529495108,128300329.8847114,2021-12-15,6252054385.82093773,0.7663686621235996,98325352.16376275,7061191.5647319155,-91264160.59903084,-0.09126416059903084
0,1639420200,9587868.161440403653143743,128415878.7173473,2021-12-14,6257685061.80210574,0.7526255701382519,96649073.93444812,7216074.741414476,-89432999.19303365,-0.08943299919303364
97,1639368356,10211732.536881820401324686,129293419.09821999,2021-12-13,6300447463.05158089,0.8389389040909576,108469279.32443357,8567019.70336161,-99902259.62107195,-0.09990225962107195
