,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
46,1639783076,288.444385940788487945,12869.149315084078,2021-12-18,643429.349586447500,183.35147789698038,2359577.546197579,52886.70445333056,-2306690.8417442483,-0.0023066908417442482
45,1639731236,260.760106192085604442,12869.074392172939,2021-12-17,643425.603604580000,174.34472841824802,2243655.2798976214,45462.149896372684,-2198193.130001249,-0.0021981931300012487
43,1639627556,260.760106192085604442,12869.074392172939,2021-12-16,643425.603604580000,173.4472301085491,2232105.3073832565,45228.118141828374,-2186877.189241428,-0.002186877189241428
41,1639523877,233.229278058371967382,12869.074392172939,2021-12-15,643425.603604580000,169.29690954304348,2178694.5232743993,39484.99599023754,-2139209.5272841617,-0.0021392095272841616
40,1639472037,233.229278058371967382,12869.074392172939,2021-12-14,643425.603604580000,162.11078649038004,2086215.7711183645,37808.981698626216,-2048406.7894197383,-0.0020484067894197384
38,1639368357,236.052357803203916787,12890.214376309748,2021-12-13,644482.556625357500,180.0306664826825,2320633.8852716996,42496.66330011944,-2278137.2219715803,-0.0022781372219715804
36,1639264677,244.590263690489864151,16262.301926504531,2021-12-12,813079.566889840000,180.23594680589218,2931051.384966829,44083.957755758274,-2886967.4272110704,-0.0028869674272110706
35,1639212837,269.560265652195869755,16259.055246295758,2021-12-11,812917.239972660000,169.0613986582262,2748778.6208001315,45572.23553384324,-2703206.385266288,-0.002703206385266288
33,1639109157,294.554823560133818287,16448.481001093605,2021-12-10,822388.113860310000,178.4253138751939,2934825.38539029,52556.03684716924,-2882269.348543121,-0.002882269348543121
31,1639005477,294.532406867295055003,16527.410547027746,2021-12-09,826334.418713890000,200.8445175415287,3319439.7975285603,59155.219157607105,-3260284.578370953,-0.003260284578370953
30,1638953637,231.976165967903929373,16526.35342242061,2021-12-08,826281.564793110000,187.18431082971313,3093474.0759040727,43422.298755621254,-3050051.7771484517,-0.0030500517771484517
28,1638849957,231.976165967903929373,16526.35342242061,2021-12-07,826281.564793110000,184.99892576039215,3057357.629884393,42915.34150607667,-3014442.2883783164,-0.0030144422883783164
26,1638746278,144.438163450876607898,16522.10773429863,2021-12-06,826069.289662875000,191.70554872723284,3167379.729334176,27689.597381504052,-3139690.131952672,-0.003139690131952672
25,1638694438,144.438163450876607898,16522.10773429863,2021-12-05,826069.289662875000,201.67010875812514,3332015.263689465,29128.860131962145,-3302886.4035575027,-0.0033028864035575026
23,1638590758,144.438163450876607898,16522.10773429863,2021-12-04,826069.289662875000,226.170428387568,3736812.184131871,32667.641303198332,-3704144.5428286726,-0.0037041445428286726
21,1638487078,144.438163450876607898,16522.10773429863,2021-12-03,826069.289662875000,244.6210508699044,4041655.3565499056,35332.615329072454,-4006322.7412208333,-0.0040063227412208335
20,1638435238,144.419630218044461743,17267.101756388867,2021-12-02,863317.363124690000,250.95922413420985,4333338.459829803,36243.43834926992,-4297095.021480532,-0.0042970950214805325
18,1638331558,144.419630218044461743,17267.101756388867,2021-12-01,863317.363124690000,256.9472639733981,4436734.5530543765,37108.2288485764,-4399626.3242058,-0.0043996263242058
16,1638227878,144.385258115894357336,18017.840926591885,2021-11-30,900852.681440300000,249.4319706062917,4494225.568390507,36014.29945834561,-4458211.268932162,-0.004458211268932162
15,1638176038,144.385258115894357336,18017.840926591885,2021-11-29,900852.681440300000,238.06022954686162,4289331.346923302,34372.38769025268,-4254958.959233049,-0.004254958959233049
13,1638072359,144.385258115894357336,18017.840926591885,2021-11-28,900852.681440300000,231.2831782873089,4167223.515377322,33393.88139487751,-4133829.6339824446,-0.004133829633982445
11,1637968679,144.377417646914708447,18039.263342819646,2021-11-27,901923.755448575000,232.21395268518572,4188968.6443651263,33526.45083026995,-4155442.193534856,-0.004155442193534856
10,1637916839,144.367696269213830827,18039.263342819646,2021-11-26,901923.755448575000,262.46543405717154,4734683.083344782,37891.53006513311,-4696791.553279649,-0.004696791553279648
8,1637813159,399.712573896858388699,18019.340386582677,2021-11-25,900927.651163860000,254.5939845343788,4587615.6677013375,101764.41685689348,-4485851.250844444,-0.004485851250844444
6,1637709479,399.712573896858388699,18019.340386582677,2021-11-24,900927.651163860000,269.752897398244,4860769.278485871,107823.62493518724,-4752945.6535506835,-0.004752945653550684
5,1637657639,655.022655512167235779,17433.163332490712,2021-11-23,871620.079122962500,263.38158654293693,4591574.216973557,172520.90623036225,-4419053.310743195,-0.004419053310743195
3,1637553959,654.968442449124848396,15122.429286340277,2021-11-22,756088.425244400000,269.27717817587944,4072125.085389988,176368.05397695125,-3895757.031413037,-0.003895757031413037
