,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1639886769,7579892.546995631522794025,114885733.53973989,2021-12-19,5570636515.19069469,1.1847230088222918,136107771.90995672,8980073.10482633,-127127698.80513039,-0.1271276988051304
47,1639783089,7576465.312084664075830952,114886994.18773109,2021-12-18,5570697642.11669404,1.1623677007770132,133540931.28317507,8806638.564824648,-124734292.71835041,-0.1247342927183504
45,1639679408,7582504.633159166824649295,114893131.00051302,2021-12-17,5570995206.94321090,1.1394775816882967,130918147.06506124,8640094.042532517,-122278053.02252872,-0.12227805302252873
44,1639627568,7577137.793126216350977419,114893853.61653596,2021-12-16,5571030245.50787744,1.1290359260265102,129719288.41269998,8554860.784892725,-121164427.62780726,-0.12116442762780726
42,1639523888,7065177.075680056753512399,114898304.35850978,2021-12-15,5571246055.29552587,1.0606472154152604,121866566.57378848,7493660.391735785,-114372906.1820527,-0.1143729061820527
40,1639420207,7036647.518662617031738829,114905864.18148245,2021-12-14,5571612619.74702301,1.0286983362979534,118203471.31436959,7238587.595563354,-110964883.71880624,-0.11096488371880624
39,1639368367,7036357.049305972801326654,114907332.08910416,2021-12-13,5571683796.38094051,1.2013709005362634,138046325.03010654,8453274.604819402,-129593050.42528714,-0.12959305042528715
37,1639264687,7035331.656355002238770273,114947740.2030939,2021-12-12,5573643125.08404148,1.1419835692387954,131268430.63306294,8034233.155702971,-123234197.47735998,-0.12323419747735997
35,1639161006,6080560.525098500668680001,114183658.34303018,2021-12-11,5536593944.31005634,1.0865833556270976,124070062.64014778,6607035.859455194,-117463026.78069258,-0.11746302678069258
34,1639109166,6079951.770506003367936470,114390647.91529427,2021-12-10,5546630557.50815280,1.1547375102789337,132091171.972901,7020748.370090097,-125070423.6028109,-0.1250704236028109
32,1639005486,6079153.261166545593645262,114413169.64837462,2021-12-09,5547722602.48899699,1.29597226675122,148276294.81539592,7878414.03180208,-140397880.78359383,-0.14039788078359383
30,1638901805,6087969.529182524029938957,114299306.67341638,2021-12-08,5542201557.99994203,1.3275410851230718,151737025.61004195,8082029.674967165,-143654995.93507478,-0.14365499593507478
29,1638849965,6086094.712431112815474684,114300190.9377967,2021-12-07,5542244434.65045724,1.3578170240064256,155198745.10252532,8263803.010254458,-146934942.09227085,-0.14693494209227084
27,1638746285,6133071.739503416996143542,114313932.93424751,2021-12-06,5542910763.40044111,1.1683794324970709,133562048.08822432,7165754.878464824,-126396293.2097595,-0.1263962932097595
25,1638642604,8294839.234013795982882469,114636362.96446823,2021-12-05,5558544910.86680489,1.1212009409853134,128530398.0268957,9300181.554498166,-119230216.47239754,-0.11923021647239754
24,1638590764,8291822.957936018136215847,114664841.57515667,2021-12-04,5559925795.88807741,1.285098417967879,147355606.50477132,10655808.565313315,-136699797.939458,-0.13669979793945802
22,1638487084,8370435.778059030479494221,114825460.253005,2021-12-03,5567713954.12387645,1.4241524987645724,163528966.14110917,11920777.029071145,-151608189.11203802,-0.15160818911203802
20,1638383403,6867117.412937022120138283,115073330.80135328,2021-12-02,5579732824.39719642,1.4886708463969458,171306312.7617663,10222877.491424162,-161083435.27034214,-0.16108343527034213
19,1638331563,6466524.209248583677295775,115076559.94454709,2021-12-01,5579889400.69639494,1.460035902884115,168015909.0994348,9441357.512372242,-158574551.58706254,-0.15857455158706255
17,1638227883,6480703.219203490306371468,115102565.20584364,2021-11-30,5581150356.72376338,1.6155954190449122,185959177.0668793,10470194.433134774,-175488982.63374454,-0.17548898263374454
15,1638124202,6513717.817807192907931033,115207680.403442,2021-11-29,5586247234.63889855,1.6365596497343426,188544241.08776313,10660087.750378886,-177884153.33738425,-0.17788415333738425
14,1638072362,6584940.330482139611038698,115268779.9159858,2021-11-28,5589209858.15315032,1.7537863677064576,202156814.83881178,11548578.58376003,-190608236.25505176,-0.19060823625505177
12,1637968682,9372868.884798738468196658,116934707.9037269,2021-11-27,5669988201.94096926,1.3384999560363395,156517101.38826066,12545584.590237487,-143971516.79802316,-0.14397151679802317
10,1637865001,9771750.341970871874932172,117118482.08110255,2021-11-26,5678899135.53990698,1.426280500738914,167043807.2684165,13937256.970841875,-153106550.2975746,-0.1531065502975746
9,1637813161,9770449.455376695445087150,117118850.40435982,2021-11-25,5678916994.98096300,1.1232128665145504,131549399.68556981,10974294.539909186,-120575105.14566062,-0.12057510514566062
7,1637709481,9782922.771753279987038083,117141183.52669695,2021-11-24,5679999894.51040159,1.0592436851606597,124081058.92289963,10362499.168394081,-113718559.75450554,-0.11371855975450554
5,1637605800,9788528.623208685903974991,117164493.24485919,2021-11-23,5681130147.70331363,1.0374420550395154,121551372.64961013,10155031.250674738,-111396341.39893539,-0.1113963413989354
4,1637553960,9787935.028730028779445044,117249614.75870417,2021-11-22,5685257561.94913205,1.0865135149549225,127393291.05859023,10634723.692215873,-116758567.36637436,-0.11675856736637436
2,1637450280,9786411.301018364493673308,116820088.63250686,2021-11-21,5664430485.78309516,1.1155221752305071,130315399.3819547,10916958.822212424,-119398440.55974227,-0.11939844055974227
0,1637346600,9764814.816463329082585131,116306759.21528609,2021-11-20,5639539914.01421304,1.1209808108602004,130377645.2536735,10946170.03085876,-119431475.22281474,-0.11943147522281473
99,1637294756,9772806.028899590706572152,116296501.04926454,2021-11-19,5639042510.96461098,0.9739530973345766,113267337.40610503,9518254.70149678,-103749082.70460825,-0.10374908270460825
97,1637191076,11277224.984362583433238376,116504094.11074454,2021-11-18,5649108386.44757969,1.0700149466354265,124661122.04271702,12066799.28983843,-112594322.75287859,-0.11259432275287859
96,1637139236,11285250.294024316125366694,117940164.03185964,2021-11-17,5718741258.12318927,1.0782247414896229,127166002.87449558,12168036.08092006,-114997966.79357553,-0.11499796679357553
94,1637035556,11278350.018136905253657042,117944621.49479808,2021-11-16,5718957393.80030858,1.1523750458108821,135916438.5982151,12996889.118821675,-122919549.47939342,-0.12291954947939342
92,1636931877,11282264.981056932335688594,117952497.30779313,2021-11-15,5719339280.13297308,1.1526610545751217,135959249.93657002,13004627.451061048,-122954622.48550898,-0.12295462248550898
91,1636880037,11285514.311035481213457868,117952497.30779313,2021-11-14,5719339280.13297308,1.1486850749475066,135490273.2102479,12963501.852192948,-122526771.35805495,-0.12252677135805495
89,1636776357,11309847.102966232674280738,117952309.31158414,2021-11-13,5719330164.47940821,1.173941568630649,138469119.0168486,13277099.649028981,-125192019.3678196,-0.1251920193678196
87,1636672677,11315151.416266939975027571,118103748.86547288,2021-11-12,5726673240.79310011,1.132080360910789,133702934.64054173,12809660.699087705,-120893273.94145402,-0.12089327394145402
86,1636620837,11572644.583585424985880910,118232758.48604855,2021-11-11,5732928723.35866241,1.0804043105763235,127739181.91965625,12503135.092873434,-115236046.82678281,-0.1152360468267828
84,1636517157,11606274.726860387114343373,118401627.91692579,2021-11-10,5741116948.20573623,1.1753825508469946,139167207.44543296,13641812.79428817,-125525394.65114479,-0.1255253946511448
82,1636413477,11601231.580305815571136363,118485441.0228738,2021-11-09,5745180919.71951764,1.2463991515946111,147680153.16722324,14459765.199145779,-133220387.96807747,-0.13322038796807747
81,1636361637,11396046.908216742962635073,118485652.53797546,2021-11-08,5745191175.76883431,0.9979044615220827,118237361.29400098,11372166.053424424,-106865195.24057657,-0.10686519524057657
79,1636257957,11582050.139186750231880131,120201378.8063816,2021-11-07,5828384163.32589206,1.0134783543776886,121821495.58662081,11738157.115382867,-110083338.47123794,-0.11008333847123794
77,1636154278,10729941.644005998921559065,118290303.22602165,2021-11-06,5735718981.29474018,0.9717732196459344,114951348.81884491,10427069.938008701,-104524278.88083622,-0.10452427888083622
76,1636102438,10878509.179789414067385390,118352236.86082123,2021-11-05,5738722050.14326404,0.9807570631429126,116074792.24001339,10669174.714543479,-105405617.52546991,-0.10540561752546991
74,1635998758,10184705.435771067104773822,116606863.0958732,2021-11-04,5654091500.04705021,0.9700023273944646,113108928.59316471,9879187.976524992,-103229740.61663972,-0.10322974061663971
72,1635895078,8588804.124377822583192080,114877268.4720186,2021-11-03,5570226056.78216255,1.0337159748994937,118750467.57234359,8878384.028652016,-109872083.54369158,-0.10987208354369157
71,1635843238,8824507.102100236310740340,116023310.75851138,2021-11-02,5625795924.44445948,1.0263388963834477,119079236.71864437,9056934.88029745,-110022301.83834691,-0.11002230183834691
69,1635739558,13803146.397628243688019573,117722324.91231087,2021-11-01,5708178566.68704432,0.9884948552780006,116367912.5271845,13644339.200704584,-102723573.32647991,-0.10272357332647991
67,1635635878,13892243.998171655096223962,117805889.59025976,2021-10-31,5712230492.30060368,1.2415404691728962,146260779.43322152,17247783.13135439,-129012996.30186713,-0.12901299630186713
66,1635584038,13890563.299680108114811169,117821245.8805923,2021-10-30,5712975095.73419497,0.8411262620226674,99102544.1343962,11683717.58564918,-87418826.54874702,-0.08741882654874701
64,1635480359,13745009.870418019348444618,117831850.69201401,2021-10-29,5713489307.09815042,0.6962925194288568,82045436.18730733,9570547.552247869,-72474888.63505946,-0.07247488863505946
62,1635376679,12885697.583982566109283492,117826031.34819327,2021-10-28,5713207135.86432071,0.6407412812890129,75496002.29524076,8256398.380263727,-67239603.91497703,-0.06723960391497703
61,1635324839,12810631.234929370195875421,118023131.69787522,2021-10-27,5722764235.52557143,0.7104012380218568,83843778.8733872,9100688.289135292,-74743090.58425191,-0.07474309058425191
59,1635221159,12729889.678419160027820343,118061031.62063698,2021-10-26,5724601945.80651427,0.705026344901479,83236137.59879562,8974907.590974923,-74261230.0078207,-0.0742612300078207
57,1635117479,14466214.527962926735413520,117977683.27528422,2021-10-25,5720560509.83533358,0.6903890740143142,81450503.5107775,9987316.452452742,-71463187.05832475,-0.07146318705832476
56,1635065639,14449325.048799353024894225,117922961.3583813,2021-10-24,5717907126.34646789,0.7156342246209054,84389707.0167062,10340431.527592953,-74049275.48911324,-0.07404927548911325
54,1634961959,11094725.322933638206389048,113996137.02876629,2021-10-23,5527501317.67636121,0.7009561567014525,79906294.09049615,7776916.022021843,-72129378.06847431,-0.0721293780684743
52,1634858279,10254831.268617683170373495,113716530.00341289,2021-10-22,5513943593.34152219,0.6931098282352407,78818044.5781731,7107724.339172979,-71710320.23900013,-0.07171032023900013
50,1634754600,12424233.594641404560911981,115230103.23237613,2021-10-21,5587334483.90637412,0.7131349952644187,82174619.12293904,8860155.765678631,-73314463.3572604,-0.07331446335726041
149,1634702756,14173035.631607097324120783,115233159.48859975,2021-10-20,5587482677.17628275,0.6812510747478723,78502713.74820155,9655395.756472223,-68847317.99172932,-0.06884731799172931
