,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1639886769,3446682587.030296696912893962,4280652847.3184004,2021-12-19,198533885206.02952786,1.0009100207431971,4284548330.203886,3449819139.6797113,-834729190.5241747,-0.8347291905241747
47,1639783089,3463664696.326432756061536702,4241726271.3495564,2021-12-18,196728496018.79288199,1.0003129418584091,4243053685.0517755,3464748621.9934072,-778305063.0583682,-0.7783050630583682
45,1639679408,3476189134.909519015719445059,4267681469.0524263,2021-12-17,197932281148.07979706,0.9998809497607476,4267173400.5524826,3475775293.7613225,-791398106.7911601,-0.7913981067911601
44,1639627568,3476616162.800549824963126279,4335816053.821789,2021-12-16,201092318720.30083368,0.9996574333908048,4334330748.018137,3475425190.1901865,-858905557.8279505,-0.8589055578279505
42,1639523888,3579445768.280573609853288890,4438840998.470353,2021-12-15,205870548411.83700180,1.0026442741189496,4450578510.840741,3588910804.0858216,-861667706.7549195,-0.8616677067549195
40,1639420207,3704591766.236074371725585169,4587002261.787147,2021-12-14,212742171104.09612349,0.9988379283201336,4581671836.363241,3700286765.059064,-881385071.3041773,-0.8813850713041773
39,1639368367,3704941762.173311183849753110,4570842793.076291,2021-12-13,211992705492.08286345,0.9989776215711985,4566169662.003207,3701153909.635699,-865015752.3675084,-0.8650157523675084
37,1639264687,3707992202.692861509689243612,4588114270.691039,2021-12-12,212793745351.28400111,0.9995493085498041,4586046446.816716,3706321042.309715,-879725404.5070014,-0.8797254045070014
35,1639161006,3716792583.658620225596456165,4606089001.110959,2021-12-11,213627401616.59720189,0.995229215210866,4584114341.767061,3699060566.136135,-885053775.6309261,-0.8850537756309261
34,1639109166,3718513932.292143122832589881,4612145070.428045,2021-12-10,213908278158.91038126,0.9980080078395094,4602957713.604707,3711106681.690342,-891851031.9143648,-0.8918510319143648
32,1639005486,3727582279.833292563010625171,4608381673.520152,2021-12-09,213733734266.57771476,1.0013557667104835,4614629563.982313,3732636011.798878,-881993552.183435,-0.881993552183435
30,1638901805,3738743762.302777808141298792,4627026833.210793,2021-12-08,214598484603.89795098,1.0029613747099249,4640729193.456807,3749815583.52735,-890913609.9294572,-0.8909136099294572
29,1638849965,3738227733.325317729637523250,4660548762.188792,2021-12-07,216153209791.14879063,1.0010238609330975,4665320515.993193,3742055158.660491,-923265357.3327017,-0.9232653573327017
27,1638746285,3749424769.066838395866875088,4645981982.98909,2021-12-06,215477612079.16268961,1.0004759565933234,4648193268.746356,3751209332.5068464,-896983936.2395096,-0.8969839362395096
25,1638642604,3766506725.829665024029993090,4721453973.835761,2021-12-05,218977953756.34630812,0.9995927005396948,4719530928.180362,3764972629.6729994,-954558298.5073624,-0.9545582985073624
24,1638590764,3765174733.756307121663432718,4726196925.182108,2021-12-04,219197928744.20903788,0.999703768225611,4724796875.480849,3764059369.3640428,-960737506.1168065,-0.9607375061168065
22,1638487084,3764097233.048012845099528941,4732190445.033766,2021-12-03,219475904283.13986293,0.9975399468525554,4720549005.035153,3754837353.802566,-965711651.2325873,-0.9657116512325873
20,1638383403,3754825484.034733402672732481,4739394324.632378,2021-12-02,219810015517.16922726,1.001319489566333,4745647905.994469,3759779937.084318,-985867968.9101505,-0.9858679689101505
19,1638331563,3742109247.372203086976468470,4729720745.771028,2021-12-01,219361361243.23201915,0.9980027717628793,4720274413.943878,3734635401.1169615,-985639012.8269167,-0.9856390128269167
17,1638227883,3736278351.909669535467644041,4733672402.589112,2021-11-30,219544636507.32794943,0.9986096774223755,4727091070.972714,3731083719.76072,-996007351.2119946,-0.9960073512119947
15,1638124202,3402316440.858238445054957865,4403714345.964111,2021-11-29,204241397194.70072570,1.001637828844,4410926876.340668,3407888852.8614917,-1003038023.479176,-1.003038023479176
14,1638072362,3402521554.972117655793746600,4402502820.014001,2021-11-28,204185207411.86099824,0.9987986677496729,4397213951.394162,3398433996.095696,-998779955.2984662,-0.9987799552984662
12,1637968682,3412190217.599575720555118607,4412475870.635894,2021-11-27,204647750990.59595050,1.0001721286924639,4413235384.338035,3412777553.44017,-1000457830.8978648,-1.0004578308978649
10,1637865001,3412066512.212994286540379930,4422476629.689693,2021-11-26,205111579668.31831733,0.9979605899493754,4413457386.4024515,3405107909.4745874,-1008349476.9278641,-1.008349476927864
9,1637813161,3410474143.303093091462632372,4423542221.631365,2021-11-25,205161001127.09346958,1.0022449718047552,4433472949.196072,3418130561.595655,-1015342387.6004167,-1.0153423876004166
7,1637709481,3409972295.281413775342697940,4432207935.682623,2021-11-24,205562911288.94140923,1.0009342580306821,4436348761.540188,3413158089.282685,-1023190672.257503,-1.023190672257503
5,1637605800,3420017557.114978030378898487,4435812591.596751,2021-11-23,205730092877.58891796,0.9998445390092198,4435122995.776346,3419485877.7970624,-1015637117.9792838,-1.0156371179792838
4,1637553960,3419153318.005266082573118332,4452702446.115943,2021-11-22,206513433306.69195572,1.004509532449662,4472782052.285392,3434572100.8431807,-1038209951.4422112,-1.0382099514422112
2,1637450280,3471070955.051080458315990599,4563270543.147516,2021-11-21,211641509482.56472667,1.0066940349166575,4593817235.4975,3494306425.222388,-1099510810.2751126,-1.0995108102751125
