,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1639886756,54140.477777805256999676,1493595.9525266418,2021-12-19,74489998.089665222520,3966.4253516705508,5924236851.254196,214744163.60944283,-5709492687.644753,-5.709492687644754
47,1639783076,54289.469798841947957703,1501239.037633585,2021-12-18,74871181.095719991869,3886.7473617182886,5834936868.830839,211009453.50973365,-5623927415.321106,-5.623927415321106
46,1639731236,54944.154270405213333713,1503902.6010376073,2021-12-17,75004020.792119579881,3971.5597663421136,5972839062.778216,218213992.4960356,-5754625070.282181,-5.754625070282181
44,1639627556,54276.470134288416117108,1501456.6572272715,2021-12-16,74882034.421273362970,4015.72254331389,6029433346.23627,217959244.68976507,-5811474101.546505,-5.811474101546505
42,1639523877,53163.114995599745742629,1498647.9456473386,2021-12-15,74741955.760863443711,3858.1644681806974,5782030254.208559,205112041.29382738,-5576918212.914732,-5.576918212914732
41,1639472037,53261.478088940243911762,1501434.271146057,2021-12-14,74880917.961936375133,3782.8952622347147,5679768590.875251,201482593.12227014,-5478285997.75298,-5.47828599775298
39,1639368357,53367.765042506475252481,1505023.8966679508,2021-12-13,75059943.084370683103,4135.841510137412,6224540305.58807,220720617.96605864,-6003819687.622011,-6.003819687622011
37,1639264677,51455.641519119994773776,1508906.1007359445,2021-12-12,75253559.954528461127,4079.814930569866,6156057638.610465,209929494.53175643,-5946128144.078709,-5.946128144078709
36,1639212837,51473.004665003831792382,1513365.6756125765,2021-12-11,75475971.995401425263,3918.200743402953,5929670515.225709,201681565.1436017,-5727988950.082108,-5.727988950082108
34,1639109157,51717.104327055949077989,1526681.0764686943,2021-12-10,76140049.976235177409,4153.333310724186,6340815369.749686,214798372.1357594,-6126016997.613927,-6.1260169976139265
32,1639005477,52331.901037302839257767,1586457.2822615546,2021-12-09,79121264.171269066393,4431.540647139759,7030449931.2929535,231910946.58890286,-6798538984.704051,-6.798538984704051
31,1638953637,52270.231694025772372993,1584138.2446360593,2021-12-08,79005606.982990824733,4310.566646424531,6828533480.653702,225314317.34114987,-6603219163.3125515,-6.603219163312551
29,1638849957,51897.017727154091682111,1577209.4302346618,2021-12-07,78660046.745866024244,4347.615630598069,6857100371.614891,225628285.4520002,-6631472086.16289,-6.631472086162891
27,1638746278,51111.667866366679648863,1580643.7380570925,2021-12-06,78831325.720410260956,4198.572874562462,6636447922.953522,214596062.277373,-6421851860.676148,-6.421851860676148
26,1638694438,51285.676293322577206412,1579640.1440278874,2021-12-05,78781273.551219619673,4101.656791810778,6479141725.368939,210356242.4911155,-6268785482.877824,-6.268785482877824
24,1638590758,54544.113068526582459294,1599917.167038244,2021-12-04,79792547.987756799320,4240.155516808957,6783897602.254568,231275521.93696457,-6552622080.317603,-6.552622080317603
22,1638487078,56445.200932086709668784,1598707.5299220488,2021-12-03,79732219.847256595189,4519.441028028784,7225264402.548262,255100756.92780122,-6970163645.6204605,-6.9701636456204605
21,1638435238,55940.977825188546991506,1602421.0242660416,2021-12-02,79917422.670096354313,4589.610617539151,7354488546.739386,256747305.78200755,-7097741240.957378,-7.097741240957379
19,1638331558,58447.407303203624008032,1603221.3968756276,2021-12-01,79957339.592780977574,4637.121616831405,7434332596.018614,271027735.8534353,-7163304860.165178,-7.163304860165178
17,1638227878,59833.221876522196769771,1651905.9017802938,2021-11-30,82385378.227466715846,4444.528279821561,7341942496.066654,265930446.70304102,-7076012049.363613,-7.076012049363613
16,1638176038,60946.965655051648562571,1662123.197808992,2021-11-29,82894944.660324099268,4290.091862536401,7130661205.453337,261468081.4030226,-6869193124.050314,-6.869193124050314
14,1638072359,60373.557504953131838831,1666370.0163679235,2021-11-28,83106745.921439479112,4084.0884856959556,6805602596.757217,246570951.04648173,-6559031645.710735,-6.559031645710736
12,1637968679,60321.632405950537902638,1639761.615873546,2021-11-27,81779707.174017694974,4048.3128440761725,6638268010.763976,244200839.24465108,-6394067171.519325,-6.394067171519326
