,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1639886756,373348.414580885174701727,2405546.220527722,2021-12-19,119980910.66760139,19.56898026993636,47074086.527926974,7306047.758745362,-39768038.76918161,-0.039768038769181606
47,1639783076,373270.210278944279295100,2387455.5410147714,2021-12-18,119078605.74240925,18.34068597505276,43787572.35715162,6846031.7105680285,-36941540.646583594,-0.036941540646583594
46,1639731236,373227.764711863673143509,2380598.1857129047,2021-12-17,118736582.90914654,18.83067899597354,44828280.253556706,7028132.229673847,-37800148.02388286,-0.03780014802388286
44,1639627556,386536.950854203415022123,2371084.8246304826,2021-12-16,118262087.04769172,19.7418986250727,46809716.23930327,7630973.2986083925,-39178742.940694876,-0.03917874294069488
42,1639523877,365424.054880251455317696,2344186.8052318855,2021-12-15,116920500.32819375,18.435910639931006,43217218.46456039,6736925.22145356,-36480293.24310683,-0.03648029324310683
41,1639472037,370226.990491496010460485,2346566.380004656,2021-12-14,117039185.86655603,17.719170631625975,41579210.08573938,6560115.216952183,-35019094.8687872,-0.0350190948687872
39,1639368357,369295.818715423233081962,2345810.584197102,2021-12-13,117001489.201867027500,20.450577384803857,47973180.882214785,7552312.718524257,-40420868.16369053,-0.04042086816369053
37,1639264677,369236.988253242871648574,2346585.856795378,2021-12-12,117040157.306251420000,19.8931133989622,46680898.54963133,7345273.278413035,-39335625.27121829,-0.03933562527121829
36,1639212837,369193.435692852173610826,2345905.762466058,2021-12-11,117006236.38788562,18.573056431034924,43570640.10817211,6857050.515091006,-36713589.5930811,-0.0367135895930811
34,1639109157,369867.342710023793842414,2350251.552582031,2021-12-10,117222990.42538248,20.41964157739341,47991294.32043745,7552558.5693216175,-40438735.751115836,-0.04043873575111584
32,1639005477,369039.131640925885169151,2351383.8912269343,2021-12-09,117279467.83605962,22.745243320763482,53482798.74648027,8393884.844056122,-45088913.90242415,-0.04508891390242415
31,1638953637,369007.982690139301476602,2351387.4730258267,2021-12-08,117279646.484671454000,20.805377625976657,48921504.321293324,7677350.426868205,-41244153.89442512,-0.041244153894425116
29,1638849957,369114.849625948349170100,2365806.6923767976,2021-12-07,117998830.78222604,19.821174458596452,46893067.184915535,7316289.829694515,-39576777.35522102,-0.03957677735522102
27,1638746278,369064.939620015723381697,2379730.70241331,2021-12-06,118693315.631475420000,19.373770156945657,46104355.66398231,7150179.31318521,-38954176.3507971,-0.0389541763507971
