,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
43,1639783089,0.05357777785870303500,915.9305659305788,2021-12-18,45796.131623660000,2373.304823754037,2173782.430346808,127.15639863808218,-2173655.27394817,-0.0021736552739481697
41,1639679408,0.05357777785870303500,915.9305659305788,2021-12-17,45796.131623660000,2329.3749181831417,2133545.687075981,124.80273191605094,-2133420.884344065,-0.002133420884344065
40,1639627568,0.05357777785870303500,915.9305659305788,2021-12-16,45796.131623660000,2375.8041119403742,2176071.604789743,127.29030494533464,-2175944.314484798,-0.002175944314484798
38,1639523888,0.05357539811289731000,915.9305666395848,2021-12-15,45796.131659110000,2302.9244113081522,2109318.8609776082,123.38009215974394,-2109195.4808854484,-0.0021091954808854486
36,1639420207,5.091145579652257101,1176.4355447116623,2021-12-14,58821.267742746000,2231.924124399022,2625714.873042463,11363.050640053314,-2614351.8224024097,-0.0026143518224024096
35,1639368367,5.091145579652257101,1176.4355447116623,2021-12-13,58821.267742746000,2468.2218654513467,2903703.93475149,12566.07683989367,-2891137.8579115965,-0.0028911378579115966
33,1639264687,5.091145579652257101,1176.4355447116623,2021-12-12,58821.267742746000,2446.8936989260437,2878612.7215475943,12457.492039166287,-2866155.229508428,-0.002866155229508428
31,1639161006,200.702685940130543505,915.880637635518,2021-12-11,45793.635230530000,2354.2739861295117,2156233.95958501,472509.1124551706,-1683724.8471298395,-0.0016837248471298395
30,1639109166,200.702685940130543505,915.880637635518,2021-12-10,45793.635230530000,2529.509951127668,2316729.1869441965,507679.44130361127,-1809049.7456405852,-0.0018090497456405852
28,1639005486,200.689730223308598685,653.9655985796752,2021-12-09,32697.996708377500,2723.3450667555308,1780973.9867197862,546547.3867521457,-1234426.5999676404,-0.0012344265999676403
26,1638901805,200.541586316546336205,653.1883498022789,2021-12-08,32659.134606120000,2608.8080614888863,1704043.032634808,523174.50704637554,-1180868.5255884323,-0.0011808685255884324
25,1638849965,200.541586316546336205,653.1883498022789,2021-12-07,32659.134606120000,2608.4090170594923,1703782.3814624741,523094.48204349406,-1180687.89941898,-0.0011806878994189802
23,1638746285,200.344774473508077017,653.2719259137849,2021-12-06,32663.313375500000,2575.1187704778977,1682252.798646834,515911.5893138919,-1166341.209332942,-0.001166341209332942
21,1638642604,200.344774473508077017,653.2719259137849,2021-12-05,32663.313375500000,2586.7705680692443,1689864.5908996908,518245.96607454115,-1171618.6248251495,-0.0011716186248251494
20,1638590764,200.344774473508077017,653.2719259137849,2021-12-04,32663.313375500000,2777.166797083999,1814245.1021148816,556390.8556371086,-1257854.246477773,-0.001257854246477773
18,1638487084,200.344774473508077017,653.2719259137849,2021-12-03,32663.313375500000,2963.979933451468,1936284.8794956524,593817.8913113378,-1342466.9881843147,-0.0013424669881843146
16,1638383403,200.225703914986059771,543.4085580000565,2021-12-02,27170.192559640000,2972.367071316758,1615209.7040710906,595144.2891481234,-1020065.4149229672,-0.0010200654149229672
15,1638331563,200.225703914986059771,543.4085580000565,2021-12-01,27170.192559640000,3055.884475752712,1660593.77638354,611866.6202404649,-1048727.1561430749,-0.0010487271561430748
13,1638227883,200.162606504392761388,873.8662117198442,2021-11-30,43692.932130430000,3087.308056453096,2697894.195704822,617963.6276616628,-2079930.5680431593,-0.002079930568043159
11,1638124202,200.125265097317532353,1242.8991082032521,2021-11-29,62144.417133165000,3074.512313079531,3821308.612086467,615287.5917000083,-3206021.020386459,-0.003206021020386459
10,1638072362,150.056901225542572110,1227.6322521398486,2021-11-28,61381.080941792500,3069.9256362573688,3768739.722740491,460663.5279696329,-3308076.194770858,-0.0033080761947708584
8,1637968682,150.056901225542572110,1227.6322521398486,2021-11-27,61381.080941792500,3103.4756652886203,3809926.820439484,465697.9413620895,-3344228.8790773945,-0.0033442288790773945
6,1637865001,0.05335987550526124750,1219.8352540791875,2021-11-26,60991.234415497500,3317.754106528832,4047113.4235098655,177.03494608144774,-4046936.3885637843,-0.0040469363885637846
5,1637813161,0.05335987550526124750,1219.8352540791875,2021-11-25,60991.234415497500,3094.5724885966547,3774868.617893764,165.126002733524,-3774703.49189103,-0.0037747034918910304
3,1637709481,0.05335987550526124750,1219.8352540791875,2021-11-24,60991.234415497500,3037.367214041027,3705087.60727153,162.07353640499142,-3704925.5337351253,-0.0037049255337351255
1,1637605800,0.05335512196543379600,1035.4869441884368,2021-11-23,51773.898758860000,2854.5317387874666,2955830.347285939,152.3038890772071,-2955678.0433968618,-0.002955678043396862
0,1637553960,0.05335512196543379600,1035.4869441884368,2021-11-22,51773.898758860000,2984.3232526722168,3090227.76538005,159.2289311306062,-3090068.5364489197,-0.0030900685364489196
93,1637294756,0.05334391275554219600,878.0210816925164,2021-11-19,43900.673829665000,2806.621999847423,2464273.284208048,149.7161990976463,-2464123.5680089504,-0.0024641235680089506
91,1637191076,0.05382326161611770300,871.2952197318468,2021-11-18,43564.383644480000,2809.7194108988206,2448095.0915039233,151.22826292069132,-2447943.8632410024,-0.0024479438632410023
90,1637139236,0.05382326161611770300,871.2952197318468,2021-11-17,43564.383644480000,2819.249661789312,2456398.7535476536,151.7412121076375,-2456247.012335546,-0.0024562470123355457
88,1637035556,0.05382326161611770300,871.2952197318468,2021-11-16,43564.383644480000,3032.063181083795,2641822.1556032477,163.19552983207114,-2641658.9600734157,-0.0026416589600734156
86,1636931877,0.05382326161611770300,871.2952197318468,2021-11-15,43564.383644480000,3042.696255529061,2651086.702538461,163.76783657972237,-2650922.9347018814,-0.0026509229347018814
85,1636880037,0.05382326161611770300,871.2952197318468,2021-11-14,43564.383644480000,3151.1819787024556,2745609.794548592,169.6068920396977,-2745440.1876565525,-0.0027454401876565527
83,1636776357,0.05382326161611770300,871.2952197318468,2021-11-13,43564.383644480000,2883.3496319768988,2512248.751157052,155.19128157262932,-2512093.5598754794,-0.0025120935598754793
81,1636672677,0.05332083277444264700,872.5075130402903,2021-11-12,43624.997784880000,3003.659770035622,2620715.7159729507,160.15764030939025,-2620555.558332641,-0.002620555558332641
80,1636620837,17.327191844554024108,873.719806348734,2021-11-11,43685.611925280000,2959.298051590255,2585597.320563623,51276.32506511927,-2534320.995498504,-0.002534320995498504
78,1636517157,37.581622642426625017,868.8805457096187,2021-11-10,43443.650989120000,3138.9512950097146,2727373.714163955,117966.88306201146,-2609406.8311019433,-0.0026094068311019432
76,1636413477,37.581622642426625017,868.8805457096187,2021-11-09,43443.650989120000,3296.228543449065,2864028.855615645,123877.6172630983,-2740151.238352547,-0.002740151238352547
75,1636361637,37.578036635310461497,831.9651921268545,2021-11-08,41597.899297350000,2973.6483364041974,2473971.9095142195,111743.86612592693,-2362228.0433882927,-0.0023622280433882926
73,1636257957,37.574811764811248865,797.454293905108,2021-11-07,39872.369332305000,3030.625541011098,2416785.350897791,113875.18423312127,-2302910.1666646698,-0.00230291016666467
