,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
37,1639368357,606.550839313521764148,1237.3775294887193,2021-12-13,61743.354591200000,17.38540869766114,21512.314063463637,10545.134237374969,-10967.179826088668,-1.0967179826088668e-05
35,1639264677,1640.709871963360356402,1237.8031073767052,2021-12-12,61764.590314185000,17.559149505132158,21734.769820344718,28809.469936350884,7074.700116006166,7.074700116006167e-06
34,1639212837,1640.709871963360356402,1237.8031073767052,2021-12-11,61764.590314185000,17.082583310902127,21144.874704256097,28027.563076833663,6882.688372577566,6.882688372577566e-06
32,1639109157,1640.709871963360356402,1237.8031073767052,2021-12-10,61764.590314185000,18.62243090178773,23050.90283714083,30554.00622051867,7503.103383377838,7.503103383377838e-06
30,1639005477,1640.709871963360356402,1237.8031073767052,2021-12-09,61764.590314185000,18.38994130938982,22763.12649723795,30172.55825114268,7409.43175390473,7.4094317539047295e-06
29,1638953637,1640.709871963360356402,1237.8031073767052,2021-12-08,61764.590314185000,18.01428970452086,22298.143773440108,29556.222954615296,7258.079181175188,7.258079181175188e-06
27,1638849957,1640.709871963360356402,1237.8031073767052,2021-12-07,61764.590314185000,17.753065885561945,21974.800118611955,29127.630456057435,7152.830337445481,7.152830337445481e-06
25,1638746278,1640.709871963360356402,1237.8031073767052,2021-12-06,61764.590314185000,16.885902479530884,20901.42256002334,27704.866895176903,6803.444335153563,6.803444335153563e-06
24,1638694438,1640.709871963360356402,1237.8031073767052,2021-12-05,61764.590314185000,17.75394523632068,21975.88858171359,29129.07321552821,7153.184633814621,7.15318463381462e-06
22,1638590758,1640.709871963360356402,1237.8031073767052,2021-12-04,61764.590314185000,21.009461939366698,26005.57727286072,34470.431608557425,8464.854335696706,8.464854335696706e-06
20,1638487078,1640.709871963360356402,1237.8031073767052,2021-12-03,61764.590314185000,22.05836808172751,27303.916555221444,36191.38227109182,8887.465715870374,8.887465715870373e-06
19,1638435238,1640.709871963360356402,1237.8031073767052,2021-12-02,61764.590314185000,21.885849491845534,27090.372508585286,35908.329317575255,8817.95680898997,8.817956808989969e-06
17,1638331558,1640.709871963360356402,1237.8031073767052,2021-12-01,61764.590314185000,21.99977103136211,27231.38494419604,36095.241512089364,8863.856567893323,8.863856567893322e-06
15,1638227878,1625.046257193158355713,1253.5884677649833,2021-11-30,62552.257037215000,22.223742184062445,27859.426912522864,36114.60905703638,8255.182144513517,8.255182144513517e-06
