,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
47,1639886756,22821.924575673668950129,137676.8880541193,2021-12-19,6883531.601192360000,5.598547248944337,770790.5628586072,127769.62304875297,-643020.9398098541,-0.0006430209398098542
45,1639783076,22718.827980657613773293,136412.2789459809,2021-12-18,6820304.018973880000,5.537919890875812,755440.2729346474,125815.04937146977,-629625.2235631776,-0.0006296252235631776
44,1639731236,22718.827980657613773293,136412.2789459809,2021-12-17,6820304.018973880000,5.67083705379185,773571.8060390584,128834.77153143629,-644737.0345076221,-0.0006447370345076222
42,1639627556,22715.830110634758143634,136826.77276280243,2021-12-16,6841027.768086135000,5.916368207800706,809517.5683498158,134395.21508036146,-675122.3532694543,-0.0006751223532694543
40,1639523877,22763.772562303308654192,138845.89495435698,2021-12-15,6941979.290223760000,5.737108282003477,796573.9338648261,130598.2280968338,-665975.7057679923,-0.0006659757057679923
39,1639472037,22810.452220147249207325,137007.80313542637,2021-12-14,6850078.875416821667,5.6088967696907766,768462.6244287228,127941.47177276971,-640521.1526559531,-0.0006405211526559531
37,1639368357,22808.182529686748039746,121561.04071063298,2021-12-13,6077775.849179190000,5.582911599592353,678664.5442419111,127336.06681060781,-551328.4774313034,-0.0005513284774313034
35,1639264677,22548.961103123024355175,108116.91063482135,2021-12-12,5405599.890415418333,5.70524876264014,616833.8706197891,128647.43243241326,-488186.43818737584,-0.00048818643818737586
34,1639212837,22548.961103123024355175,108116.91063482135,2021-12-11,5405599.890415418333,5.110675109914457,552550.4041422271,115240.41426416006,-437309.98987806705,-0.00043730998987806703
32,1639109157,22190.371334179861207812,97514.52019171492,2021-12-10,4875504.456862225000,5.547852767322999,540996.20069978,123108.91301425468,-417887.28768552537,-0.0004178872876855254
30,1639005477,22181.765844498478090935,97512.16059800482,2021-12-09,4875386.482537710000,6.592129127544206,642812.754167876,146225.06472388367,-496587.68944399233,-0.0004965876894439923
29,1638953637,22179.331883632890238744,97881.42942278416,2021-12-08,4893849.084798915000,5.855305998168933,573125.7208085771,129866.77501361512,-443258.945794962,-0.000443258945794962
27,1638849957,40849.543029365029757054,99414.90615666512,2021-12-07,4970519.437438013333,6.3429162280024896,630580.4215664559,259105.22938744546,-371475.19217901037,-0.00037147519217901035
25,1638746278,59491.720055733710220308,98437.57125841556,2021-12-06,4921654.913027753333,5.263075603027809,518084.37971147837,313109.42040749226,-204974.9593039861,-0.0002049749593039861
24,1638694438,59478.309077573540592699,86873.03017224674,2021-12-05,4343454.133325072500,5.805034440973418,504300.9321416152,345273.6326861763,-159027.29945543892,-0.00015902729945543891
22,1638590758,59422.487823236382162262,79007.0004381069,2021-12-04,3950170.518216150000,6.901793526867894,545290.0042009751,410121.7418087991,-135168.26239217597,-0.00013516826239217596
20,1638487078,60126.984736314452841122,77627.90167337014,2021-12-03,3881218.713287940000,7.3752244869963866,572523.2012955872,443450.0101565243,-129073.19113906292,-0.0001290731911390629
19,1638435238,65273.931179397382503165,81148.10248631345,2021-12-02,4057220.756048473333,7.545470919549684,612300.6474871156,492522.5495188303,-119778.09796828526,-0.00011977809796828526
17,1638331558,65204.421010294633223388,84266.28431153466,2021-12-01,4213122.762808945000,7.933148039883416,668496.9082143098,517276.3247295518,-151220.58348475804,-0.00015122058348475805
