,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
42,1639886756,48554583.367386143156926044,86887040.3267433,2021-12-19,4329932093.74496620,1.0003625697890954,86918542.9426297,48572187.79243727,-38346355.150192425,-0.03834635515019243
40,1639783076,48144785.428267616951933676,86887040.3267433,2021-12-18,4329932093.74496620,0.9985023986138946,86756918.17471537,48072683.73087649,-38684234.44383888,-0.03868423444383888
39,1639731236,48085927.315143816481512339,86887040.3267433,2021-12-17,4329932093.74496620,0.9988138045025411,86783975.31072019,48028888.00467145,-38755087.30604874,-0.03875508730604874
37,1639627556,48085927.315143816481512339,86887040.3267433,2021-12-16,4329932093.74496620,0.9996190534027342,86853941.00438434,48067609.144756734,-38786331.859627604,-0.038786331859627605
35,1639523877,48076719.410965925630225827,86887040.3267433,2021-12-15,4329932093.74496620,1.002443411579276,87099341.12716669,48194190.623868264,-38905150.503298424,-0.03890515050329842
34,1639472037,48076719.410965925630225827,86887040.3267433,2021-12-14,4329932093.74496620,0.9953509462835358,86483097.80899969,47853208.15991296,-38629889.64908673,-0.03862988964908673
32,1639368357,48078223.377335516286745607,86887040.3267433,2021-12-13,4329932093.74496620,0.9986167519126646,86766853.9943971,48011719.266806334,-38755134.72759077,-0.03875513472759077
30,1639264677,48071992.764839922758690168,86887040.3267433,2021-12-12,4329932093.74496620,1.0007796911001703,86954785.3788062,48109474.06976612,-38845311.309040084,-0.038845311309040086
29,1639212837,48071992.764839922758690168,86887040.3267433,2021-12-11,4329932093.74496620,0.994981096809914,86450962.68287028,47830724.08699868,-38620238.595871605,-0.0386202385958716
27,1639109157,47908672.053825430568159297,86887914.1169458,2021-12-10,4329975638.23936802,0.9956324469647305,86508426.5439161,47699428.38778104,-38808998.15613507,-0.03880899815613507
25,1639005477,47693098.899193930111129362,86888132.56449644,2021-12-09,4329986524.36296847,0.9994867642507749,86843538.46868093,47668621.095847525,-39174917.37283341,-0.03917491737283341
24,1638953637,47692259.409142217715018572,87327786.64371254,2021-12-08,4351896262.57691583,1.0003127104162381,87355094.95222305,47707173.27543338,-39647921.67678967,-0.03964792167678967
22,1638849957,60183339.145439194840992454,87767440.72292861,2021-12-07,4373806000.79086318,0.9987564672523399,87658299.03621134,60108499.19234833,-27549799.84386301,-0.02754979984386301
