,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1639886756,600416.680587138395481322,8637985.317015827,2021-12-19,427103491.49693914,15.6035029794557,134782829.63055104,9368603.464456314,-125414226.16609472,-0.1254142261660947
47,1639783076,600318.191307846538115444,8666208.532058334,2021-12-18,428498982.83473742,14.995422443035723,129953457.91765521,9002024.878900297,-120951433.03875491,-0.12095143303875491
46,1639731236,600286.614031545167749830,8668943.985727876,2021-12-17,428634236.80545078,14.418605204408896,124994080.86934516,8655295.697212234,-116338785.17213292,-0.11633878517213292
44,1639627556,600179.471344587479307913,8670737.010107333,2021-12-16,428722892.54457270,15.208929189148954,131872625.20445554,9128087.080460684,-122744538.12399486,-0.12274453812399486
42,1639523877,600073.638287811801666292,8670755.560713088,2021-12-15,428723809.77563951,14.975146635898753,129845835.96571301,8986190.72569725,-120859645.24001576,-0.12085964524001576
41,1639472037,600013.009132817257298644,8560686.822781634,2021-12-14,423281482.59518232,14.168878818136777,121295334.19201331,8501511.615708483,-112793822.57630482,-0.11279382257630483
39,1639368357,551880.779524768404398347,8212266.266073831,2021-12-13,406053896.43732354,15.995855683677975,131362226.028054,8827805.303873898,-122534420.7241801,-0.1225344207241801
37,1639264677,501779.712032267585871774,7756023.007543453,2021-12-12,383495037.91432884,15.86968723476298,123085659.31534031,7963087.09070152,-115122572.22463879,-0.11512257222463879
36,1639212837,465470.642095549212068242,7715685.530832647,2021-12-11,381500559.28197652,15.21049069997762,117359363.01068187,7080036.872706964,-110279326.1379749,-0.1102793261379749
34,1639109157,655294.831526144382261990,7736196.814497936,2021-12-10,382514735.68388258,16.29163597776951,126035302.35418044,10675824.853337744,-115359477.50084269,-0.11535947750084269
32,1639005477,655180.553611015394791119,7815285.137348414,2021-12-09,386425242.31087758,18.617777852630475,145503242.54211742,12198006.000493335,-133305236.54162408,-0.13330523654162407
31,1638953637,655124.113545020380863745,7818540.667525638,2021-12-08,386586211.36261093,17.182460282360324,134341764.48577824,11256644.061003825,-123085120.42477442,-0.12308512042477443
29,1638849957,640506.686612960266607628,7857861.57743016,2021-12-07,388530426.04840985,17.36494075887961,136451300.783551,11122360.66870032,-125328940.11485069,-0.12532894011485068
27,1638746278,519913.428311771675745273,7906703.726824286,2021-12-06,390945416.55520704,16.502373313763545,130479376.58137988,8579805.484839499,-121899571.09654038,-0.12189957109654037
26,1638694438,519872.866707387846438275,7909802.196521422,2021-12-05,391098619.78227633,17.158542762267786,135720679.23009247,8920260.814341454,-126800418.41575101,-0.12680041841575102
24,1638590758,446802.581683462632336594,7865198.666380306,2021-12-04,388893206.97394088,20.00089128703292,157310983.4771888,8936449.863016583,-148374533.61417222,-0.14837453361417222
22,1638487078,448123.398070996130518145,7883828.986928763,2021-12-03,389814379.52308603,22.410591780861726,176681273.09618515,10042710.54162169,-166638562.55456346,-0.16663856255456347
21,1638435238,491504.387356629421106176,7903620.341302932,2021-12-02,390792959.16225371,21.000235442858717,165977888.01832893,10321707.855687248,-155656180.16264167,-0.15565618016264168
19,1638331558,510046.035657054074349562,7893897.312371733,2021-12-01,390312205.90185385,21.13669846607353,166850927.21374956,10780689.259499338,-156070237.95425022,-0.1560702379542502
17,1638227878,509954.574499627407606550,7868533.094112461,2021-11-30,389058077.09981880,20.29900441101022,159723387.98556873,10351570.157182775,-149371817.82838595,-0.14937181782838596
16,1638176038,508504.562932539445993580,7875679.332974125,2021-11-29,389411421.48011954,20.153853948586786,158725291.02266392,10248326.693532355,-148476964.32913157,-0.14847696432913157
14,1638072359,492546.437448992676927965,7882163.584960253,2021-11-28,389732034.04906729,19.391606140942276,152847811.77802682,9551266.521135127,-143296545.2568917,-0.1432965452568917
12,1637968679,549152.821940921348719381,7884995.707684628,2021-11-27,389872067.80225568,19.235845344059115,151674557.97159144,10563418.753109194,-141111139.21848226,-0.14111113921848226
11,1637916839,550045.133446626486107264,7899617.522856503,2021-11-26,390595040.58847111,21.358945729460117,168727501.9541842,11748384.154040143,-156979117.80014408,-0.15697911780014406
9,1637813159,550020.949871748053755214,7903966.249737681,2021-11-25,390810062.53703353,20.803458368586636,164429832.82313168,11442337.932507386,-152987494.89062428,-0.1529874948906243
7,1637709479,549917.716768424265142017,7904159.452669273,2021-11-24,390819615.41813037,22.21686894778159,175605674.7023223,12217449.845507357,-163388224.85681495,-0.16338822485681495
6,1637657639,549878.239243945450061812,7906332.453550645,2021-11-23,390927059.02093813,21.009992507374793,166111985.60991323,11552937.68648374,-154559047.9234295,-0.15455904792342948
4,1637553959,579802.342668020945551738,7938869.412142651,2021-11-22,392535842.56331833,21.891278757622704,173792003.32157907,12692614.707668327,-161099388.61391073,-0.16109938861391074
2,1637450279,579694.773878152569976416,7953205.418925558,2021-11-21,393244683.60974167,22.084774165189376,175644745.56633133,12802428.165839521,-162842317.4004918,-0.1628423174004918
