,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1639886756,2511046657.89046810,3514152032.7409935,2021-12-19,158877512690.71055546,1.0004683284416795,3515797810.0863123,2512222652.458742,-1003575157.6275702,-1.0035751576275702
47,1639783076,2521580430.87285455,3611886029.051072,2021-12-18,163296141735.32729773,0.9997624272038046,3611027943.187611,2520981371.95906,-1090046571.228551,-1.090046571228551
46,1639731236,2497669553.64797135,3602444733.7655134,2021-12-17,162869293523.41941230,1.0004251063497358,3603976155.8964095,2498731328.8347692,-1105244827.0616403,-1.1052448270616402
44,1639627556,2553477976.52445438,3667372101.311912,2021-12-16,165804709682.20215119,0.9995022904553682,3665546815.2133727,2552207086.1635313,-1113339729.0498414,-1.1133397290498415
42,1639523877,2585070299.54404940,3667483509.687802,2021-12-15,165809746540.45118981,1.001547113540312,3673157523.084511,2589069696.8071322,-1084087826.2773786,-1.0840878262773785
41,1639472037,2593863101.67358355,3691841997.3778443,2021-12-14,166911012479.15974018,0.998431856652746,3686052659.9105434,2589795552.5070066,-1096257107.4035368,-1.0962571074035368
39,1639368357,2676308540.01156993,3762214596.3536315,2021-12-13,170092611733.45644692,0.999231581126135,3759323639.650263,2674252014.0171385,-1085071625.6331244,-1.0850716256331243
37,1639264677,2723735293.27736013,3774509865.796834,2021-12-12,170648490309.22612968,0.9976642221865579,3765693449.3956876,2717373252.8096337,-1048320196.5860538,-1.0483201965860538
36,1639212837,2758428733.18225432,3803657291.588392,2021-12-11,171966267817.98339302,0.9961241561275025,3788914909.7817082,2747737494.0790286,-1041177415.7026796,-1.0411774157026796
34,1639109157,2785190372.80166898,3813511817.699758,2021-12-10,172411798512.93696563,0.9985747046642346,3808076437.0931044,2781220653.954096,-1026855783.1390085,-1.0268557831390086
32,1639005477,2785607009.11846120,3763798482.05378,2021-12-09,170164220422.57447910,1.000099566894019,3764173231.7783513,2785884363.356316,-978288868.4220352,-0.9782888684220352
31,1638953637,2754204275.46445385,3729153105.831419,2021-12-08,168597876351.75481866,1.0020050105897729,3736630097.299495,2759726484.2031574,-976903613.0963378,-0.9769036130963378
29,1638849957,2744187502.10005050,3777688491.2704425,2021-12-07,170792198408.45375097,1.0009222152041022,3781172333.033454,2746718233.5373945,-1034454099.4960594,-1.0344540994960594
27,1638746278,2777042671.45792819,3652193600.867503,2021-12-06,165118478018.20057072,1.001201788493352,3656582765.1125193,2780380089.3860335,-876202675.7264857,-0.8762026757264857
26,1638694438,2783919205.07725905,3664302981.8715153,2021-12-05,165665952434.84981577,0.999132144612245,3661122896.786331,2781503165.796058,-879619730.990273,-0.879619730990273
24,1638590758,2889557015.11256743,3779677396.3379574,2021-12-04,170882118334.27387440,1.0020663203323739,3787487420.5918245,2895527765.5244484,-891959655.0673761,-0.8919596550673762
22,1638487078,2878503437.28328246,3764544383.254002,2021-12-03,170197943188.77814472,0.9981847390456269,3757710752.8240767,2873278202.386554,-884432550.4375229,-0.8844325504375229
21,1638435238,2870228413.58858106,3720083617.4238715,2021-12-02,168187837814.39413555,1.0007834225567176,3722998014.842637,2872477015.2707176,-850520999.5719194,-0.8505209995719194
19,1638331558,2863911598.55165852,3718745275.6926107,2021-12-01,168127330356.71674158,0.9977658019593205,3710436862.283872,2857513052.869495,-852923809.4143772,-0.8529238094143772
