,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1639886769,615577324.98996735,880849732.0296663,2021-12-19,41372171183.17798562,0.9999049136752695,880765975.2660077,615518792.0045466,-265247183.26146102,-0.265247183261461
47,1639783089,618832847.96426567,880144839.4311985,2021-12-18,41339063450.73607550,0.9983872529431141,878725388.4317726,617834827.110007,-260890561.32176554,-0.2608905613217655
45,1639679408,617920524.80001980,881154694.6060745,2021-12-17,41386494811.21218560,0.9994595425455134,880678467.9828187,617586565.0461115,-263091902.93670726,-0.26309190293670726
44,1639627568,617667886.10956238,882795912.3860997,2021-12-16,41463580312.26310575,1.0002532736753147,883019501.3513825,617824325.1252012,-265195176.22618127,-0.2651951762261813
42,1639523888,607197317.37273386,885549629.7757878,2021-12-15,41592918226.65828441,1.0021288172876905,887434803.1367625,608489929.5189962,-278944873.61776626,-0.27894487361776626
40,1639420207,622483396.32565451,890152454.764843,2021-12-14,41809105910.49242052,0.9974935997320863,887921376.4137363,620923203.774332,-266998172.6394043,-0.2669981726394043
39,1639368367,625725754.14594615,888015301.7724098,2021-12-13,41708727087.37141848,0.9993849560551755,887469133.3381432,625340905.3097379,-262128228.0284053,-0.2621282280284053
37,1639264687,627567947.42725624,836002514.0193182,2021-12-12,39265765614.61622037,1.0001308614696685,836111914.5369493,627650071.8911732,-208461842.64577603,-0.20846184264577602
35,1639161006,631553757.63181017,838480682.0800558,2021-12-11,39382161396.44075759,0.9964470361423838,835501590.521316,629309869.9568027,-206191720.56451333,-0.20619172056451332
34,1639109166,633838835.70320576,836997942.2274638,2021-12-10,39312519362.42411877,0.9980983937379269,835406301.6991818,632633523.8040873,-202772777.8950945,-0.2027727778950945
32,1639005486,646569593.06076793,823065305.7452219,2021-12-09,38658124633.54328719,0.9998456677172128,822938280.1977032,646469806.49949,-176468473.69821322,-0.17646847369821322
30,1638901805,645830215.96683058,822833760.4721696,2021-12-08,38647249304.50016130,1.0014777345118404,824049690.3175268,646784581.5657542,-177265108.75177264,-0.17726510875177265
29,1638849965,652587589.91110088,823589588.1656206,2021-12-07,38682749380.82575985,0.9998202514294465,823441549.1144251,652470288.2246534,-170971260.8897717,-0.1709712608897717
27,1638746285,649211673.20232620,802729005.6252898,2021-12-06,37702959570.53572079,1.0013614249204634,803821860.8979269,650095526.1528797,-153726334.7450472,-0.1537263347450472
