,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
47,1639783076,0.64642599000000000000,2457.65052248125,2021-12-18,121638.849877795000,46341.99208790469,113892421.06766091,29956.66811399596,-113862464.39954692,-0.11386246439954692
46,1639731236,0.64634761000000000000,2457.7759913665627,2021-12-17,121645.059829440000,47644.278935331524,117098964.89322948,30794.765820024873,-117068170.12740946,-0.11706817012740946
44,1639627556,0.64634761000000000000,2457.7759913665627,2021-12-16,121645.059829440000,48820.65698137904,119990238.61157577,31555.114958544156,-119958683.49661723,-0.11995868349661723
42,1639523877,0.64630298000000000000,2458.32878909747,2021-12-15,121672.419976697500,48270.02882016978,118663601.49918793,31197.06347116161,-118632404.43571676,-0.11863240443571677
41,1639472037,0.64615324000000000000,2458.9587299339732,2021-12-14,121703.598241525000,46713.90584148504,114867566.57823326,30184.341612530483,-114837382.23662072,-0.11483738223662072
39,1639368357,0.64615324000000000000,2458.9587299339732,2021-12-13,121703.598241525000,50020.75466459159,122998971.36038302,32321.07269377097,-122966650.28768925,-0.12296665028768926
37,1639264677,0.64615324000000000000,2458.9587299339732,2021-12-12,121703.598241525000,49270.20633816324,121153404.00087468,31836.10346087271,-121121567.8974138,-0.12112156789741381
36,1639212837,0.64615324000000000000,2458.9587299339732,2021-12-11,121703.598241525000,47265.73410567076,116224489.50587705,30540.907233357662,-116193948.59864369,-0.1161939485986437
34,1639109157,0.64611338333333333333,2459.3830516143335,2021-12-10,121724.599600630000,47786.630321451,117525628.70633619,30875.581395091955,-117494753.1249411,-0.11749475312494109
32,1639005477,0.64596008000000000000,2461.951192580837,2021-12-09,121851.707059820000,50548.12397229681,124447014.09632012,32652.07020499477,-124414362.02611513,-0.12441436202611514
31,1638953637,0.64596008000000000000,2461.951192580837,2021-12-08,121851.707059820000,50576.15367864407,124516021.86528945,32670.17627634922,-124483351.6890131,-0.12448335168901309
29,1638849957,0.64596008000000000000,2461.951192580837,2021-12-07,121851.707059820000,50518.475874148535,124374021.92572622,32632.91871714306,-124341389.00700907,-0.12434138900700907
27,1638746278,0.64581003000000000000,2462.0782577575505,2021-12-06,121857.996018243333,49279.81628623866,121330764.22463465,31825.39963421028,-121298938.82500044,-0.12129893882500044
26,1638694438,0.64581003000000000000,2462.0782577575505,2021-12-05,121857.996018243333,49037.24762284625,120733541.19248287,31668.746358427765,-120701872.44612445,-0.12070187244612444
24,1638590758,0.64581003000000000000,2462.0782577575505,2021-12-04,121857.996018243333,53779.28022508981,132408796.56004421,34731.19857554366,-132374065.36146867,-0.13237406536146867
22,1638487078,0.64581003000000000000,2462.0782577575505,2021-12-03,121857.996018243333,56594.70475261395,139340592.0756187,36549.42797412676,-139304042.64764458,-0.13930404264764457
21,1638435238,0.64573743500000000000,2464.253523230479,2021-12-02,121965.658514552500,57212.75109938861,140986723.47037685,36944.41514421263,-140949779.05523264,-0.14094977905523265
19,1638331558,0.64573743500000000000,2464.253523230479,2021-12-01,121965.658514552500,57117.08594146655,140750980.267917,36882.64057051717,-140714097.6273465,-0.1407140976273465
17,1638227878,0.64569715000000000000,2465.0431361441456,2021-11-30,122004.739582340000,57866.69332982838,142643895.20405164,37364.35896299419,-142606530.84508866,-0.14260653084508865
16,1638176038,0.64561444500000000000,2465.3542463282015,2021-11-29,122020.137656487500,57290.53277619375,141241458.25419426,36987.59552205664,-141204470.6586722,-0.14120447065867223
14,1638072359,0.64561444500000000000,2465.3542463282015,2021-11-28,122020.137656487500,54473.23418914302,134295819.2194343,35168.706858378595,-134260650.51257592,-0.13426065051257594
12,1637968679,0.64551301500000000000,2465.6911112117396,2021-11-27,122036.810432630000,53775.48347581671,132593731.60743505,34712.774471557124,-132559018.8329635,-0.1325590188329635
11,1637916839,0.64551301500000000000,2465.6911112117396,2021-11-26,122036.810432630000,59040.13619223091,145574739.01391426,38111.1763194576,-145536627.8375948,-0.1455366278375948
9,1637813159,0.64551301500000000000,2465.6911112117396,2021-11-25,122036.810432630000,57132.55582541222,140871235.0595274,36879.80836551766,-140834355.25116187,-0.14083435525116186
7,1637709479,0.64540217000000000000,2587.1653624696887,2021-11-24,128049.051830510000,57737.26537356611,149375853.09821075,37263.756361965425,-149338589.3418488,-0.1493385893418488
