,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1639886756,2265.9653029922222222,33690.88709814465,2021-12-19,1681635.753405057778,46956.29538315965,1581999246.301163,106401336.09529366,-1475597910.2058692,-1.4755979102058692
47,1639783076,2265.6128385630769231,33674.73865718391,2021-12-18,1680829.725484147692,46341.99208790469,1560554472.413475,104993012.2389454,-1455561460.1745296,-1.4555614601745295
46,1639731236,2265.4930676188461538,33610.213274350965,2021-12-17,1677609.026947539615,47644.278935331524,1601334376.3191595,107937783.6396922,-1493396592.6794672,-1.4933965926794672
44,1639627556,2265.1926407012000000,34099.81167753647,2021-12-16,1702046.679099836000,48820.65698137904,1664775209.0386314,110588192.90841748,-1554187016.130214,-1.554187016130214
42,1639523877,2265.0011483677777778,33914.922833008764,2021-12-15,1692818.198696283333,48270.02882016978,1637074302.583167,109331670.70943025,-1527742631.8737369,-1.5277426318737368
41,1639472037,2264.8679905242553191,33999.92845415828,2021-12-14,1697061.141048884894,46713.90584148504,1588269456.424778,105800830.05274351,-1482468626.3720345,-1.4824686263720346
39,1639368357,2265.1176574750000000,33969.44655049174,2021-12-13,1695539.677429118182,50020.75466459159,1699177351.9941044,113302894.63099138,-1585874457.363113,-1.585874457363113
37,1639264677,2269.0428750942857143,33924.365869227644,2021-12-12,1693289.535271070000,49270.20633816324,1671460506.2681885,111796210.64603461,-1559664295.6221538,-1.5596642956221538
36,1639212837,2267.9775646704000000,33914.43440140993,2021-12-11,1692793.819283616000,47265.73410567076,1602990638.7612553,107197624.52933784,-1495793014.2319174,-1.4957930142319174
34,1639109157,2268.2153069750000000,33863.986409662975,2021-12-10,1690275.774972048056,47786.630321451,1618245799.7692053,108390366.36387083,-1509855433.4053345,-1.5098554334053345
32,1639005477,2268.7580148264864865,34018.8919203824,2021-12-09,1698007.677206216216,50548.12397229681,1719591166.1916556,114681461.39659122,-1604909704.7950644,-1.6049097047950645
31,1638953637,2268.6211053493939394,34015.19674393192,2021-12-08,1697823.237395647879,50576.15367864407,1720357817.9304142,114738129.66276631,-1605619688.267648,-1.605619688267648
29,1638849957,2267.3100060709677419,33998.301143703386,2021-12-07,1696979.916015098387,50518.475874148535,1717542356.090216,114541045.84091176,-1603001310.249304,-1.6030013102493041
27,1638746278,2267.0402907143636364,33884.162041234486,2021-12-06,1691282.814748096182,49279.81628623866,1669805280.4051769,111719329.03990495,-1558085951.365272,-1.558085951365272
