,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
47,1639886756,7.244773176769677718,44.85482339333733,2021-12-19,2242.7148167000000000,31208.4843578434,1399851.0542447963,226098.3903633399,-1173752.6638814565,-0.0011737526638814564
45,1639783076,7.239768180717474743,44.85482339333733,2021-12-18,2242.7148167000000000,33227.11559509056,1490396.4018877915,240556.61422235798,-1249839.7876654335,-0.0012498397876654335
44,1639731236,7.239768180717474743,44.85482339333733,2021-12-17,2242.7148167000000000,24668.154310582362,1106485.7050407648,178591.71865478277,-927893.986385982,-0.0009278939863859821
42,1639627556,7.239768180717474743,44.85482339333733,2021-12-16,2242.7148167000000000,20658.677689789012,926641.3393153641,149564.03739423247,-777077.3019211317,-0.0007770773019211317
40,1639523877,6.738042519488319232,44.514852095559654,2021-12-15,2225.7164515500000000,20140.295745048636,896542.2862516694,135706.16908520737,-760836.117166462,-0.0007608361171664621
39,1639472037,6.738042519488319232,44.514852095559654,2021-12-14,2225.7164515500000000,19533.848792186403,869546.3898412043,131619.9037310075,-737926.4861101968,-0.0007379264861101968
37,1639368357,6.737320846192701792,44.17488079778199,2021-12-13,2208.7180864000000000,21749.308093775617,960773.0924767728,146532.0668104621,-814241.0256663107,-0.0008142410256663107
35,1639264677,6.735799869081812666,43.65804112174108,2021-12-12,2182.8764062500000000,21511.09161879818,939132.1224670308,144894.40810970764,-794237.7143573231,-0.0007942377143573231
34,1639212837,6.735107143360377542,43.14120144570018,2021-12-11,2157.0347261000000000,20089.753949012866,866696.1221089148,135306.64533034893,-731389.4767785659,-0.0007313894767785659
32,1639109157,6.957541277202360139,43.14120144570018,2021-12-10,2157.0347261000000000,21045.44796610322,907925.9102206603,146424.5729213776,-761501.3372992827,-0.0007615013372992826
30,1639005477,6.957541277202360139,43.14120144570018,2021-12-09,2157.0347261000000000,23036.509133446463,993822.681131726,160277.46317860292,-833545.2179531232,-0.0008335452179531232
29,1638953637,6.957541277202360139,43.14120144570018,2021-12-08,2157.0347261000000000,22072.965208040943,952254.2385440258,153573.56654519643,-798680.6719988293,-0.0007986806719988294
27,1638849957,7.181248409371189892,41.89172981408614,2021-12-07,2094.5618786050000000,23865.3893454435,999762.4423672891,171383.28927599025,-828379.1530912989,-0.0008283791530912989
25,1638746278,7.181149451213326868,40.712406349536785,2021-12-06,2035.5963982500000000,23764.387785198673,967505.4121589769,170655.62030210014,-796849.7918568768,-0.0007968497918568768
24,1638694438,7.179506138266979187,50.9316323191297,2021-12-05,2546.5516927616666667,24624.838157241036,1254183.2029426757,176794.17670374297,-1077389.0262389327,-0.0010773890262389327
22,1638590758,7.176335192885870638,50.594193918781095,2021-12-04,2529.6799709950000000,27675.58591164428,1400223.9604296167,198609.28116146926,-1201614.6792681476,-0.0012016146792681475
