,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1639886756,9296858.224430853448221818,128127918.89453557,2021-12-19,6247028919.51954542,0.7863910719677162,100758651.48846643,7310966.3050420545,-93447685.18342437,-0.09344768518342436
47,1639783076,9297337.533488536983086242,128131456.91321206,2021-12-18,6247201419.82377825,0.7745325774015699,99241987.56920834,7201090.802785232,-92040896.7664231,-0.0920408967664231
46,1639731236,9176408.730879414561733816,128131857.02013598,2021-12-17,6247220927.51223527,0.7821644422149572,100220182.4761213,7177460.616524761,-93042721.85959655,-0.09304272185959656
44,1639627556,9151947.210814153254936235,128133857.55475542,2021-12-16,6247318465.95452036,0.7917883755204085,101454898.92244321,7246405.414899069,-94208493.50754414,-0.09420849350754415
42,1639523877,9196742.171288496192825674,128210543.7228814,2021-12-15,6251057391.19535333,0.7663686621235996,98256542.86304389,7048094.993706052,-91208447.86933784,-0.09120844786933784
41,1639472037,9213831.297805716529495108,128230992.29902391,2021-12-14,6252054385.82093773,0.7526255701382519,96509923.68844667,6934565.033668696,-89575358.65477797,-0.08957535865477798
39,1639368357,9587868.161440403653143743,128346478.68538947,2021-12-13,6257685061.80210574,0.8389389040909576,107674854.1722541,8043635.607927396,-99631218.5643267,-0.0996312185643267
37,1639264677,10201728.034093842244720233,129221390.07779418,2021-12-12,6300342406.25540960,0.8471104717045299,109464792.70311528,8641990.64716256,-100822802.05595273,-0.10082280205595273
36,1639212837,10179683.207378828039699716,129232951.67816299,2021-12-11,6300906105.81818255,0.8062302145857971,104191510.3630413,8207168.176700467,-95984342.18634082,-0.09598434218634082
34,1639109157,10178059.673213578091202558,129236191.80762762,2021-12-10,6301064082.17995633,0.8654178944527172,111843313.00124459,8808274.972006608,-103035038.02923799,-0.10303503802923798
32,1639005477,9176749.916924263688865028,128240350.29750398,2021-12-09,6252510646.15543889,0.9115740539183241,116900575.99660167,8365287.123565292,-108535288.87303638,-0.10853528887303639
31,1638953637,9175775.139274630803478760,128214140.63861664,2021-12-08,6251232763.09566075,0.8986824289118084,115223795.3299522,8246107.889311913,-106977687.44064029,-0.10697768744064029
29,1638849957,9174473.925585498492394712,128234182.03832616,2021-12-07,6252209905.35047250,0.8609838474621042,110407559.42751391,7899073.858891358,-102508485.56862256,-0.10250848556862256
27,1638746278,9183943.806213159929693499,128280909.66349852,2021-12-06,6254488166.23468085,0.83230064256456,106768283.5416961,7643802.331188025,-99124481.21050808,-0.09912448121050808
26,1638694438,9175599.719393065709342697,128368136.47872241,2021-12-05,6258741013.24852900,0.8862815347940813,113770309.0170182,8132164.601959828,-105638144.41505837,-0.10563814441505838
24,1638590758,9173778.865193792102725619,128473463.46545862,2021-12-04,6263876355.62998474,1.0464369230641324,134439375.80418673,9599780.92856416,-124839594.87562257,-0.12483959487562257
22,1638487078,9172536.848947897945998089,128473640.9407746,2021-12-03,6263885008.64988235,1.1171439228491482,143523547.22328988,10247043.797912018,-133276503.42537786,-0.13327650342537786
21,1638435238,9186823.136030081382077889,128849970.20769939,2021-12-02,6282233389.19039325,1.1517430823392274,148402061.84633332,10580859.995596612,-137821201.8507367,-0.1378212018507367
19,1638331558,9186823.136030081382077889,128849970.20769939,2021-12-01,6282233389.19039325,1.1830419610326435,152434921.4335144,10868397.258509085,-141566524.17500532,-0.14156652417500531
17,1638227878,9199672.767207149108948836,129277249.21339846,2021-11-30,6303065884.78023125,1.203954008984508,155643862.46096042,11075982.90942465,-144567879.55153576,-0.14456787955153574
16,1638176038,9200936.880431995566617654,129278343.08533247,2021-11-29,6303119217.80604654,1.1722420348677,151545507.9626748,10785724.971406871,-140759782.99126792,-0.14075978299126793
14,1638072359,9215538.653691984262407967,129258840.00305761,2021-11-28,6302168321.85735733,1.2236859893642071,158172231.5132113,11276925.534967167,-146895305.97824416,-0.14689530597824416
12,1637968679,9189866.122226684233539352,129213739.19407552,2021-11-27,6299969378.32939077,1.091125683293708,140988429.46907064,10027298.95199229,-130961130.51707835,-0.13096113051707836
11,1637916839,9188555.872516642939037830,129204739.66110112,2021-11-26,6299530595.40652577,1.166385511443391,150702536.35052362,10717398.440791499,-139985137.90973213,-0.13998513790973213
9,1637813159,9190336.966606946972623180,129126338.58321753,2021-11-25,6295708057.70290897,1.1641713401552405,150325182.63776368,10699126.902893057,-139626055.7348706,-0.1396260557348706
7,1637709479,9190336.966606946972623180,129126338.58321753,2021-11-24,6295708057.70290897,1.1238212825625056,145114927.43919188,10328296.276993826,-134786631.16219807,-0.13478663116219808
6,1637657639,9187020.707378684848142789,129112091.96592319,2021-11-23,6295013446.94975741,1.081297567908298,139608591.03030524,9933903.147211744,-129674687.88309349,-0.1296746878830935
4,1637553959,9176224.501885603159415336,128917578.89965843,2021-11-22,6285529731.29539899,1.1299018725717407,145664213.80613917,10368233.247819232,-135295980.55831993,-0.13529598055831993
2,1637450279,7994963.919376658146071664,127386522.42192416,2021-11-21,6210881253.61508629,1.161526447526969,147962814.85155216,9286362.039379865,-138676452.8121723,-0.1386764528121723
0,1637346600,7719036.017639019495796758,127386770.29235724,2021-11-20,6210893338.83255628,1.1479317741852195,146231321.22943065,8860926.71072797,-137370394.5187027,-0.1373703945187027
99,1637294769,10890944.738262274862322477,128133963.19854243,2021-11-19,6247323616.74287507,1.0568712842365011,135421106.2399561,11510326.752076013,-123910779.4878801,-0.1239107794878801
97,1637191089,19672449.394515000490463754,139291332.55795714,2021-11-18,6791314416.37021145,1.160245820204331,161612186.39106125,22824877.183167256,-138787309.207894,-0.138787309207894
95,1637087408,19645520.389528599333706921,139233314.73195127,2021-11-17,6788485688.33003660,1.1271248961528715,156933335.40827063,22142955.128916547,-134790380.2793541,-0.13479038027935408
