date,Liabilities,Assets,VAR,VAR_DATE,timestamp
2021-12-19,16813608030.586468,6980691345.949859,-2.486016661655807,2021-05-11,1639872000.0
2021-12-18,16745322962.522224,6999967319.351087,-2.6448071388945693,2021-05-05,1639785600.0
2021-12-17,16940045747.413424,6998187198.945214,-2.7837961505051814,2021-05-06,1639699200.0
2021-12-16,17198526914.335022,7055017293.498968,-2.9893928253058464,2021-01-13,1639612800.0
2021-12-15,17031856275.417023,7179749037.701055,-3.072368658426366,2021-05-07,1639526400.0
2021-12-14,17017638573.415565,7295753433.548515,-3.8546075510023843,2021-01-10,1639440000.0
2021-12-13,17777128013.22504,7416050462.378911,-4.298886520125672,2021-01-09,1639353600.0
2021-12-12,17635530891.709873,7454013999.392718,-4.41058308563634,2021-01-11,1639267200.0
2021-12-11,17341052940.55547,7462439922.548214,-4.252186253522418,2021-01-11,1639180800.0
2021-12-10,17840993485.677326,7530848791.694351,-4.544691685859762,2021-01-11,1639094400.0
2021-12-09,18633766102.337936,7597028763.628195,-5.035596326561352,2021-01-11,1639008000.0
2021-12-08,18418567096.62617,7580266393.040905,-4.891668490569051,2021-01-11,1638921600.0
2021-12-07,18509024068.38239,7577165048.621845,-4.910448841446161,2021-01-11,1638835200.0
2021-12-06,18046834448.02294,7612348984.3794985,-4.752977371868483,2021-01-11,1638748800.0
2021-12-05,17972867546.324482,7618499205.668033,-4.654067288233891,2021-01-12,1638662400.0
2021-12-04,18698103429.17388,7781427475.454355,-4.873955970751047,2021-01-12,1638576000.0
2021-12-03,19256398110.536663,7759033600.752413,-5.18243115753483,2021-01-12,1638489600.0
2021-12-02,19419436741.356506,7773556586.504175,-5.275479686908291,2021-01-12,1638403200.0
2021-12-01,19454156497.894344,7730173066.321261,-5.324053191968368,2021-01-12,1638316800.0
2021-11-30,19553816588.471443,7722660748.31104,-5.265943593931642,2021-01-12,1638230400.0
2021-11-29,19071344480.864994,7429858009.873936,-5.113666399627178,2021-01-12,1638144000.0
2021-11-28,18709421555.485622,7452681939.252434,-4.892551771689675,2021-01-12,1638057600.0
2021-11-27,18352974396.610382,7365351509.157067,-4.769833369361512,2021-01-12,1637971200.0
2021-11-26,19220298176.951973,7338711676.384435,-5.29310193165398,2021-01-12,1637884800.0
2021-11-25,18711363264.459644,7337825732.557521,-5.044163928357885,2021-01-12,1637798400.0
2021-11-24,18966510039.67749,7409733823.596146,-5.157530363187524,2021-01-12,1637712000.0
2021-11-23,18464586066.301365,7387581205.225044,-4.863489759059905,2021-01-12,1637625600.0
2021-11-22,19024954573.40243,7421154013.580007,-5.1451754843115065,2021-01-12,1637539200.0
2021-11-21,19094152243.191685,7419242717.274439,-5.242352167368854,2021-01-12,1637452800.0
2021-11-20,18657989190.693687,7406157346.558768,-5.108433560606306,2021-01-12,1637366400.0
2021-11-19,17785780400.226868,7294945805.397689,-4.7115956631509786,2021-01-12,1637280000.0
2021-11-18,18786261333.33374,7547584627.08074,-5.083615455410808,2021-01-12,1637193600.0
2021-11-17,18487018526.866352,7448071849.487056,-5.003570749803636,2021-01-12,1637107200.0
2021-11-16,19290711174.031258,7554005662.479827,-5.412858001292246,2021-01-12,1637020800.0
2021-11-15,19570584620.193516,7657662241.58334,-5.49014390660707,2021-01-12,1636934400.0
2021-11-14,19476088969.411125,7666764129.277941,-5.426168734352527,2021-01-12,1636848000.0
2021-11-13,19481389485.316734,7698954595.389388,-5.432226263268042,2021-01-12,1636761600.0
2021-11-12,19597798763.910458,7661378180.654578,-5.4985475240493775,2021-01-12,1636675200.0
2021-11-11,19469927481.051025,7791491973.29286,-5.407748945392089,2021-01-12,1636588800.0
2021-11-10,19629442516.03247,7696952737.767837,-5.515011147716287,2021-01-12,1636502400.0
2021-11-09,19579859185.837364,7484314709.083594,-5.606391961734988,2021-01-12,1636416000.0
2021-11-08,19085385788.846294,7519517934.221419,-5.38094580924814,2021-01-12,1636329600.0
2021-11-07,18938716794.626907,7535412190.763172,-5.272275956439257,2021-01-12,1636243200.0
2021-11-06,18754231252.20664,7537086665.005245,-5.222077546533632,2021-01-12,1636156800.0
2021-11-05,18936875615.13602,7630302393.164205,-5.300118445851391,2021-01-12,1636070400.0
2021-11-04,19081625318.140507,7577508405.550931,-5.3732876102961695,2021-01-12,1635984000.0
2021-11-03,18812785902.72838,7562776184.998856,-5.238996137036444,2021-01-12,1635897600.0
2021-11-02,18362684112.484837,7527617752.277936,-5.01147980647148,2021-01-12,1635811200.0
2021-11-01,18221182023.15563,7495162472.249881,-5.082923570716664,2021-01-12,1635724800.0
2021-10-31,18186625467.08292,7452874210.776735,-4.859110743986924,2021-01-12,1635638400.0
2021-10-30,18366838606.936745,7428947189.597062,-4.94027574392655,2021-01-12,1635552000.0
2021-10-29,18226229831.37913,7414196158.961819,-4.7942317968844845,2021-01-12,1635465600.0
2021-10-28,17684767730.41733,7333009614.773787,-4.471402811935661,2021-01-12,1635379200.0
2021-10-27,18100069237.02556,7301873721.775566,-4.7002834514108285,2021-01-12,1635292800.0
2021-10-26,18418900355.026592,7324827085.963145,-4.786215212843133,2021-01-12,1635206400.0
2021-10-25,18148236845.05052,7333632261.433613,-4.656944648734493,2021-01-12,1635120000.0
2021-10-24,18367718013.295105,7485844409.514458,-4.7477178565431375,2021-01-12,1635033600.0
2021-10-23,18388011522.444595,7576473976.498488,-4.59201949495093,2021-01-12,1634947200.0
2021-10-22,18606892075.703358,7539882112.575814,-4.669529347429451,2021-01-12,1634860800.0
2021-10-21,18965212407.611862,7515178108.36192,-4.779869872771709,2021-01-12,1634774400.0
2021-10-20,18394505220.931396,7424764202.434296,-4.47105702047958,2021-01-12,1634688000.0
2021-10-19,18145215683.577793,7442877685.120094,-4.331748760937395,2021-01-12,1634601600.0
2021-10-18,18259882040.221397,7448283372.132386,-4.436782944681935,2021-01-12,1634515200.0
2021-10-17,18382665426.93605,7463320604.956587,-4.456394310378811,2021-01-12,1634428800.0
2021-10-16,17439736570.02651,6516765244.060456,-4.589855655234197,2021-01-12,1634342400.0
2021-10-15,15849660277.159481,5612251909.855549,-4.329625992302442,2021-01-12,1634256000.0
2021-10-14,15285616394.379799,5463425227.950424,-4.120301148728241,2021-01-12,1634169600.0
2021-10-13,14840735108.329716,5386494438.760129,-3.9333490643723152,2021-01-12,1634083200.0
2021-10-12,14972357357.392048,5401970429.512726,-3.9734822596474864,2021-01-12,1633996800.0
2021-10-11,14644882310.404526,5359583682.759663,-3.9201791234104557,2021-01-12,1633910400.0
2021-10-10,15326850268.988224,5460771452.370945,-4.315415499387527,2021-01-12,1633824000.0
2021-10-09,15195786592.218338,5449023320.280529,-4.3316600815285735,2021-01-12,1633737600.0
2021-10-08,15432084631.992167,5488376707.317144,-4.471829047435839,2021-01-12,1633651200.0
2021-10-07,15637333633.414114,5593532609.944061,-4.494278256104016,2021-01-12,1633564800.0
2021-10-06,15462303991.924465,5592668596.607985,-4.432893839923553,2021-01-12,1633478400.0
2021-10-05,15363593095.085768,5576971669.263428,-4.495581430684445,2021-01-12,1633392000.0
