PLATFORM,TOKEN,POSITION_ON_INPUT_DATE,POSITION_ON_INPUT_DATE_BILLIONS,TOKEN_%_CHANGE_ON_VAR_DATE,CONTRIBUTION_TO_VAR
AAVE,TUSD,-48773549.05,-0.048773549,0.170562557,0.008318941
AAVE,RAI,-6199844.501,-0.006199845,28.85243046,0.178880582
AAVE,GUSD,-2911591.14,-0.002911591,0.293206373,0.000853697
AAVE,YFI,-30753459.98,-0.03075346,5.766263768,0.177332562
AAVE,BAT,-4211688.29,-0.004211688,8.584188982,0.036153928
AAVE,MANA,-44252898.43,-0.044252898,3.946910423,0.174662226
AAVE,DPI,-41413693.81,-0.041413694,53.72053396,2.224765745
AAVE,UNI,-40949692.59,-0.040949693,85.28447308,3.492372955
AAVE,WBTC,-1290144791,-1.290144791,28.85243046,37.22381287
AAVE,REN,-21115344.29,-0.021115344,28.85243046,0.609229003
AAVE,BUSD,-3802403.067,-0.003802403,-0.214219363,-0.000814548
AAVE,LINK,-379466912.9,-0.379466913,32.60442721,12.37230134
AAVE,SUSD,-23416097.67,-0.023416098,28.85243046,0.67561133
AAVE,DAI,-414126935.3,-0.414126935,-0.51028544,-0.211322945
AAVE,AAVE,-239690512.5,-0.239690513,59.96969928,14.37416796
AAVE,FRAX,-9572195.767,-0.009572196,-0.50615181,-0.004844984
AAVE,XSUSHI,-78910542.15,-0.078910542,28.85243046,2.27676093
AAVE,PAX,-6921654.215,-0.006921654,28.85243046,0.199706547
AAVE,FEI,-19392516.96,-0.019392517,28.85243046,0.559521247
AAVE,MKR,-130315969.1,-0.130315969,41.32689244,5.385554037
AAVE,USDC,-558900193.3,-0.558900193,-0.138105552,-0.07718722
AAVE,BAL,-4269546.859,-0.004269547,34.01675666,0.145236137
AAVE,SNX,-6367115.579,-0.006367116,28.85243046,0.183706759
AAVE,WETH,-4992515941,-4.992515941,73.28175336,365.8603218
AAVE,AMPL,-12379890.36,-0.01237989,12.23428785,0.151459142
AAVE,RENFIL,-1728288.466,-0.001728288,-14.44613387,-0.024967087
AAVE,CRV,-29100135.73,-0.029100136,46.87834379,1.364166167
AAVE,USDT,-120174965.7,-0.120174966,0.066458824,0.007986687
AAVE,KNC,-891049.9455,-0.00089105,28.85243046,0.025708957
AAVE,ZRX,-12855089.78,-0.01285509,26.35979834,0.338857574
AAVE,ENJ,-21134257.03,-0.021134257,28.85243046,0.609774681
COMPOUND,AAVE,-2039742.206,-0.002039742,-2.12245604,-0.004329263
COMPOUND,BAT,-114199841,-0.114199841,4.148373068,0.473743545
COMPOUND,DAI,-846537966.1,-0.846537966,0.400226879,0.338807248
COMPOUND,ETH,-5580042903,-5.580042903,43.32132864,241.7348724
COMPOUND,LINK,-36415653.36,-0.036415653,22.80941692,0.83061982
COMPOUND,MKR,-2632852.549,-0.002632853,14.49077306,0.038152069
COMPOUND,REP,-10016.34635,-1.00E-05,-2.230387773,-2.23E-05
COMPOUND,SUSHI,-553879.4927,-0.000553879,-3.608131747,-0.00199847
COMPOUND,TUSD,-38613606.71,-0.038613607,-0.025011835,-0.000965797
COMPOUND,UNI,-120831081.1,-0.120831081,-10.15587867,-1.227145799
COMPOUND,USDC,-1074860908,-1.074860908,-0.159780754,-0.171742086
COMPOUND,USDT,-277186146.6,-0.277186147,0.580619892,0.16093979
COMPOUND,WBTC,-121121574.3,-0.121121574,-3.232317111,-0.391503337
COMPOUND,WBTC2,-1528197237,-1.528197237,-3.232317111,-4.939618077
COMPOUND,YFI,-731299.6352,-0.0007313,26.05794191,0.019056163
COMPOUND,ZRX,-91199366.1,-0.091199366,-2.571297458,-0.234500698
