,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
46,1639385636,288.835155279205556303,11618.806017298135,2021-12-13,580906.841564867500,180.0306664826825,2091741.3910271851,51999.18550854448,-2039742.2055186406,-0.0020397422055186405
44,1639281956,260.760106192085604442,12869.253277695789,2021-12-12,643425.603604580000,180.23594680589218,2319502.0491903317,46998.34462873554,-2272503.7045615963,-0.002272503704561596
42,1639178277,260.760106192085604442,12869.253277695789,2021-12-11,643425.603604580000,169.0613986582262,2175693.958814212,44084.46826710159,-2131609.4905471103,-0.0021316094905471103
41,1639126437,260.760106192085604442,12869.253277695789,2021-12-10,643425.603604580000,178.4253138751939,2296200.555412239,46526.20379345177,-2249674.3516187873,-0.002249674351618787
39,1639022757,233.229278058371967382,12869.253277695789,2021-12-09,643425.603604580000,200.8445175415287,2584718.9656785475,46842.82182819276,-2537876.143850355,-0.002537876143850355
37,1638919077,236.052357803203916787,12890.39355568723,2021-12-08,644482.556625357500,187.18431082971313,2412879.4340450894,44185.29791512158,-2368694.136129968,-0.0023686941361299677
36,1638867237,244.594432944286555256,15618.612073096505,2021-12-07,780885.625898352500,184.99892576039215,2889426.455391145,45249.70734166528,-2844176.7480494794,-0.0028441767480494795
34,1638763557,288.306184083149331154,16401.35254489337,2021-12-06,820020.395388397500,191.70554872723284,3144230.28948758,55269.89522111475,-3088960.394266465,-0.0030889603942664654
32,1638659877,288.306184083149331154,16401.35254489337,2021-12-05,820020.395388397500,201.67010875812514,3307662.551508998,58142.739499688774,-3249519.8120093094,-0.0032495198120093094
31,1638608037,294.534747509298394674,16507.646371851428,2021-12-04,825334.780636255000,226.170428387568,3733541.45159212,66615.0500192022,-3666926.4015729176,-0.0036669264015729178
29,1638504357,231.976165967903929373,16526.58314565343,2021-12-03,826281.564793110000,244.6210508699044,4042750.136378592,56746.253495840014,-3986003.882882752,-0.003986003882882752
27,1638400678,231.976165967903929373,16526.58314565343,2021-12-02,826281.564793110000,250.95922413420985,4147498.4838226936,58216.55862893387,-4089281.9251937596,-0.0040892819251937594
26,1638348838,231.976165967903929373,16526.58314565343,2021-12-01,826281.564793110000,256.9472639733981,4246460.322104523,59605.64115249182,-4186854.680952031,-0.004186854680952031
24,1638245158,144.438163450876607898,16522.337398514603,2021-11-30,826069.289662875000,249.4319706062917,4121199.1763335285,36027.495740305814,-4085171.680593223,-0.004085171680593223
22,1638141478,144.438163450876607898,16522.337398514603,2021-11-29,826069.289662875000,238.06022954686162,3933311.433741083,34384.98234644281,-3898926.45139464,-0.00389892645139464
21,1638089638,144.438163450876607898,16522.337398514603,2021-11-28,826069.289662875000,231.2831782873089,3821338.7062637247,33406.11750890056,-3787932.5887548244,-0.0037879325887548243
19,1637985958,144.419630218044461743,17267.34177633371,2021-11-27,863317.363124690000,232.21395268518572,4009717.686248487,33536.25317826499,-3976181.433070222,-0.003976181433070222
