,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1639541156,7217272.863776812473666237,114887230.69016433,2021-12-15,5571252458.73370603,1.0606472154152604,121854821.31829344,7654980.3658569995,-114199840.95243643,-0.11419984095243643
47,1639437476,7046928.564229629208209443,114887500.71630614,2021-12-14,5571265553.17246421,1.0286983362979534,118184580.84829405,7249163.690033546,-110935417.15826051,-0.11093541715826051
46,1639385636,7036601.297739326914977602,114894923.78143106,2021-12-13,5571625521.54823822,1.2013709005362634,138031418.0503432,8453568.037779735,-129577850.01256345,-0.12957785001256344
44,1639281956,7035468.303703613657449356,114922947.60419321,2021-12-12,5572984487.12281684,1.1419835692387954,131240117.89247963,8034389.204729865,-123205728.68774976,-0.12320572868774976
42,1639178277,6423170.957469681056819552,114209006.05615981,2021-12-11,5538363158.18156933,1.0865833556270976,124097605.04333764,6979310.652733923,-117118294.39060372,-0.11711829439060373
41,1639126437,6080493.130772884869195739,114234027.71458131,2021-12-10,5539576539.12186106,1.1547375102789337,131910316.75227033,7021373.499096841,-124888943.25317349,-0.12488894325317348
39,1639022757,6079533.994815851829885760,114400742.37850532,2021-12-09,5547661071.02078380,1.29597226675122,148260189.4182939,7878907.452052598,-140381281.9662413,-0.1403812819662413
37,1638919077,6086996.977154634471536317,114391756.80097659,2021-12-08,5547225331.37766335,1.3275410851230718,151859756.952703,8080738.57219272,-143779018.38051027,-0.14377901838051027
36,1638867237,6087813.873923231194580629,114286281.59400676,2021-12-07,5542110498.31365767,1.3578170240064256,155179858.75873458,8266137.316995472,-146913721.4417391,-0.14691372144173911
34,1638763557,6076099.606907369754271122,114298388.88782366,2021-12-06,5542697620.05069361,1.1683794324970709,133543886.74408491,7099189.810514108,-126444696.9335708,-0.1264446969335708
32,1638659877,6927626.704775227842255245,114601510.11526358,2021-12-05,5557396946.28150344,1.1212009409853134,128491320.97957145,7767261.580188973,-120724059.39938247,-0.12072405939938247
31,1638608037,8292566.937736387003821882,114628051.5767308,2021-12-04,5558684027.37458329,1.285098417967879,147308327.7359972,10656764.652577773,-136651563.08341944,-0.13665156308341944
29,1638504357,8291838.660463823267047785,114778131.21036625,2021-12-03,5565961872.98783751,1.4241524987645724,163461562.36677104,11808842.747652236,-151652719.6191188,-0.1516527196191188
27,1638400678,8067383.643975707053330250,115060687.19187145,2021-12-02,5579663924.09686149,1.4886708463969458,171287490.5889375,12009678.837486193,-159277811.7514513,-0.1592778117514513
26,1638348838,6467014.009297629867548722,115062227.48221956,2021-12-01,5579738617.74503642,1.460035902884115,167994983.18985987,9442072.638029084,-158552910.55183077,-0.15855291055183077
24,1638245158,6466065.385096974124837181,115073681.09821227,2021-11-30,5580294040.53551876,1.6155954190449122,185912512.03490686,10446545.615407547,-175465966.4194993,-0.1754659664194993
22,1638141478,6512364.601992432507409152,115165314.60528103,2021-11-29,5584737644.91602734,1.6365596497343426,188474906.9319641,10657873.131979069,-177817033.79998502,-0.177817033799985
21,1638089638,6513557.144877477898278836,115209606.13049269,2021-11-28,5586885483.86430907,1.7537863677064576,202053036.6604884,11423387.725963118,-190629648.93452528,-0.19062964893452528
19,1637985958,8189953.713736529283385493,116653177.62557517,2021-11-27,5656888922.82808541,1.3384999560363395,156140273.12333167,10962252.685776,-145178020.43755567,-0.14517802043755568
17,1637882278,9606005.869763958434546102,116860616.99808757,2021-11-26,5666948327.23016836,1.426280500738914,166676019.3286908,13700858.862027882,-152975160.4666629,-0.1529751604666629
16,1637830438,9770449.455376695445087150,117107428.12415382,2021-11-25,5678916994.98096300,1.1232128665145504,131536570.0334775,10974294.539909186,-120562275.49356832,-0.12056227549356832
14,1637726759,9769622.923124180235256192,117108661.92506641,2021-11-24,5678976825.96763260,1.0592436851606597,124046610.62174118,10348411.387720112,-113698199.23402107,-0.11369819923402107
12,1637623079,9782922.771753279987038083,117129759.06840278,2021-11-23,5679999894.51040159,1.0374420550395154,121515337.95420709,10149215.504620597,-111366122.4495865,-0.11136612244958649
11,1637571239,9788528.623208685903974991,117153066.51323216,2021-11-22,5681130147.70331363,1.0865135149549225,127288390.0850397,10635368.640639339,-116653021.44440037,-0.11665302144440037
9,1637467559,9786411.301018364493673308,116808695.48971692,2021-11-21,5664430485.78309516,1.1155221752305071,130302690.07852694,10916958.822212424,-119385731.25631452,-0.11938573125631452
7,1637363879,9768406.173083022209794286,116297666.59543304,2021-11-20,5639649046.04728108,1.1209808108602004,130367452.60129777,10950195.872714393,-119417256.72858337,-0.11941725672858336
6,1637312039,9773333.924816110863843384,116285060.57810517,2021-11-19,5639037739.59824497,0.9739530973345766,113256194.92378439,9518768.847359745,-103737426.07642464,-0.10373742607642464
4,1637208359,10095978.150865809228254058,116266871.79469347,2021-11-18,5638155706.81100590,1.0700149466354265,124407290.6188669,10802847.52233111,-113604443.0965358,-0.1136044430965358
2,1637104679,11285250.294024316125366694,117928661.65118852,2021-11-17,5718741258.12318927,1.0782247414896229,127153600.72306995,12168036.08092006,-114985564.6421499,-0.1149855646421499
0,1637001000,11280269.090397692504772596,117933133.22796007,2021-11-16,5718958099.30678397,1.1523750458108821,135903199.80619135,12999100.609806119,-122904099.19638523,-0.12290409919638523
99,1636949156,11285393.366647918507562006,117939025.21864364,2021-11-15,5719243820.94343134,1.1526610545751217,135943721.18408364,13008233.419295471,-122935487.76478817,-0.12293548776478816
97,1636845476,11285514.311035481213457868,117940993.72429144,2021-11-14,5719339280.13297308,1.1486850749475066,135477059.21557114,12963501.852192948,-122513557.36337818,-0.12251355736337818
96,1636793636,11285514.311035481213457868,117940993.72429144,2021-11-13,5719339280.13297308,1.173941568630649,138455835.1785522,13248534.373100627,-125207300.80545159,-0.1252073008054516
94,1636689956,11308447.893896476598763202,118010813.64754075,2021-11-12,5722725073.46034701,1.132080360910789,133597724.50548379,12802071.773063174,-120795652.73242062,-0.12079565273242063
92,1636586277,11670117.290896084516135392,118303410.15794936,2021-11-11,5736914022.20807305,1.0804043105763235,127815514.2905273,12608445.026015412,-115207069.26451188,-0.11520706926451188
91,1636534437,11609539.906933514679142699,118357291.97656871,2021-11-10,5739526925.42334609,1.1753825508469946,139115095.75476187,13645650.629971493,-125469445.12479039,-0.12546944512479039
89,1636430757,11605643.225302394182684556,118461104.52863538,2021-11-09,5744561130.98713604,1.2463991515946111,147649820.18145168,14465263.86972665,-133184556.31172502,-0.13318455631172502
87,1636327077,11369181.089022964036328918,118474001.25663817,2021-11-08,5745186534.93467225,0.9979044615220827,118225734.42837206,11345356.532588506,-106880377.89578354,-0.10688037789578354
86,1636275237,11432383.214129670026950704,119589985.71147636,2021-11-07,5799304221.47455644,1.0134783543776886,121201861.91891836,11586472.926471248,-109615388.99244711,-0.1096153889924471
84,1636171557,10985505.066070764376264003,118590938.74364352,2021-11-06,5750857210.93654752,0.9717732196459344,115243498.36374426,10675419.627492312,-104568078.73625195,-0.10456807873625196
82,1636067877,10878509.179789414067385390,118340694.29181749,2021-11-05,5738722050.14326404,0.9807570631429126,116063471.78393616,10669174.714543479,-105394297.06939268,-0.10539429706939268
81,1636016037,11290724.917002643987118924,117843526.9700966,2021-11-04,5714612802.78043629,0.9700023273944646,114308495.42936607,10952029.447463239,-103356465.98190282,-0.10335646598190282
79,1635912357,8642013.094590110942251368,114495873.16669229,2021-11-03,5552274269.84544224,1.0337159748994937,118356213.1524761,8933386.99116841,-109422826.16130769,-0.10942282616130769
77,1635808678,9053941.086306064237227046,116235633.53988539,2021-11-02,5636640863.05630317,1.0263388963834477,119297151.84775682,9292411.902440118,-110004739.9453167,-0.1100047399453167
76,1635756838,13738470.123360924524770731,117600326.76761767,2021-11-01,5702819240.36374385,0.9884948552780006,116247317.98880182,13580407.036332794,-102666910.95246902,-0.10266691095246902
74,1635653158,13892671.483852426004510729,117774605.32781385,2021-10-31,5711270569.99511098,1.2415404691728962,146221938.7553467,17248313.872127052,-128973624.88321963,-0.12897362488321962
72,1635549478,13890563.299680108114811169,117809755.09768227,2021-10-30,5712975095.73419497,0.8411262620226674,99092878.93511938,11683717.58564918,-87409161.3494702,-0.0874091613494702
71,1635497638,13889411.293567858177599053,117815396.61788894,2021-10-29,5713248671.24936358,0.6962925194288568,82033979.33857991,9671093.182981981,-72362886.15559793,-0.07236288615559792
69,1635393958,12885024.249511172549642984,117857570.24077855,2021-10-28,5715293806.28139413,0.6407412812890129,75516210.56568629,8255966.947071791,-67260243.6186145,-0.06726024361861449
67,1635290278,12792145.203695818534040282,118042962.28143126,2021-10-27,5724284064.43377018,0.7104012380218568,83857866.54449612,9087555.78966087,-74770310.75483525,-0.07477031075483524
66,1635238438,12783908.767779882779604830,118046269.50215127,2021-10-26,5724444442.23604762,0.705026344901479,83225729.91635664,9012992.472101819,-74212737.44425482,-0.07421273744425481
64,1635134759,13221064.437297424348578383,118057236.8185951,2021-10-25,5724976282.79253379,0.6903890740143142,81505426.40787846,9127678.434349347,-72377747.97352912,-0.07237774797352911
62,1635031079,14449257.289749384677225654,117911477.63517033,2021-10-24,5717907949.74838236,0.7156342246209054,84381488.87135035,10340383.036897762,-74041105.83445258,-0.07404110583445259
61,1634979239,11042316.355555082991240492,113966855.43108898,2021-10-23,5526620493.15948318,0.7009561567014525,79885768.9743262,7740179.633671481,-72145589.34065472,-0.07214558934065472
59,1634875559,10255566.462133156278067075,113694446.53769019,2021-10-22,5513410507.08869109,0.6931098282352407,78802738.31103921,7108233.909024208,-71694504.402015,-0.071694504402015
57,1634771879,10128688.386337691735287511,114314431.49733016,2021-10-21,5543475577.94140607,0.7131349952644187,81521621.56450325,7223122.144425702,-74298499.42007755,-0.07429849942007755
56,1634720039,12424233.594641404560911981,115218865.15650071,2021-10-20,5587334483.90637412,0.6812510747478723,78492975.71909629,8464022.489268078,-70028953.22982821,-0.0700289532298282
54,1634616359,13359620.873060152295583988,115223075.52864245,2021-10-19,5587538658.43478672,0.6805511416550345,78415195.59602189,9091905.237239517,-69323290.35878238,-0.06932329035878237
52,1634512679,9919787.438277127115814091,115274732.73417428,2021-10-18,5590043682.98452718,0.6916275688366875,79727183.14923587,6860798.469312323,-72866384.67992355,-0.07286638467992355
50,1634409000,10088410.442087469902422660,115438896.44568016,2021-10-17,5598004510.97095883,0.7201364097094805,83131752.4272166,7265031.675440501,-75866720.7517761,-0.0758667207517761
149,1634357169,9150629.281810205839067754,115337360.60719734,2021-10-16,5593080710.59385380,0.6948881704166997,80146567.4930265,6358664.039798574,-73787903.45322792,-0.07378790345322792
147,1634253489,9022682.029892930914639606,115319646.89103286,2021-10-15,5592221715.35006652,0.7028037117569434,81047075.87351796,6341174.420611426,-74705901.45290653,-0.07470590145290654
145,1634149808,9266437.948055234959307746,115710351.09850048,2021-10-14,5611168222.83758572,0.7046751206239527,81538205.61777574,6529828.278800195,-75008377.33897555,-0.07500837733897554
144,1634097968,9223381.672952853619429759,115711207.3674902,2021-10-13,5611209746.08334253,0.695564257046633,80484579.98453721,6415454.620804981,-74069125.36373223,-0.07406912536373224
142,1633994288,10342923.880246000760430525,117405181.71684057,2021-10-12,5693356027.28583775,0.7039157328388314,82643354.527286,7280546.842859614,-75362807.68442638,-0.07536280768442638
140,1633890607,8334130.952024057061311955,117421954.3545075,2021-10-11,5694169386.59722461,0.7156611554676237,84034331.53061341,5964413.786944022,-78069917.74366939,-0.07806991774366939
139,1633838767,7424295.098078309522773488,117493549.05933197,2021-10-10,5697641244.80887763,0.7583065950390114,89096133.12623107,5629891.936388587,-83466241.18984249,-0.08346624118984249
137,1633735087,7423290.521932781719695049,117497924.93132201,2021-10-09,5697853444.95886089,0.7443511286811086,87459713.04031771,5525534.678528441,-81934178.36178927,-0.08193417836178928
135,1633631406,7422409.825005530232148294,117536395.78603114,2021-10-08,5699719020.81616256,0.7315967577902647,85989246.07941371,5430210.96296465,-80559035.11644906,-0.08055903511644906
134,1633579566,7421801.532099334260690674,117575835.48781812,2021-10-07,5701631579.19390806,0.7358380876485006,86516777.9390308,5461244.246286684,-81055533.6927441,-0.08105553369274411
132,1633475886,8337029.761905546746541501,117913615.40616058,2021-10-06,5718011617.16045364,0.7424333883780245,87543005.02189903,6189689.255139969,-81353315.76675907,-0.08135331576675907
130,1633372205,11591326.439969823153907569,121596108.54960778,2021-10-05,5896587589.93352461,0.7057092498134019,85811498.54477268,8180106.286293354,-77631392.25847933,-0.07763139225847933
