,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1639541156,3524146136.462582896035663020,4368451527.621322,2021-12-15,202662290396.50063675,1.0026442741189496,4380002910.935697,3533464944.882627,-846537966.0530696,-0.8465379660530696
47,1639437476,3703753860.828121334783829466,4577465080.581305,2021-12-14,212358899160.25760704,0.9988379283201336,4572145738.045584,3699449833.3572574,-872695904.6883264,-0.8726959046883264
46,1639385636,3705182470.205318258937721758,4575924185.168568,2021-12-13,212287413556.80469018,0.9989776215711985,4571245858.9898205,3701394371.573007,-869851487.4168134,-0.8698514874168134
44,1639281956,3707911944.632598497815687980,4580830562.641703,2021-12-12,212515031441.53297072,0.9995493085498041,4578766021.472323,3706240820.4210734,-872525201.05125,-0.87252520105125
42,1639178277,3715259128.469209357301813601,4597373004.729646,2021-12-11,213282472531.60720839,0.995229215210866,4575439927.528707,3697534426.7314167,-877905500.7972898,-0.8779055007972898
41,1639126437,3717647912.924563545250330068,4608829523.430058,2021-12-10,213813966198.21078466,0.9980080078395094,4599648771.150347,3710242387.4265532,-889406383.7237935,-0.8894063837237935
39,1639022757,3725893650.011703359077347088,4598937009.804736,2021-12-09,213355030244.26700020,1.0013557667104835,4605172095.50624,3730945092.589191,-874227002.9170489,-0.8742270029170489
37,1638919077,3738985907.689010557691178953,4626618392.33423,2021-12-08,214639231831.32771999,1.0029613747099249,4640319543.033762,3750058445.9968057,-890261097.0369563,-0.8902610970369563
36,1638867237,3738009802.427968836335385604,4652930111.031503,2021-12-07,215859891633.03122033,1.0010238609330975,4657694064.396621,3741837004.63221,-915857059.764411,-0.915857059764411
34,1638763557,3750976099.409338487499684595,4646119477.893761,2021-12-06,215543931045.61987674,1.0004759565933234,4648330829.092632,3752761401.2152505,-895569427.8773818,-0.8955694278773818
32,1638659877,3769136839.957755052295342270,4707993392.302175,2021-12-05,218414401080.71585933,0.9995927005396948,4706075829.13437,3767601672.5570235,-938474156.5773463,-0.9384741565773463
31,1638608037,3763458042.843617951056508764,4723217159.706998,2021-12-04,219120665886.72710035,0.999703768225611,4721817992.706953,3762343186.9897475,-959474805.7172055,-0.9594748057172056
29,1638504357,3766008309.067217743620300856,4729960373.289177,2021-12-03,219433498729.33881900,0.9975399468525554,4718324419.385579,3756743728.4731946,-961580690.9123845,-0.9615806909123845
27,1638400678,3756410459.725432961658919725,4738920085.16797,2021-12-02,219849159912.52187779,1.001319489566333,4745173040.776035,3761367004.133905,-983806036.6421304,-0.9838060366421304
26,1638348838,3743446233.493353804072786743,4729054505.48176,2021-12-01,219391473484.58407685,0.9980027717628793,4719609504.288529,3735969716.9716763,-983639787.316853,-0.9836397873168531
24,1638245158,3740457529.097948208005668756,4733644954.864557,2021-11-30,219604434754.72394456,0.9986096774223755,4727063661.40935,3735257086.544598,-991806574.8647523,-0.9918065748647523
22,1638141478,3402266600.864687009912048898,4402483903.691998,2021-11-29,204241128856.42369207,1.001637828844,4409694418.81471,3407838931.238561,-1001855487.5761485,-1.0018554875761485
21,1638089638,3402589686.014853537023356515,4401288647.781417,2021-11-28,204185678246.77021035,0.9987986677496729,4396001237.785838,3398502045.2904124,-997499192.4954257,-0.9974991924954257
19,1637985958,3411279766.133083211543903035,4409975356.387127,2021-11-27,204588674194.16915377,1.0001721286924639,4410734439.67902,3411866945.258856,-998867494.4201641,-0.9988674944201641
17,1637882278,3412656874.684939369160672490,4421468742.931707,2021-11-26,205121878242.97430220,0.9979605899493754,4412451555.13885,3405697067.9553742,-1006754487.183476,-1.006754487183476
16,1637830438,3410710433.541127638569962370,4420833265.683788,2021-11-25,205092397024.34486106,1.0022449718047552,4430757911.718773,3418367382.2986116,-1012390529.4201612,-1.0123905294201612
14,1637726759,3409614209.479640054725221694,4430801936.064807,2021-11-24,205554866061.45127385,1.0009342580306821,4434941448.355937,3412799668.936374,-1022141779.4195628,-1.0221417794195629
12,1637623079,3421935181.691261795812254734,4434939583.634306,2021-11-23,205746820837.18497106,0.9998445390092198,4434250123.532583,3421403204.2575293,-1012846919.275054,-1.012846919275054
11,1637571239,3413586177.014456033299150764,4435380807.237269,2021-11-22,205767290192.37601493,1.004509532449662,4455382300.914114,3428979854.6494207,-1026402446.2646933,-1.0264024462646932
9,1637467559,3471219123.763725940291078174,4560652259.552414,2021-11-21,211578914583.06882530,1.0066940349166575,4591181425.020591,3494455585.781569,-1096725839.2390218,-1.0967258392390218
7,1637363879,3490064211.292214274558574245,4539333121.499619,2021-11-20,210589871825.07090564,1.006266999854717,4567781121.512568,3511936443.197335,-1055844678.3152337,-1.0558446783152338
6,1637312039,3409147308.963304774902819934,4435342283.468288,2021-11-19,205765502988.09844293,0.9993381522388782,4432406762.108166,3406890972.449534,-1025515789.6586318,-1.0255157896586318
4,1637208359,3463907191.064730331940145330,4453668932.394935,2021-11-18,206615717445.84915075,1.0076808696516855,4487876982.936421,3490513010.684834,-997363972.2515874,-0.9973639722515873
2,1637104679,3503501650.118025741359384381,4449445440.318882,2021-11-17,206419780150.40424168,1.002397544398201,4460113183.30942,3511901450.8733535,-948211732.4360662,-0.9482117324360662
0,1637001000,3519909251.950834871335874965,4437513901.587402,2021-11-16,205866249236.30641145,1.0031440842988035,4451465819.371106,3530976143.3631063,-920489676.0079999,-0.9204896760079999
99,1636949169,3522488797.731556701635738882,4438495977.658282,2021-11-15,205911809953.78483522,1.0083551412462424,4475580238.472496,3551919689.1749105,-923660549.2975855,-0.9236605492975855
97,1636845489,3516746905.441955678876914441,4431505424.461995,2021-11-14,205587502470.24284437,1.0031728200177052,4445565793.581298,3527904910.420746,-917660883.160552,-0.917660883160552
95,1636741808,3520329868.115428880761037271,4384945678.853729,2021-11-13,203427491165.18717913,1.0076412807183253,4418452279.720458,3547229696.8588047,-871222582.8616533,-0.8712225828616533
94,1636689968,3507627437.900178323808835067,4366164894.365888,2021-11-12,202556208337.46593107,1.0011671074263095,4371260677.838594,3511721215.9316783,-859539461.9069161,-0.8595394619069161
92,1636586288,3470824578.523320742347196820,4332317160.718679,2021-11-11,200985935854.80228381,1.0044213662836692,4351471921.743242,3486170365.291335,-865301556.4519072,-0.8653015564519072
90,1636482607,3443373898.435089612752323787,4282175830.37189,2021-11-10,198659766779.24860614,1.0011499772523627,4287100235.1674347,3447333700.0896697,-839766535.077765,-0.839766535077765
89,1636430767,3306112118.769211408480730053,4117417640.259154,2021-11-09,191016263822.03237355,1.0009555678702178,4121352112.2644534,3309271333.285245,-812080778.9792085,-0.8120807789792085
87,1636327087,3308127628.408042121457072183,4121091507.985636,2021-11-08,191186702807.87325920,0.9990482208224771,4117169138.899669,3304979021.4147353,-812190117.4849339,-0.8121901174849339
85,1636223406,3248761854.938270449430996045,4006220397.253511,2021-11-07,185857573652.11518191,1.0032716119624403,4019327195.829338,3259390543.086006,-759936652.7433319,-0.7599366527433319
84,1636171566,3217247435.806933768555702297,3964336141.0104203,2021-11-06,183914468813.22487434,1.0034590647089807,3978049036.250326,3228376102.872192,-749672933.3781343,-0.7496729333781342
82,1636067886,3202657093.334680232193189099,3936384720.491792,2021-11-05,182617739556.57104234,1.0046473171927044,3954678348.8804326,3217540856.706872,-737137492.1735606,-0.7371374921735606
80,1635964205,3141440058.906809885625893577,3899227098.313337,2021-11-04,180893913901.47120204,1.0008365287475294,3902488913.8742213,3144067963.8247256,-758420950.0494957,-0.7584209500494957
79,1635912365,3139345183.876308060776127860,3870920126.903645,2021-11-03,179580689839.39721318,1.0026641355292252,3881232782.744522,3147708824.919174,-733523957.8253479,-0.7335239578253478
77,1635808685,3148539576.571255552180591570,3872778385.5447383,2021-11-02,179666898636.71859988,1.0016144925483819,3879030957.3897347,3153622870.2559147,-725408087.13382,-0.7254080871338201
75,1635705004,3161921537.033276832689512761,3812143676.3209586,2021-11-01,176853918116.93514440,1.0000181937077748,3812213033.349001,3161979064.10973,-650233969.2392712,-0.6502339692392711
74,1635653164,3109045346.517308756244479714,3817730875.281234,2021-10-31,177113120841.52321918,1.00400477700595,3833020036.105465,3121496379.8314967,-711523656.2739682,-0.7115236562739682
72,1635549484,3074429825.832957180845464069,3811248479.2222757,2021-10-30,176812387910.35546155,0.999750351320583,3810297006.072508,3073662298.486977,-736634707.5855308,-0.7366347075855307
70,1635445803,3029644285.547480502422456212,3782610582.4498982,2021-10-29,175483811476.50208414,0.9990111853587044,3778870281.723652,3026648528.920012,-752221752.8036399,-0.7522217528036399
69,1635393963,3129432561.330914947035141646,3889421178.3855143,2021-10-28,180438995223.89136329,0.9991250560723848,3886018152.9435477,3126694483.314496,-759323669.6290517,-0.7593236696290517
67,1635290283,3112719116.213705332910034958,3910405971.541328,2021-10-27,181412526970.22383958,1.0000258586437472,3910507089.3362527,3112799606.9084153,-797707482.4278374,-0.7977074824278374
65,1635186602,3103692178.622957974597943340,3903424780.1972747,2021-10-26,181088653804.06051527,1.004967109971996,3922813520.3479285,3119108558.9934015,-803704961.354527,-0.803704961354527
64,1635134762,3108005929.124611490193683889,3910736169.953606,2021-10-25,181427845617.13901793,1.0050753104771077,3930584370.210176,3123780024.1796103,-806804346.0305657,-0.8068043460305657
62,1635031082,3160936962.482254814861633626,3974874954.2234306,2021-10-24,184403388058.47805940,1.0064532927914562,4000525986.1124606,3181335414.19649,-819190571.9159708,-0.8191905719159708
60,1634927401,3193767073.972205655248800604,4028589994.0213265,2021-10-23,186895349552.23606407,1.005648943463435,4051347271.134913,3211808483.608455,-839538787.5264578,-0.8395387875264578
59,1634875561,3179700724.181353637467571502,4029422913.4903984,2021-10-22,186933990559.52453194,1.0008728606601476,4032940038.2346816,3182476159.854534,-850463878.3801475,-0.8504638783801475
57,1634771881,3144035682.100674748516143615,4069352057.332098,2021-10-21,188786393337.34279658,1.000344344719418,4070753317.224493,3145118314.1854677,-925635003.0390253,-0.9256350030390254
55,1634668200,3141598348.061911104372427822,4070210878.660191,2021-10-20,188826235990.12079518,0.9998352797017792,4069540432.3104367,3141080863.0451293,-928459569.2653074,-0.9284595692653074
54,1634616360,3149891694.188327771138891673,4086933488.4696107,2021-10-19,189602035465.96604857,1.0008396847244365,4090365224.089667,3152536610.127568,-937828613.9620991,-0.937828613962099
52,1634512680,3153775894.304761795851452896,4128346187.9210176,2021-10-18,191523263724.82551168,1.0047036120874975,4147764326.951897,3168610032.7224727,-979154294.2294245,-0.9791542942294245
50,1634409000,3143664132.886207389787197200,4129656752.2824874,2021-10-17,191584063752.82821980,1.0028508267767997,4141429688.330886,3152626174.773504,-988803513.5573821,-0.988803513557382
149,1634357156,2797162129.075855115272170620,3659637672.9151573,2021-10-16,169778821654.49011243,1.0048906157272426,3677535554.4743257,2810841974.1759615,-866693580.2983642,-0.8666935802983642
147,1634253476,2107220652.594447751479548404,2712345486.1345577,2021-10-15,125831806783.47889278,1.001963755839577,2717671870.421905,2111358719.456258,-606313150.965647,-0.606313150965647
146,1634201636,2092048692.625116234142968845,2692303974.2857766,2021-10-14,124902035978.28601168,1.00481832839858,2705276378.982688,2102128870.2520049,-603147508.7306831,-0.6031475087306831
144,1634097956,2080401372.614639752083488416,2652545309.283182,2021-10-13,123057542097.19663745,1.0020147524620744,2657889531.4758244,2084592866.4022188,-573296665.0736055,-0.5732966650736055
142,1633994277,2073251124.920480852414932198,2639315300.878789,2021-10-12,122443772254.89756108,1.0073081651886058,2658603853.082426,2088402786.618862,-570201066.4635642,-0.5702010664635642
141,1633942437,2063928295.253431503680812787,2619485372.7840166,2021-10-11,121523817295.87508955,1.0012734267098873,2622821095.4238787,2066556556.6719,-556264538.7519786,-0.5562645387519787
139,1633838757,2063475124.051926966054562794,2657556262.9319205,2021-10-10,123290011505.88825303,1.0029879944841962,2665497026.387002,2069640776.3408697,-595856250.0461323,-0.5958562500461323
137,1633735077,1999636231.816075159788201122,2558925289.7200394,2021-10-09,118714298851.46858450,1.0018395314143607,2563632513.177481,2003314625.4817946,-560317887.6956866,-0.5603178876956866
136,1633683237,1971691450.712653196037832071,2508839576.5233216,2021-10-08,116390709980.58185111,1.0010843509685718,2511560039.148116,1973829456.2469587,-537730582.9011574,-0.5377305829011574
134,1633579557,2059596760.459370059290379139,2606140617.8996577,2021-10-07,120904724106.32180009,1.0023560797793938,2612280893.1117477,2064449334.7403934,-547831558.3713543,-0.5478315583713543
