,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1641355569,52118.211680460957409790,1392612.7614295748,2022-01-05,69449074.287563902832,3794.908130100449,5284837490.43073,197783825.23247746,-5087053665.198253,-5.087053665198253
47,1641251889,52139.738330935136803780,1401322.7172776833,2022-01-04,69883436.507622650859,3769.4049401148714,5282152773.2016945,196535787.2409236,-5085616985.960771,-5.085616985960771
45,1641148208,51147.973479596047550003,1401742.5440859154,2022-01-03,69904373.112542790556,3835.3959914939574,5376237734.693662,196172732.4566819,-5180065002.2369795,-5.180065002236979
44,1641096368,51178.629751416825090901,1407467.0977592077,2022-01-02,70189854.449731967846,3780.315874327848,5320670212.253279,193471386.47562853,-5127198825.77765,-5.12719882577765
42,1640992688,52252.887488406670794567,1443135.1264954961,2022-01-01,71968605.618760910766,3686.4025423019352,5319976999.198222,192625177.2798793,-5127351821.918343,-5.127351821918342
40,1640889007,51958.239631620142726214,1452948.2243290227,2021-12-31,72457981.114452990090,3714.945456115339,5397623403.941953,193022026.2272392,-5204601377.714713,-5.204601377714713
39,1640837167,52391.560361820598051783,1458099.8855831414,2021-12-30,72714892.522312254222,3644.405516878227,5313907267.178712,190936091.62047765,-5122971175.558234,-5.122971175558234
37,1640733487,52567.944182439838193859,1468701.9502985263,2021-12-29,73243613.499466378868,3807.3603674991996,5591877597.235389,200145107.2811316,-5391732489.954257,-5.391732489954257
35,1640629806,50802.026073161863266220,1465473.850461404,2021-12-28,73082629.375519507273,4045.051350119327,5927916977.373471,205496804.1560406,-5722420173.217431,-5.722420173217431
34,1640577966,46356.321145029498276353,1471770.566007505,2021-12-27,73396644.209966299057,4075.03161894955,5997511592.319859,188903474.40417483,-5808608117.915684,-5.808608117915684
32,1640474286,42265.177875808727623619,1478400.2884926135,2021-12-26,73727265.975130651591,4110.571870853741,6077070639.739792,173734051.29292923,-5903336588.446862,-5.903336588446862
30,1640370605,41901.703937673203197021,1476179.4265152107,2021-12-25,73616512.424163067273,4055.1173669313243,5986080829.168553,169916327.34167328,-5816164501.82688,-5.81616450182688
29,1640318765,41905.663279700982252769,1479104.529355801,2021-12-24,73762386.201929128480,4113.529931874606,6084340753.876389,172380200.21610853,-5911960553.66028,-5.91196055366028
27,1640215085,49276.973268546907836628,1480461.8082182058,2021-12-23,73830073.187970622537,3992.5945766373156,5910883786.410683,196742976.22510237,-5714140810.18558,-5.71414081018558
