,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1639541156,369350.621929751464214832,2344607.1778349024,2021-12-15,116948562.48739658,18.435910639931006,43224968.41630509,6809315.060699838,-36415653.35560525,-0.03641565335560525
47,1639437476,369340.849850180973277436,2345987.3450985914,2021-12-14,117017404.96941512,17.719170631625975,41568950.06743715,6544413.539725107,-35024536.52771204,-0.03502453652771204
46,1639385636,369294.410110521267881232,2345664.505361073,2021-12-13,117001301.78438116,20.450577384803857,47970193.48567429,7552283.911740706,-40417909.57393359,-0.04041790957393358
44,1639281956,369229.028759324433067180,2346406.166703942,2021-12-12,117038295.71185908,19.8931133989622,46677323.95426573,7345114.939297916,-39332209.014967814,-0.03933220901496781
42,1639178277,377493.306075032424954067,2344958.1142930062,2021-12-11,116966067.131538120000,18.573056431034924,43553039.38517725,7011204.476069516,-36541834.90910773,-0.03654183490910773
41,1639126437,369867.342710023793842414,2350108.9616919677,2021-12-10,117222990.42538248,20.41964157739341,47988382.66557016,7552558.5693216175,-40435824.096248545,-0.040435824096248546
39,1639022757,369039.131640925885169151,2351241.2316373414,2021-12-09,117279467.83605962,22.745243320763482,53479553.91940294,8393884.844056122,-45085669.07534682,-0.04508566907534682
37,1638919077,369035.496492214691589246,2353387.95471789,2021-12-08,117386545.97720926,20.805377625976657,48963125.09833055,7677922.861910311,-41285202.23642024,-0.04128520223642024
36,1638867237,369135.821762497086400516,2370481.832048729,2021-12-07,118239185.34472307,19.821174458596452,46985733.943971194,7316705.522071818,-39669028.42189938,-0.03966902842189938
34,1638763557,369062.136630784304977965,2378669.995571398,2021-12-06,118647609.39223120,19.373770156945657,46083805.77342321,7150125.008716089,-38933680.76470712,-0.038933680764707115
32,1638659877,369002.222924748889229316,2411890.581152838,2021-12-05,120304645.91650158,20.537634151279672,49534526.368634306,7578432.655437437,-41956093.713196866,-0.04195609371319687
31,1638608037,368966.371953752886089926,2448140.759097789,2021-12-04,122112797.934738205000,23.336541648949257,57131138.787175804,8610399.106160456,-48520739.68101535,-0.04852073968101535
29,1638504357,361078.427604987946788926,2459464.709163033,2021-12-03,122677634.42177495,24.540953928891525,60357610.117304586,8861209.056570606,-51496401.06073398,-0.051496401060733984
27,1638400678,341046.993889808513133993,2422249.837260442,2021-12-02,120821363.65142798,25.384330794438775,61487191.13579454,8657249.709347837,-52829941.426446706,-0.0528299414264467
26,1638348838,342231.444863218124415802,2385617.6520180753,2021-12-01,118994157.18146278,25.33925564958578,60449775.56665058,8671890.072716204,-51777885.49393437,-0.05177788549393437
24,1638245158,342160.502955735931785371,2398852.23682608,2021-11-30,119654295.76802248,24.974293202199757,59909639.11124725,8545216.723028684,-51364422.38821857,-0.05136442238821857
22,1638141478,342103.459330301738597540,2392387.165503243,2021-11-29,119331819.23347460,24.784495494883156,59294108.92543141,8478861.646555806,-50815247.278875604,-0.050815247278875604
21,1638089638,342067.448137166895250734,2392953.9790477725,2021-11-28,119360091.785848315000,23.971030169804372,57361572.026707575,8199709.119404019,-49161862.90730356,-0.04916186290730356
19,1637985958,382351.573931962717580771,2376151.6217431272,2021-11-27,118521993.382092535000,23.904530218454966,56800788.24558936,9139934.753130425,-47660853.49245894,-0.04766085349245894
17,1637882278,382287.127501221642096642,3264488.6110265837,2021-11-26,162832074.35566424,26.353795797103132,86031666.23696342,10074716.894028325,-75956949.3429351,-0.0759569493429351
