,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
36,1640733477,9.212419751420901995,1597.889980537457,2021-12-29,79892.927587315000,2508.6879303647843,4008607.308225138,23111.08623984376,-3985496.2219852945,-0.0039854962219852946
35,1640681637,9.211701327032673466,1581.667099666398,2021-12-28,79081.799498100000,2680.611642101846,4239835.241295207,24692.993820808806,-4215142.247474398,-0.0042151422474743985
33,1640577957,9.210724736775477236,1678.6833875233751,2021-12-27,83932.518480605000,2692.117289480463,4519212.57111531,24796.351312518644,-4494416.219802791,-0.004494416219802792
31,1640474277,9.210724736775477236,1678.6833875233751,2021-12-26,83932.518480605000,2701.440143834723,4534862.691844107,24882.221557736782,-4509980.47028637,-0.00450998047028637
30,1640422437,9.210263681593316380,1689.4407392721073,2021-12-25,84470.375488760000,2569.4981301703283,4341014.8205932565,23665.755308229705,-4317349.065285027,-0.004317349065285027
28,1640318757,9.208696025693413160,1599.347961216581,2021-12-24,79965.825187425000,2672.0208541377665,4273491.105393425,24605.827820068367,-4248885.277573356,-0.004248885277573357
26,1640215078,9.208696025693413160,1599.347961216581,2021-12-23,79965.825187425000,2454.895528919873,3926232.159177699,22606.38670065696,-3903625.7724770424,-0.0039036257724770424
25,1640163238,9.213941422146795029,1600.1103720664894,2021-12-22,80003.944980130000,2433.08675430748,3893207.351704989,22418.3188291904,-3870789.0328757986,-0.003870789032875799
23,1640059558,6.921034760537382554,1176.4884365665728,2021-12-21,58823.264814710000,2355.9178307418792,2771710.085368825,16305.389199534375,-2755404.6961692907,-0.0027554046961692905
21,1639955878,6.921034760537382554,1176.4884365665728,2021-12-20,58823.264814710000,2386.998588819333,2808276.2378466725,16520.500206572284,-2791755.7376401,-0.0027917557376401
20,1639904038,6.921034760537382554,1176.4884365665728,2021-12-19,58823.264814710000,2476.5984767707287,2913689.4699391504,17140.62414562415,-2896548.845793526,-0.002896548845793526
18,1639800358,0.05357777785870303500,915.9406480485464,2021-12-18,45796.131623660000,2373.304823754037,2173806.358286014,127.15639863808218,-2173679.2018873757,-0.0021736792018873757
16,1639696678,0.05357777785870303500,915.9406480485464,2021-12-17,45796.131623660000,2329.3749181831417,2133569.172108697,124.80273191605094,-2133444.369376781,-0.002133444369376781
15,1639644838,0.05357777785870303500,915.9406480485464,2021-12-16,45796.131623660000,2375.8041119403742,2176095.557927068,127.29030494533464,-2175968.2676221225,-0.0021759682676221227
13,1639541159,5.091145579652257101,1176.4484943416717,2021-12-15,58821.267742746000,2302.9244113081522,2709271.9562661564,11724.523436904776,-2697547.4328292515,-0.0026975474328292514
11,1639437479,5.091145579652257101,1176.4484943416717,2021-12-14,58821.267742746000,2231.924124399022,2625743.775634083,11363.050640053314,-2614380.72499403,-0.00261438072499403
10,1639385639,5.091145579652257101,1176.4484943416717,2021-12-13,58821.267742746000,2468.2218654513467,2903735.897311429,12566.07683989367,-2891169.8204715354,-0.0028911698204715356
8,1639281959,100.418596541585487995,1176.4385084309395,2021-12-12,58820.768457030000,2446.8936989260437,2878619.973453619,245713.6311326021,-2632906.342321017,-0.002632906342321017
6,1639178279,200.694048795582580292,741.2787711444713,2021-12-11,37063.209549095000,2354.2739861295117,1745173.3273754804,472488.77825044683,-1272684.5491250337,-0.0012726845491250337
5,1639126439,200.694048795582580292,741.2787711444713,2021-12-10,37063.209549095000,2529.509951127668,1875072.0281696294,507657.59356052784,-1367414.4346091016,-0.0013674144346091017
3,1639022759,200.541586316546336205,653.1955397817848,2021-12-09,32659.134606120000,2723.3450667555308,1778876.8508914395,546143.9397744951,-1232732.9111169444,-0.0012327329111169443
1,1638919079,200.541586316546336205,653.1955397817848,2021-12-08,32659.134606120000,2608.8080614888863,1704061.7899113046,523174.50704637554,-1180887.2828649292,-0.0011808872828649292
0,1638867239,200.541586316546336205,653.1955397817848,2021-12-07,32659.134606120000,2608.4090170594923,1703801.1358698497,523094.48204349406,-1180706.6538263557,-0.0011807066538263558
82,1638556208,200.344774473508077017,653.2791168132559,2021-12-04,32663.313375500000,2777.166797083999,1814265.0724421334,556390.8556371086,-1257874.216805025,-0.001257874216805025
81,1638504368,200.225703914986059771,543.4145395770342,2021-12-03,27170.192559640000,2963.979933451468,1610669.790852098,593464.9685652136,-1017204.8222868844,-0.0010172048222868845
79,1638400688,200.225703914986059771,543.4145395770342,2021-12-02,27170.192559640000,2972.367071316758,1615227.4835135338,595144.2891481234,-1020083.1943654105,-0.0010200831943654105
77,1638297007,200.162606504392761388,873.8758308138697,2021-12-01,43692.932130430000,3055.884475752712,2670463.585119608,611673.8018429728,-2058789.7832766352,-0.002058789783276635
76,1638245167,200.125265097317532353,1242.9127894318267,2021-11-30,62144.417133165000,3087.308056453096,3837254.668281469,617848.3432347602,-3219406.325046709,-0.003219406325046709
74,1638141487,150.056901225542572110,1227.6457653183004,2021-11-29,61381.080941792500,3074.512313079531,3774412.021571059,461351.79048048955,-3313060.2310905694,-0.0033130602310905695
72,1638037806,150.056901225542572110,1227.6457653183004,2021-11-28,61381.080941792500,3069.9256362573688,3768781.2071934477,460663.5279696329,-3308117.679223815,-0.003308117679223815
71,1637985966,0.05335987550526124750,1219.848681432079,2021-11-27,60991.234415497500,3103.4756652886203,3785770.6981588677,165.6010751334086,-3785605.0970837343,-0.0037856050970837343
69,1637882286,0.05335987550526124750,1219.848681432079,2021-11-26,60991.234415497500,3317.754106528832,4047157.972165061,177.03494608144774,-4046980.93721898,-0.00404698093721898
67,1637778605,0.05335987550526124750,1219.848681432079,2021-11-25,60991.234415497500,3094.5724885966547,3774910.169810617,165.126002733524,-3774745.0438078833,-0.0037747450438078835
66,1637726765,0.05335794341752625400,1198.7635766422131,2021-11-24,59936.999912080000,3037.367214041027,3641085.1850796165,162.06766794505052,-3640923.1174116717,-0.003640923117411672
64,1637623085,0.05335512196543379600,1035.4983423248389,2021-11-23,51773.898758860000,2854.5317387874666,2955862.8836280615,152.3038890772071,-2955710.5797389844,-0.0029557105797389845
62,1637519404,0.05334391275554219600,878.0307465213288,2021-11-22,43900.673829665000,2984.3232526722168,2620327.5734047466,159.19547922488266,-2620168.3779255217,-0.0026201683779255216
61,1637467564,0.05334391275554219600,878.0307465213288,2021-11-21,43900.673829665000,3128.42766871953,2746855.681403789,166.8825726221989,-2746688.798831167,-0.002746688798831167
59,1637363884,0.05334391275554219600,878.0307465213288,2021-11-20,43900.673829665000,2970.5639216456634,2608246.457711868,158.46150267102757,-2608087.9962091967,-0.0026080879962091966
57,1637260203,0.05382326161611770300,871.3048105256436,2021-11-19,43564.383644480000,2806.621999847423,2445423.249794162,151.06155015533932,-2445272.1882440066,-0.0024452721882440064
56,1637208363,0.05382326161611770300,871.3048105256436,2021-11-18,43564.383644480000,2809.7194108988206,2448122.0389434197,151.22826292069132,-2447970.810680499,-0.0024479708106804987
54,1637104683,0.05382326161611770300,871.3048105256436,2021-11-17,43564.383644480000,2819.249661789312,2456425.7923898213,151.7412121076375,-2456274.0511777136,-0.0024562740511777136
52,1637001002,0.05382326161611770300,871.3048105256436,2021-11-16,43564.383644480000,3032.063181083795,2641851.235495996,163.19552983207114,-2641688.039966164,-0.002641688039966164
51,1636949162,0.05382326161611770300,871.3048105256436,2021-11-15,43564.383644480000,3042.696255529061,2651115.884410834,163.76783657972237,-2650952.1165742544,-0.0026509521165742544
49,1636845482,0.05382326161611770300,871.3048105256436,2021-11-14,43564.383644480000,3151.1819787024556,2745640.0168851656,169.6068920396977,-2745470.409993126,-0.002745470409993126
47,1636741801,0.05332083277444264700,872.5171171784219,2021-11-13,43624.997784880000,2883.3496319768988,2515771.9087099475,153.74260355689097,-2515618.1661063908,-0.0025156181661063906
46,1636689961,17.327191844554024108,873.7294238312004,2021-11-12,43685.611925280000,3003.659770035622,2624385.92025818,52044.98907117624,-2572340.9311870034,-0.0025723409311870036
44,1636586281,37.581622642426625017,868.8901099238587,2021-11-11,43443.650989120000,2959.298051590255,2571304.8093437175,111215.22266133332,-2460089.5866823844,-0.0024600895866823845
42,1636482600,37.581622642426625017,868.8901099238587,2021-11-10,43443.650989120000,3138.9512950097146,2727403.7357666297,117966.88306201146,-2609436.852704618,-0.002609436852704618
41,1636430760,37.577449836195551398,834.97628934729,2021-11-09,41747.993312725000,3296.228543449065,2752272.678049723,123863.86274009319,-2628408.81530963,-0.0026284088153096298
39,1636327080,37.574811764811248865,797.4630718939251,2021-11-08,39872.369332305000,2973.6483364041974,2371374.737081151,111734.27649513184,-2259640.4605860193,-0.0022596404605860192
38,1636275240,37.572430809074423779,718.3176363562469,2021-11-07,35915.175390735000,3030.625541011098,2176951.775299964,113867.9684478532,-2063083.806852111,-0.002063083806852111
132,1636171556,37.568806429050803397,575.9559555298681,2021-11-06,28797.231354535000,2959.3872485852485,1704476.710541824,111180.64669070045,-1593296.0638511237,-0.0015932960638511237
130,1636067876,37.536414624782762666,433.4319202325502,2021-11-05,21671.169754455000,2997.4432080384995,1299187.5654481424,112513.27107117206,-1186674.2943769703,-0.0011866742943769703
129,1636016036,37.536414624782762666,433.4319202325502,2021-11-04,21671.169754455000,3229.6862172380343,1399849.0988860826,121230.84095819303,-1278618.2579278897,-0.0012786182579278898
127,1635912356,37.536414624782762666,433.4319202325502,2021-11-03,21671.169754455000,2825.531717599914,1224675.6380373065,106060.33008730493,-1118615.3079500017,-0.0011186153079500018
125,1635808677,37.530977595527343115,444.14459064364803,2021-11-02,22206.792739670000,2452.810710145347,1089402.6087838607,92056.38380853453,-997346.2249753261,-0.000997346224975326
124,1635756837,18.777582352138608381,434.4195273258281,2021-11-01,21720.549137860000,2418.9930332026775,1050857.8100883784,45422.84089021284,-1005434.9691981656,-0.0010054349691981657
122,1635653157,0.02757606276353316400,416.09875997018025,2021-10-31,20804.528787575000,2379.9637347816924,990299.9588166612,65.63002932527274,-990234.3287873359,-0.0009902343287873359
120,1635549477,0.02757606276353316400,416.09875997018025,2021-10-30,20804.528787575000,2455.7418470452376,1021831.1373624034,67.71969130515433,-1021763.4176710983,-0.0010217634176710982
119,1635497637,0.02757606276353316400,416.09875997018025,2021-10-29,20804.528787575000,2385.38852541582,992557.2074726195,65.77962369227846,-992491.4278489272,-0.0009924914278489272
117,1635393957,0.02757564927875815500,397.8450155262017,2021-10-28,19891.859516960000,2242.846058608152,892305.1250098405,61.84793629842345,-892243.277073542,-0.000892243277073542
115,1635290277,0.02757272335991110500,408.8593413567397,2021-10-27,20442.564976485000,2471.3352569246067,1010428.5054178839,68.14144336877702,-1010360.3639745151,-0.001010360363974515
114,1635238437,0.02793575399495023775,410.4595242093293,2021-10-26,20522.572545420000,2484.8098976894885,1019913.8883562597,69.41503802607103,-1019844.4733182336,-0.0010198444733182336
112,1635134757,0.03102452201137122800,365.3656512795586,2021-10-25,18267.923246350000,2450.717736866861,895408.0820327266,76.0323463710838,-895332.0496863555,-0.0008953320496863555
110,1635031078,0.03102268087548539200,322.36978278169676,2021-10-24,16118.172105600000,2526.9893257109393,814625.0000211019,78.39398342728846,-814546.6060376746,-0.0008145466060376746
109,1634979238,0.03101800185528129700,313.88255603300144,2021-10-23,15693.819114900000,2533.8144991197883,795320.1714971984,78.59386283463624,-795241.5776343638,-0.0007952415776343638
107,1634875558,0.03101800185528129700,313.88255603300144,2021-10-22,15693.819114900000,2577.018886534319,808881.2750507114,79.93397660361644,-808801.3410741077,-0.0008088013410741077
105,1634771878,0.03101470072074210650,303.38234596967203,2021-10-21,15168.818938130000,2591.6924369331264,786273.7315486282,80.38056529169168,-786193.3509833365,-0.0007861933509833365
104,1634720038,0.03101470072074210650,303.38234596967203,2021-10-20,15168.818938130000,2503.106216642376,759398.236216234,77.63309018139232,-759320.6031260527,-0.0007593206031260526
