,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
17,1638694437,1640.709871963360356402,1237.8031073767052,2021-12-05,61764.590314185000,17.75394523632068,21975.88858171359,29129.073215528213,7153.184633814624,7.153184633814625e-06
15,1638590757,1625.046257193158355713,1253.5884677649833,2021-12-04,62552.257037215000,21.009461939366698,26337.219201137435,34141.34749020997,7804.128289072534,7.804128289072535e-06
13,1638487078,1625.046257193158355713,1253.5884677649833,2021-12-03,62552.257037215000,22.05836808172751,27652.115844968805,35845.86849100032,8193.752646031517,8.193752646031517e-06
12,1638435238,1625.046257193158355713,1253.5884677649833,2021-12-02,62552.257037215000,21.885849491845534,27435.84853021768,35565.517802216375,8129.669271998693,8.129669271998693e-06
10,1638331558,1625.046257193158355713,1253.5884677649833,2021-12-01,62552.257037215000,21.99977103136211,27578.65925838569,35750.64557362146,8171.986315235772,8.171986315235772e-06
8,1638227878,1625.046257193158355713,1253.5884677649833,2021-11-30,62552.257037215000,22.223742184062445,27859.426912522864,36114.60905703638,8255.182144513517,8.255182144513517e-06
7,1638176038,1625.046257193158355713,1253.5884677649833,2021-11-29,62552.257037215000,21.575248031751123,27046.482121772362,35060.776062011224,8014.293940238862,8.014293940238862e-06
5,1638072358,1625.046257193158355713,1253.5884677649833,2021-11-28,62552.257037215000,21.471224180759126,26916.079021796293,34891.73249229786,7975.653470501566,7.975653470501566e-06
3,1637968678,1625.046257193158355713,1253.5884677649833,2021-11-27,62552.257037215000,21.415388877955653,26846.08453010769,34800.99754245783,7954.913012350138,7.954913012350138e-06
2,1637916838,1625.046257193158355713,1253.5884677649833,2021-11-26,62552.257037215000,22.706231109589947,28464.269465388457,36898.675879602,8434.406414213543,8.434406414213543e-06
0,1637813159,1625.046257193158355713,1253.5884677649833,2021-11-25,62552.257037215000,22.1275045784789,27738.784559998014,35958.21849628161,8219.433936283596,8.219433936283596e-06
56,1636672688,1581.291616648343614288,1296.3394986004203,2021-11-12,64685.471834725000,24.235482894740528,31417.413744106998,38323.36592687752,6905.952182770525,6.905952182770525e-06
54,1636569007,1581.291616648343614288,1296.3394986004203,2021-11-11,64685.471834725000,24.355937754890064,31573.56413711723,38513.840187416536,6940.276050299304,6.940276050299305e-06
53,1636517167,1581.291616648343614288,1296.3394986004203,2021-11-10,64685.471834725000,26.493950450200924,34345.15444255785,41894.661738799325,7549.507296241478,7.549507296241478e-06
51,1636413487,1581.291616648343614288,1296.3394986004203,2021-11-09,64685.471834725000,25.763940409857067,33398.81359288521,40740.30298193447,7341.489389049253,7.341489389049253e-06
49,1636309806,1581.291616648343614288,1296.3394986004203,2021-11-08,64685.471834725000,24.69918656502407,32018.53112754154,39056.61665330596,7038.085525764418,7.038085525764418e-06
48,1636257966,1581.291616648343614288,1296.3394986004203,2021-11-07,64685.471834725000,24.56027836626137,31838.458942806017,38836.96228311878,6998.503340312764,6.998503340312763e-06
