,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
47,1641251876,11337.022851030077246271,130640.212079385,2022-01-04,6526419.594661440000,8.516903889092546,1112650.1303307891,96556.33401066913,-1016093.79632012,-0.00101609379632012
46,1641200036,11336.122447337224902767,130854.52925245518,2022-01-03,6537126.281182645000,8.975739917217464,1174516.2215599623,101750.08675702968,-1072766.1348029326,-0.0010727661348029327
44,1641096356,11334.595479544545124365,131041.82439094789,2022-01-02,6546483.022437020000,9.169157605334188,1201543.140731127,103928.69234465236,-1097614.4483864747,-0.0010976144483864747
42,1640992677,4396.844135409409591178,135447.06121721948,2022-01-01,6766556.332825038750,9.442705144974937,1278986.6618275736,41518.10273908331,-1237468.5590884902,-0.0012374685590884902
41,1640940837,4396.844135409409591178,135447.06121721948,2021-12-31,6766556.332825038750,10.24682422107986,1387902.2275546913,45053.68898302607,-1342848.5385716653,-0.0013428485385716653
39,1640837157,23597.746619529806150221,137079.62494864833,2021-12-30,6848114.650564575000,9.097428639489653,1247072.1058983337,214678.8159239306,-1032393.2899744031,-0.0010323932899744032
37,1640733477,22492.771922660850251057,147961.55307685287,2021-12-29,7391745.343084083000,9.099628737717438,1346395.2004554344,204675.87377836855,-1141719.3266770658,-0.0011417193266770658
36,1640681637,21139.875549974966715959,113380.07391075813,2021-12-28,5664151.368383307500,9.132540211987381,1035448.0842281,193060.76353655526,-842387.3206915448,-0.0008423873206915448
34,1640577957,21898.544124155504211881,113359.05700804548,2021-12-27,5663101.422708085000,7.939165836547874,899976.3526615575,173856.17338063155,-726120.179280926,-0.000726120179280926
32,1640474277,22270.749898688720910222,113322.55482685317,2021-12-26,5661277.875832360000,7.649620027881638,866874.485014211,170362.7744609522,-696511.7105532589,-0.0006965117105532588
31,1640422437,22391.797229092997594312,125731.83542799104,2021-12-25,6281210.825892980000,7.914186235957088,995065.1613658284,177212.8534288298,-817852.3079369985,-0.0008178523079369986
29,1640318757,22384.741480517246696310,138203.58609914844,2021-12-24,6904264.605922920000,7.294665315429379,1008148.9059854159,163289.19727278242,-844859.7087126335,-0.0008448597087126335
27,1640215078,22380.323037919778415074,138218.65005698698,2021-12-23,6905017.159122625000,6.38537852201422,882578.3994156842,142906.83404207297,-739671.5653736112,-0.0007396715653736112
26,1640163238,22380.323037919778415074,138218.65005698698,2021-12-22,6905017.159122625000,5.811573428369644,803267.8339763079,130064.89068550355,-673202.9432908043,-0.0006732029432908043
24,1640059558,22464.923792837485328505,138898.96929598923,2021-12-21,6939004.005449477500,5.4468126753764485,756556.6665581183,122362.23166619315,-634194.4348919252,-0.0006341944348919252
22,1639955878,22821.924575673668950129,137788.5707763122,2021-12-20,6883531.601192360000,5.334724365593168,735064.0458206515,121748.67710357583,-613315.3687170757,-0.0006133153687170757
21,1639904038,22718.827980657613773293,136522.93582433247,2021-12-19,6820304.018973880000,5.598547248944337,764330.1067771208,127192.43189035033,-637137.6748867705,-0.0006371376748867706
19,1639800358,22718.827980657613773293,136522.93582433247,2021-12-18,6820304.018973880000,5.537919890875812,756053.0818623328,125815.04937146977,-630238.032490863,-0.000630238032490863
17,1639696678,22715.830110634758143634,136937.7658762218,2021-12-17,6841027.768086135000,5.67083705379185,776551.7567943517,128817.77109902819,-647733.9856953236,-0.0006477339856953236
16,1639644838,22763.772562303308654192,138958.52596841444,2021-12-16,6941979.290223760000,5.916368207800706,822129.8052423759,134678.8602772173,-687450.9449651586,-0.0006874509449651586
14,1639541159,22810.452220147249207325,137118.94309967235,2021-12-15,6850078.875416821667,5.737108282003477,786666.2240766938,130866.03434845139,-655800.1897282423,-0.0006558001897282423
12,1639437479,22808.182529686748039746,121659.650347523,2021-12-14,6077775.849179190000,5.6088967696907766,682376.4198359312,127928.74131327761,-554447.6785226535,-0.0005544476785226535
11,1639385639,22804.193071061175376134,109779.9613429462,2021-12-13,5484299.814014450000,5.582911599592353,612891.8195843345,127313.79401577097,-485578.02556856355,-0.00048557802556856356
9,1639281959,22548.961103123024355175,108204.61446852535,2021-12-12,5405599.890415418333,5.70524876264014,617334.2428085076,128647.43243241326,-488686.81037609436,-0.0004886868103760944
7,1639178279,22190.371334179861207812,97593.62342554212,2021-12-11,4875504.456862225000,5.110675109914457,498769.30212728254,113407.77845735227,-385361.5236699303,-0.0003853615236699303
