,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
48,1641355569,49849648.183183480653113466,86987427.94485898,2022-01-05,4329928123.79054565,1.0021493485367277,87174394.24582596,49956792.4515624,-37217601.794263564,-0.03721760179426356
46,1641251889,49840985.243590822487816488,86987427.94485898,2022-01-04,4329928123.79054565,1.0015556054850516,87122746.06490053,49918518.15361613,-37204227.9112844,-0.0372042279112844
44,1641148208,49836334.980907984332846870,86987427.94485898,2022-01-03,4329928123.79054565,1.000807028211201,87057629.25323029,49876554.30918044,-37181074.94404985,-0.03718107494404985
43,1641096368,49836334.980907984332846870,86987427.94485898,2022-01-02,4329928123.79054565,1.0057605590100167,87488524.15666492,50123420.129408464,-37365104.02725646,-0.03736510402725646
41,1640992688,49740660.790466068760290705,86987427.94485898,2022-01-01,4329928123.79054565,0.9982359249778655,86833975.59598173,49652914.53318114,-37181061.06280059,-0.03718106106280059
39,1640889007,49740660.790466068760290705,86987427.94485898,2021-12-31,4329928123.79054565,1.002001748348852,87161554.88511848,49840229.07607418,-37321325.8090443,-0.0373213258090443
38,1640837167,49074427.627375194308236249,86987427.94485898,2021-12-30,4329928123.79054565,0.998322636486753,86841518.40711308,48992111.97303956,-37849406.434073515,-0.037849406434073515
36,1640733487,49074427.627375194308236249,86987427.94485898,2021-12-29,4329928123.79054565,0.9997181437312388,86962909.99298932,49060595.69231255,-37902314.30067676,-0.03790231430067676
34,1640629806,48887379.110548602102581378,86987427.94485898,2021-12-28,4329928123.79054565,0.9997534047497002,86965977.25829199,48875323.71506032,-38090653.543231666,-0.03809065354323166
33,1640577966,48887379.110548602102581378,86987427.94485898,2021-12-27,4329928123.79054565,1.0008309952154049,87059714.08128154,48928004.288683146,-38131709.7925984,-0.038131709792598396
31,1640474286,48762092.437511791936600565,86987427.94485898,2021-12-26,4329928123.79054565,1.0016774290819972,87133343.18626182,48843887.38946551,-38289455.79679631,-0.03828945579679631
29,1640370605,48637850.246305022944954463,86987427.94485898,2021-12-25,4329928123.79054565,1.0017555065769979,87140134.94673231,48723234.31230345,-38416900.63442886,-0.03841690063442886
28,1640318765,48381784.786006541693567211,86987427.94485898,2021-12-24,4329928123.79054565,1.002041813610772,87165040.05920285,48480571.37269604,-38684468.68650681,-0.03868446868650681
26,1640215085,48261448.326995583145876997,86987427.94485898,2021-12-23,4329928123.79054565,1.0008944834394793,87065236.75859855,48304617.39328936,-38760619.365309194,-0.038760619365309196
24,1640111404,48206796.842268175531298164,86987427.94485898,2021-12-22,4329928123.79054565,1.0007738358673477,87054741.93661104,48244100.99071466,-38810640.94589638,-0.03881064094589638
23,1640059564,48206796.842268175531298164,86987427.94485898,2021-12-21,4329928123.79054565,1.0044645095415072,87375784.14690998,48422016.54673598,-38953767.600174,-0.038953767600174
21,1639955884,48203186.198176888529446519,86987467.82267153,2021-12-20,4329930108.76775593,0.9971771117679525,86741911.92341931,48067113.99111086,-38674797.93230845,-0.03867479793230845
19,1639852203,48198629.600236116918430416,86987507.70048407,2021-12-19,4329932093.74496620,1.0003625697890954,87019046.74280497,48216104.96720498,-38802941.775599994,-0.038802941775599994
18,1639800363,48447724.811985405594532808,86987507.70048407,2021-12-18,4329932093.74496620,0.9985023986138946,86857235.08837797,48375169.43215333,-38482065.65622464,-0.03848206565622464
