,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1641355556,465589.626105593631487976,5418356.297203663,2022-01-05,267877964.60171964,18.34947387011855,99423987.29453091,8543324.678422857,-90880662.61610806,-0.09088066261610805
47,1641251876,465489.840405628484571162,5409645.9827184845,2022-01-04,267447335.60883950,18.438001548948492,99743061.0086264,8582702.398418764,-91160358.61020763,-0.09116035861020763
46,1641200036,465437.616527877955194180,5384146.26678213,2022-01-03,266186655.86976851,18.348436916562584,98790668.12559785,8540052.74545702,-90250615.38014083,-0.09025061538014083
44,1641096356,465361.244416819238893201,5401951.269631183,2022-01-02,267066916.90490814,17.501847838535845,94544129.15227048,8144681.689734859,-86399447.46253562,-0.08639944746253563
42,1640992677,350359.926278065751933983,5264293.434378883,2022-01-01,260261255.05910152,17.05830184651069,89799906.4122394,5976545.377372479,-83823361.03486693,-0.08382336103486693
41,1640940837,518202.473472597691783839,5264837.85700358,2021-12-31,260288170.75393361,17.788046793465686,93651182.16038927,9217809.846620228,-84433372.31376904,-0.08443337231376905
39,1640837157,518088.033349010325381774,5300323.1642260915,2021-12-30,262042527.85978488,17.139968666548977,90847372.95741893,8880012.658116018,-81967360.29930292,-0.08196736029930292
37,1640733477,525314.995313100548926148,5303313.710963694,2021-12-29,262190377.41584465,18.466954809675723,97936054.64190021,9700968.27929204,-88235086.36260816,-0.08823508636260817
36,1640681637,523983.494850184415839957,5305476.645212782,2021-12-28,262297310.66135899,19.119611915933174,101438654.48551546,10018361.071889894,-91420293.41362557,-0.09142029341362556
34,1640577957,521895.429965940879363883,5324053.465794033,2021-12-27,263215729.57165564,18.676675766974135,99435620.34667008,9747271.729739433,-89688348.61693065,-0.08968834861693065
32,1640474277,521741.476018930371464987,5334461.2649536375,2021-12-26,263730280.46161785,17.537060100939087,93550767.80962348,9149811.622096654,-84400956.18752682,-0.08440095618752683
31,1640422437,521741.476018930371464987,5334461.2649536375,2021-12-25,263730280.46161785,17.505148846217573,93380538.4573955,9133162.196956635,-84247376.26043886,-0.08424737626043886
29,1640318757,522009.925240731310770965,5334790.108746833,2021-12-24,263746538.16066185,18.192447300688,97052887.91360836,9496638.055378085,-87556249.85823028,-0.08755624985823028
27,1640215078,521891.362929286464719679,8128589.181804995,2021-12-23,401869091.96599736,16.217342471774156,131824114.57369009,8463690.965685219,-123360423.60800487,-0.12336042360800487
26,1640163238,521911.814920386246791275,8569150.776199672,2021-12-22,423650004.24174442,15.092040775445797,129325972.92534846,7876714.391965389,-121449258.53338307,-0.12144925853338308
24,1640059558,578727.638110370515486922,8603153.104754621,2021-12-21,425331044.40695447,14.530517192162566,125008264.09544379,8409211.895142373,-116599052.20030141,-0.11659905220030141
22,1639955878,598967.464585007113688302,8631983.664669361,2021-12-20,426756397.64780247,14.959625340689453,129131241.57040519,8960328.861454384,-120170912.7089508,-0.1201709127089508
21,1639904038,600150.018092209007780968,8637716.769101098,2021-12-19,427039836.43657610,15.6035029794557,134778639.34236345,9364442.595422175,-125414196.74694127,-0.12541419674694126
19,1639800358,600338.842298646541610904,8667245.157141156,2021-12-18,428499689.58248722,14.995422443035723,129969002.54868717,9002334.549231207,-120966667.99945597,-0.12096666799945598
