,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1639541156,2584069156.01218470,3657269701.128032,2021-12-15,165394672355.58960008,1.001547113540312,3662927912.6032205,2588067004.3925543,-1074860908.2106662,-1.0748609082106662
47,1639437476,2628877609.66261411,3713590985.988704,2021-12-14,167941720076.27136637,0.998431856652746,3707767542.9896035,2624755152.7282767,-1083012390.2613268,-1.083012390261327
46,1639385636,2671742884.76659217,3755330070.4286904,2021-12-13,169829309113.86532117,0.999231581126135,3752444403.92498,2669689867.107823,-1082754536.8171573,-1.0827545368171572
44,1639281956,2691490330.12997996,3747275712.9491405,2021-12-12,169465062578.81923183,0.9976642221865579,3738522909.4779835,2685203606.7317686,-1053319302.7462149,-1.0533193027462149
42,1639178277,2764349108.03579714,3788357167.078172,2021-12-11,171322911247.58618435,0.9961241561275025,3773674086.1653204,2753634922.483972,-1020039163.6813483,-1.0200391636813484
41,1639126437,2778590977.93135132,3808078366.53697,2021-12-10,172214773644.81137069,0.9985747046642346,3802650730.2029157,2774630665.1705065,-1028020065.0324092,-1.0280200650324092
39,1639022757,2785490750.67200914,3765997473.4864583,2021-12-09,170311726812.80625088,1.000099566894019,3766372442.1577764,2785768093.3343716,-980604348.8234048,-0.9806043488234047
37,1638919077,2738094947.92687496,3723045215.3486714,2021-12-08,168369273769.36764120,1.0020050105897729,3730509960.4316487,2743584857.293272,-986925103.1383767,-0.9869251031383767
36,1638867237,2738775365.10450596,3745737029.698818,2021-12-07,169395477879.61930798,1.0009222152041022,3749191405.338175,2741301105.3868256,-1007890299.9513493,-1.0078902999513493
34,1638763557,2775124855.37048139,3646573961.487908,2021-12-06,164910973176.16252820,1.001201788493352,3650956372.1149807,2778459968.4892807,-872496403.6257,-0.8724964036257
32,1638659877,2822023833.99502072,3707847923.156498,2021-12-05,167681998460.67451407,0.999132144612245,3704630047.3594103,2819574725.4063153,-885055321.953095,-0.885055321953095
31,1638608037,2891559830.33552830,3779065378.8980055,2021-12-04,170902703719.22640134,1.0020663203323739,3786874138.5277925,2897534719.2052264,-889339419.322566,-0.889339419322566
29,1638504357,2882027804.03050425,3780912833.6037836,2021-12-03,170986252155.82645737,0.9981847390456269,3774049490.1650543,2876796171.48843,-897253318.6766243,-0.8972533186766243
27,1638400678,2867407639.59007473,3724051242.6781664,2021-12-02,168414769883.72078324,1.0007834225567176,3726968748.4240527,2869654031.414234,-857314717.0098186,-0.8573147170098185
26,1638348838,2863614018.46709985,3713707144.4348993,2021-12-01,167946973172.08323958,0.9977658019593205,3705409987.2091455,2857216137.6377788,-848193849.5713668,-0.8481938495713668
24,1638245158,2869713551.19953955,3806700275.037283,2021-11-30,172152451472.61925617,0.9984575534746769,3800828643.425105,2865287171.5038195,-935541471.9212856,-0.9355414719212857
22,1638141478,2894879666.50466758,3942162632.3895493,2021-11-29,178278538428.65737455,1.0004934014057925,3944107700.9742327,2896308004.2017207,-1047799696.772512,-1.047799696772512
21,1638089638,2925362452.56503076,3978567598.5385246,2021-11-28,179924899769.32332728,0.999736893024412,3977520809.650501,2924592769.297638,-1052928040.3528628,-1.052928040352863
19,1637985958,2908760176.18566624,3935815049.4997773,2021-11-27,177991478277.75298268,0.9999429300274965,3935590432.643123,2908594173.3223925,-1026996259.3207307,-1.0269962593207307
17,1637882278,2784503511.17337707,3758603088.197799,2021-11-26,169977326554.68161144,0.9979628377563338,3750946203.8975954,2778831025.753058,-972115178.1445374,-0.9721151781445374
16,1637830438,2785574783.47408660,3690470905.637948,2021-11-25,166896148262.61246400,0.9999580024462168,3690315914.8876033,2785457796.1473002,-904858118.740303,-0.9048581187403031
14,1637726759,2865718783.26599551,3752397110.7568264,2021-11-24,169696670303.05777696,1.0012366070029162,3757037351.3017106,2869262551.181771,-887774800.1199398,-0.8877748001199398
12,1637623079,2859919001.59765157,3758910395.590484,2021-11-23,169991224081.98448837,0.9999017290703515,3758541003.971444,2859637954.698645,-898903049.272799,-0.898903049272799
11,1637571239,2858344745.58350036,3749542196.5354,2021-11-22,169567560983.58088989,1.0029429219625317,3760576806.615023,2866756631.111765,-893820175.5032582,-0.8938201755032582
9,1637467559,2802432139.81958648,3596923913.8691945,2021-11-21,162665622401.01907799,1.0063141945917666,3619635591.3931437,2820127241.680629,-799508349.7125149,-0.7995083497125148
7,1637363879,2777265854.66063393,3487436476.9893074,2021-11-20,157714213227.06155236,1.005508176482435,3506645892.5758457,2792563525.1267447,-714082367.449101,-0.7140823674491009
6,1637312039,2784500865.69907549,3388916185.602504,2021-11-19,153258777165.21692033,1.000767548215305,3391517342.1725807,2786638104.369058,-604879237.8035226,-0.6048792378035226
4,1637208359,2838617574.39637525,3570292287.054543,2021-11-18,161461246035.24357210,1.0068196189868166,3594640320.123825,2857975864.70304,-736664455.420785,-0.736664455420785
2,1637104679,2792502543.59790337,3432610125.2193847,2021-11-17,155234771668.61105908,1.003335750277569,3444060455.397372,2801817634.732823,-642242820.6645489,-0.6422428206645489
0,1637001000,2837442491.39683745,3491747945.6729198,2021-11-16,157909193091.43346622,1.0028818674055455,3501810700.265935,2845619624.4279037,-656191075.8380313,-0.6561910758380313
99,1636949156,2861328720.50167585,3518167899.606449,2021-11-15,159103996860.79675475,1.0097600789669372,3552505496.1255517,2889255514.7641377,-663249981.361414,-0.663249981361414
97,1636845476,2903939329.97647030,3573146366.091262,2021-11-14,161590317584.71375308,1.0036219648543312,3586088176.648626,2914457296.1687555,-671630880.4798703,-0.6716308804798703
96,1636793636,2920854233.49258012,3591872575.9941473,2021-11-13,162437183034.74999718,1.0059713468404479,3613320892.952101,2938295667.1911545,-675025225.7609468,-0.6750252257609467
94,1636689956,2928298960.04137931,3646285428.83277,2021-11-12,164897924708.90137792,1.0013919181633213,3651360759.749816,2932374912.5514965,-718985847.1983194,-0.7189858471983195
92,1636586277,2994720001.16904307,3692955357.9334826,2021-11-11,167008503983.40501450,1.003782421737142,3706923672.5536256,3006047295.1981187,-700876377.3555069,-0.7008763773555069
91,1636534437,2994875419.47746410,3712201223.590265,2021-11-10,167878870104.75544417,1.0017160232374094,3718571447.151885,3000014695.290434,-718556751.8614511,-0.7185567518614512
89,1636430757,2996721268.39467083,3707647171.237679,2021-11-09,167672919748.80714885,1.0005969657830212,3709860509.734423,2998510208.453154,-711350301.2812691,-0.7113503012812691
87,1636327077,3037495557.12028204,3702050894.6512403,2021-11-08,167419836326.45528631,1.0017613438867718,3708571479.3630524,3042845631.3509126,-665725848.0121398,-0.6657258480121397
86,1636275237,3043386653.43049678,3711172768.0422916,2021-11-07,167832359707.02982829,1.004792955819851,3728960255.1593523,3057973471.203113,-670986783.9562392,-0.6709867839562392
84,1636171557,3119672177.63707780,3771968063.2059736,2021-11-06,170581737999.05383103,1.0026263956312853,3781874743.6485257,3127865671.015466,-654009072.6330595,-0.6540090726330595
82,1636067877,3190738218.80918362,3801703979.8377056,2021-11-05,171926501330.83148125,1.005208377382135,3821504688.8598647,3207356787.5803432,-614147901.2795215,-0.6141479012795215
81,1636016037,3175067709.68677083,3771821756.62184,2021-11-04,170575121497.80461249,1.0008430284983136,3775001509.8532314,3177744382.2501116,-597257127.6031199,-0.5972571276031199
79,1635912357,3185789126.07633811,3694142499.3991675,2021-11-03,167062190719.63233724,1.0035341391346773,3707198112.9753685,3197048148.1016335,-510149964.87373495,-0.510149964873735
77,1635808678,3196390632.59866173,3690466377.2050614,2021-11-02,166895943470.85936159,1.0004827657656181,3692248008.031141,3197933740.569623,-494314267.4615178,-0.4943142674615178
76,1635756838,3186239551.15378952,3678745306.480862,2021-11-01,166365875193.01600941,0.9987027221834409,3673972951.801994,3182106113.2658343,-491866838.5361595,-0.49186683853615953
74,1635653158,3076255258.99795837,3675991112.1251717,2021-10-31,166241320782.13334222,1.0023617072829802,3684672727.1068482,3083520473.44744,-601152253.6594081,-0.601152253659408
72,1635549478,3033209120.80090975,3676214915.1194572,2021-10-30,166251441945.16943869,1.0020134987310874,3683616969.1862545,3039316483.5167646,-644300485.6694899,-0.6443004856694898
71,1635497638,3034161412.83618420,3665373308.874696,2021-10-29,165761146161.92231254,1.0017058647708725,3671625940.0744014,3039337281.8994827,-632288658.1749187,-0.6322886581749186
69,1635393958,3036172400.19484640,3671318785.7282386,2021-10-28,166030021655.54154858,0.9992165611765437,3668442532.0582147,3033793744.8618274,-634648787.1963873,-0.6346487871963873
67,1635290278,3006463158.13830782,3645412051.761928,2021-10-27,164858427508.45425629,0.9995891446879311,3643914314.855782,3005227936.7792478,-638686378.0765343,-0.6386863780765343
66,1635238438,2987317285.09990094,3628254757.204544,2021-10-26,164082513959.89869379,1.003696231395694,3641665626.3497,2998359101.0379868,-643306525.3117132,-0.6433065253117132
64,1635134759,2959215965.76687798,3592532782.7170467,2021-10-25,162467039918.03842667,1.0048651642812485,3610011044.890736,2973613037.584027,-636398007.3067093,-0.6363980073067093
