,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
41,1640992688,0.64677157000000000000,2385.648585961176,2022-01-01,118075.182333760000,46346.94453228382,110567522.68706396,29975.886079848122,-110537546.80098411,-0.11053754680098411
39,1640889007,0.64677157000000000000,2385.648585961176,2021-12-31,118075.182333760000,47212.70262033006,112632917.24559593,30535.833797693987,-112602381.41179824,-0.11260238141179824
38,1640837167,0.64677157000000000000,2385.648585961176,2021-12-30,118075.182333760000,46575.51065364095,111112801.13127823,30123.716149007083,-111082677.41512923,-0.11108267741512923
36,1640733487,0.64677157000000000000,2385.648585961176,2021-12-29,118075.182333760000,47682.48473957059,113753652.29407193,30839.675516513107,-113722812.61855541,-0.11372281261855541
34,1640629806,0.64677157000000000000,2385.648585961176,2021-12-28,118075.182333760000,50813.007896489944,121221980.43669531,32864.4088936352,-121189116.02780168,-0.12118911602780168
33,1640577966,0.64677157000000000000,2385.648585961176,2021-12-27,118075.182333760000,50822.73779865886,121245192.56404613,32870.70191773694,-121212321.86212839,-0.1212123218621284
31,1640474286,0.64666105000000000000,2386.0920231696186,2021-12-26,118097.129794735000,50748.78316824812,121091266.70332144,32817.26140980166,-121058449.44191164,-0.12105844944191164
29,1640370605,0.64666105000000000000,2386.0920231696186,2021-12-25,118097.129794735000,50795.82972129129,121203524.10825537,32847.68458319143,-121170676.42367218,-0.12117067642367219
28,1640318765,0.64660366000000000000,2387.548051728159,2021-12-24,118169.194405820000,50923.03403083785,121581190.68841365,32927.02018264431,-121548263.66823101,-0.12154826366823102
26,1640215085,0.64660366000000000000,2387.548051728159,2021-12-23,118169.194405820000,48892.84078636029,116734006.76292959,31614.289800257844,-116702392.47312933,-0.11670239247312933
24,1640111404,0.64655648000000000000,2391.1413404215414,2021-12-22,118347.040472565000,49187.26071564862,117613692.51927987,31802.342149152053,-117581890.17713071,-0.11758189017713071
23,1640059564,0.64649264000000000000,2424.4103733150714,2021-12-21,119993.656469610000,47168.28533183412,114355280.24998377,30493.949308450716,-114324786.30067532,-0.11432478630067532
21,1639955884,0.64642599000000000000,2457.6506635292753,2021-12-20,121638.849877795000,46866.50683788107,115181501.62741773,30295.72808051904,-115151205.8993372,-0.11515120589933721
19,1639852203,0.64642599000000000000,2457.6506635292753,2021-12-19,121638.849877795000,46956.29538315965,115402170.50529897,30353.76972979141,-115371816.73556918,-0.11537181673556918
18,1639800363,0.64634761000000000000,2457.776132421789,2021-12-18,121645.059829440000,46341.99208790469,113898242.08253154,29953.035828656106,-113868289.04670289,-0.11386828904670289
16,1639696683,0.64634761000000000000,2457.776132421789,2021-12-17,121645.059829440000,47644.278935331524,117098971.61370403,30794.765820024873,-117068176.847884,-0.117068176847884
14,1639593002,0.64630298000000000000,2458.328930184422,2021-12-16,121672.419976697500,48820.65698137904,120017233.44793417,31552.936092623077,-119985680.51184154,-0.11998568051184154
13,1639541162,0.64615324000000000000,2458.958871057079,2021-12-15,121703.598241525000,48270.02882016978,118694015.57353733,31189.835517046078,-118662825.73802029,-0.11866282573802028
11,1639437482,0.64615324000000000000,2458.958871057079,2021-12-14,121703.598241525000,46713.90584148504,114867573.17064473,30184.341612530483,-114837388.8290322,-0.1148373888290322
9,1639333801,0.64615324000000000000,2458.958871057079,2021-12-13,121703.598241525000,50020.75466459159,122998978.41946726,32321.07269377097,-122966657.34677349,-0.12296665734677349
8,1639281961,0.64615324000000000000,2458.958871057079,2021-12-12,121703.598241525000,49270.20633816324,121153410.9540392,31836.10346087271,-121121574.85057832,-0.12112157485057833
6,1639178281,0.64611338333333333333,2459.383192761791,2021-12-11,121724.599600630000,47265.73410567076,116244552.05303444,30539.023378748654,-116214013.0296557,-0.1162140130296557
4,1639074600,0.64596008000000000000,2461.951333875684,2021-12-10,121851.707059820000,47786.630321451,117648358.2613205,30868.255545374916,-117617490.00577512,-0.11761749000577512
3,1639022760,0.64596008000000000000,2461.951333875684,2021-12-09,121851.707059820000,50548.12397229681,124447021.23850958,32652.07020499477,-124414369.16830459,-0.12441436916830459
1,1638919080,0.64596008000000000000,2461.951333875684,2021-12-08,121851.707059820000,50576.15367864407,124516029.01143937,32670.17627634922,-124483358.83516301,-0.12448335883516301
0,1638867240,0.64596008000000000000,2461.951333875684,2021-12-07,121851.707059820000,50518.475874148535,124374029.06372656,32632.91871714306,-124341396.14500941,-0.12434139614500941
84,1638504356,0.64580479000000000000,2462.139825780254,2021-12-03,121861.036269550000,56594.70475261395,139344076.49968582,36549.131417873854,-139307527.36826795,-0.13930752736826796
82,1638400677,0.64573743500000000000,2464.25366465746,2021-12-02,121965.658514552500,57212.75109938861,140986731.5618035,36944.41514421263,-140949787.14665928,-0.1409497871466593
81,1638348837,0.64569715000000000000,2465.043277616444,2021-12-01,122004.739582340000,57117.08594146655,140796088.7370528,36880.33960871002,-140759208.3974441,-0.1407592083974441
79,1638245157,0.64561444500000000000,2465.3543878183546,2021-11-30,122020.137656487500,57866.69332982838,142661906.3092315,37359.573098122346,-142624546.73613337,-0.14262454673613337
77,1638141477,0.64561444500000000000,2465.3543878183546,2021-11-29,122020.137656487500,57290.53277619375,141241466.36024052,36987.59552205664,-141204478.76471847,-0.14120447876471848
76,1638089637,0.64551301500000000000,2465.6912527212257,2021-11-28,122036.810432630000,54473.23418914302,134314177.04760474,35163.18163823479,-134279013.8659665,-0.1342790138659665
74,1637985957,0.64551301500000000000,2465.6912527212257,2021-11-27,122036.810432630000,53775.48347581671,132593739.21717608,34712.774471557124,-132559026.44270453,-0.13255902644270454
72,1637882277,0.64551301500000000000,2465.6912527212257,2021-11-26,122036.810432630000,59040.13619223091,145574747.3686536,38111.1763194576,-145536636.19233415,-0.14553663619233415
71,1637830437,0.64547687000000000000,2516.045488934733,2021-11-25,124529.040703750000,57132.55582541222,143748109.3558402,36877.74330928735,-143711231.61253092,-0.1437112316125309
69,1637726757,0.64540217000000000000,2587.1655109507533,2021-11-24,128049.051830510000,57737.26537356611,149375861.6711014,37263.756361965425,-149338597.91473943,-0.14933859791473944
67,1637623078,0.64529071000000000000,2607.9571618649843,2021-11-23,129078.112852810000,56381.53317547447,147040623.24190685,36382.47957369048,-147004240.76233315,-0.14700424076233315
66,1637571238,0.64529071000000000000,2607.9571618649843,2021-11-22,129078.112852810000,59338.09101225692,154751199.4268117,38290.31887934389,-154712909.10793236,-0.15471290910793237
64,1637467558,0.64529071000000000000,2607.9571618649843,2021-11-21,129078.112852810000,60045.083481415466,156595005.50013834,38746.534551731864,-156556258.9655866,-0.15655625896558661
62,1637363878,0.64521465000000000000,2608.743436485185,2021-11-20,129117.028693010000,58198.927347035875,151826069.727058,37550.80053859318,-151788518.9265194,-0.1517885189265194
61,1637312038,0.64521465000000000000,2608.743436485185,2021-11-19,129117.028693010000,56830.37131374727,148255858.15775415,36667.788136569485,-148219190.36961758,-0.1482191903696176
59,1637208358,0.64506940000000000000,2612.2548041913697,2021-11-18,129290.820166150000,60592.49785417966,158283043.61753607,39086.36623529696,-158243957.25130078,-0.15824395725130078
57,1637104678,0.64506940000000000000,2612.2548041913697,2021-11-17,129290.820166150000,60520.92990518447,158096089.89894727,39040.199941379404,-158057049.6990059,-0.1580570496990059
