,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1639541156,2265.0431663927777778,33924.382803265995,2021-12-15,1693374.210731677778,48270.02882016978,1637530935.6201215,109333698.920708,-1528197236.6994135,-1.5281972366994134
47,1639437476,2264.6512656154901961,34021.30221656561,2021-12-14,1698212.053646980392,46713.90584148504,1589267908.349352,105790705.98576193,-1483477202.36359,-1.48347720236359
46,1639385636,2264.0404822650000000,33920.58812883452,2021-12-13,1693184.795234934500,50020.75466459159,1696733416.8710895,113249013.5140812,-1583484403.3570082,-1.5834844033570081
44,1639281956,2269.1470782440000000,33946.738983288844,2021-12-12,1694490.144923339000,49270.20633816324,1672562834.214411,111801344.75672214,-1560761489.4576888,-1.5607614894576889
42,1639178277,2267.8164106282352941,33787.875750625615,2021-12-11,1686560.305704584118,47265.73410567076,1597008751.2245111,107190007.46523082,-1489818743.7592802,-1.4898187437592803
41,1639126437,2267.8620301706666667,33762.66813454675,2021-12-10,1685302.038834129667,47786.630321451,1613404140.8114192,108373484.45582096,-1505030656.3555982,-1.5050306563555982
39,1639022757,2268.8107188245000000,34007.003989746285,2021-12-09,1697498.341368250500,50548.12397229681,1718990253.6000874,114684125.48481664,-1604306128.1152709,-1.6043061281152708
37,1638919077,2268.4829667364705882,33981.26992917511,2021-12-08,1696213.796421291471,50576.15367864407,1718641930.133447,114731143.14305016,-1603910786.9903967,-1.6039107869903968
36,1638867237,2267.3704686916666667,33988.88586112472,2021-12-07,1696593.954339828889,50518.475874148535,1717066710.3644173,114544100.32035682,-1602522610.0440605,-1.6025226100440604
34,1638763557,2267.0847397593877551,33954.29346369919,2021-12-06,1694867.235418294898,49279.81628623866,1673261344.0201304,111721519.48067784,-1561539824.5394526,-1.5615398245394525
32,1638659877,2262.6419155678698225,34244.88384385582,2021-12-05,1709372.385253963728,49037.24762284625,1679274848.8667648,110953731.89553279,-1568321116.971232,-1.5683211169712319
31,1638608037,2261.6581576351851852,34740.36875962917,2021-12-04,1734105.079229352778,53779.28022508981,1868312026.6470528,121630347.83282293,-1746681678.8142297,-1.7466816788142296
29,1638504357,2261.1445346146153846,35215.989048662654,2021-12-03,1757846.207733317949,56594.70475261395,1993038502.780349,127968807.33950084,-1865069695.440848,-1.865069695440848
27,1638400678,2260.9357822400000000,35609.288890805554,2021-12-02,1777478.217359901667,57212.75109938861,2037305382.1358821,129354356.16099861,-1907951025.9748836,-1.9079510259748835
26,1638348838,2262.1608476203448276,35399.1601588358,2021-12-01,1766989.402346970690,57117.08594146655,2021896873.0479631,129208035.54695205,-1892688837.5010111,-1.8926888375010111
24,1638245158,2249.9250613202439024,35427.95773090533,2021-11-30,1768426.865960001220,57866.69332982838,2050098765.316421,130195723.53851384,-1919903041.7779071,-1.919903041777907
22,1638141478,2278.1648153338888889,35645.28371466893,2021-11-29,1779274.939994578333,57290.53277619375,2042137294.9719656,130517276.02245751,-1911620018.949508,-1.911620018949508
21,1638089638,2299.4052385060000000,35647.08185706515,2021-11-28,1779364.696320541667,54473.23418914302,1941811838.1594613,125256040.05287959,-1816555798.1065817,-1.8165557981065816
19,1637985958,2300.5811619815217391,35093.95043125478,2021-11-27,1751754.511131782609,53775.48347581671,1887194151.5170722,123714864.26091251,-1763479287.2561598,-1.7634792872561598
17,1637882278,2298.1753463096551724,34908.46709736106,2021-11-26,1742495.899237275172,59040.13619223091,2061000651.6902087,135684585.43974945,-1925316066.2504592,-1.9253160662504591
16,1637830438,2285.9022062146428571,35287.39944591843,2021-11-25,1761410.739055591429,57132.55582541222,2016059318.7775552,130599435.40799104,-1885459883.3695643,-1.8854598833695644
14,1637726759,2216.7024256451063830,35248.118857719644,2021-11-24,1759450.003751313830,57737.26537356611,2035129992.407159,127986336.20369923,-1907143656.2034597,-1.9071436562034598
