,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
47,1641251876,7.763213978360682470,42.96777731884244,2022-01-04,2147.3755402700000000,38914.75669878003,1672080.6002501124,302103.583168474,-1369977.0170816383,-0.0013699770170816383
46,1641200036,7.762056719780936755,44.668529900029974,2022-01-03,2232.3730598250000000,39095.17312977268,1746323.9098940995,303458.9513029511,-1442864.9585911483,-0.0014428649585911482
44,1641096356,7.510051152610397195,45.8653716977686,2022-01-02,2292.1869241300000000,36591.70311559391,1678292.0644511122,274805.5621592435,-1403486.5022918687,-0.0014034865022918687
42,1640992677,7.008013064667612391,45.8653716977686,2022-01-01,2292.1869241300000000,33025.88478812236,1514744.481454914,231445.83206736887,-1283298.6493875452,-0.0012832986493875452
41,1640940837,7.008013064667612391,45.8653716977686,2021-12-31,2292.1869241300000000,30241.905012284868,1387056.2142370567,211935.66542652927,-1175120.5488105274,-0.0011751205488105274
39,1640837157,7.256254069322606418,45.8653716977686,2021-12-30,2292.1869241300000000,28894.960067061944,1325278.0836679768,209669.17156953245,-1115608.9120984443,-0.0011156089120984442
37,1640733477,7.256254069322606418,45.8653716977686,2021-12-29,2292.1869241300000000,28839.072182196505,1322714.7650552213,209263.63487755178,-1113451.1301776695,-0.0011134511301776695
36,1640681637,7.755584652943583838,45.87288907557303,2021-12-28,2292.5626157350000000,31865.002516265366,1461739.7258214965,247131.72448115636,-1214608.0013403401,-0.0012146080013403402
34,1640577957,7.754528854432764551,45.88351509882515,2021-12-27,2293.0936663000000000,31200.52484533806,1431589.752832338,241945.3701866204,-1189644.3826457176,-0.0011896443826457175
32,1640474277,7.751107728598430009,45.85818185365123,2021-12-26,2291.8276014850000000,31394.225245942314,1439682.0904829113,243340.02193718345,-1196342.068545728,-0.0011963420685457279
31,1640422437,7.751107728598430009,45.85818185365123,2021-12-25,2291.8276014850000000,32692.888332241295,1499236.4184610338,253406.09942224095,-1245830.319038793,-0.001245830319038793
29,1640318757,7.750333076246763034,45.78030545666884,2021-12-24,2287.9356182250000000,31699.318315738936,1451204.4752627057,245680.2752369463,-1205524.2000257594,-0.0012055242000257593
27,1640215078,7.747739344991320146,46.09223585716878,2021-12-23,2303.5247818750000000,31665.36311785011,1459527.3853308407,245334.97970160432,-1214192.4056292365,-0.0012141924056292366
26,1640163238,7.747739344991320146,46.09223585716878,2021-12-22,2303.5247818750000000,34750.806393604435,1601742.3645208245,269240.189965905,-1332502.1745549196,-0.0013325021745549195
24,1640059558,7.246011939414893870,44.89539405943015,2021-12-21,2243.7109175700000000,37270.038401308666,1673253.0606368468,270059.14323833416,-1403193.9173985126,-0.0014031939173985127
22,1639955878,7.244773176769677718,44.87546264102354,2021-12-20,2242.7148167000000000,31944.973432496194,1433545.4618384724,231434.08665636837,-1202111.375182104,-0.001202111375182104
21,1639904038,7.239768180717474743,44.87546264102354,2021-12-19,2242.7148167000000000,31208.4843578434,1400495.173883369,225942.19202233365,-1174552.9818610353,-0.0011745529818610353
19,1639800358,7.239768180717474743,44.87546264102354,2021-12-18,2242.7148167000000000,33227.11559509056,1491082.184556457,240556.61422235798,-1250525.570334099,-0.001250525570334099
17,1639696678,7.239768180717474743,44.87546264102354,2021-12-17,2242.7148167000000000,24668.154310582362,1106994.8371875426,178591.71865478277,-928403.1185327598,-0.0009284031185327598
16,1639644838,7.239768180717474743,44.87546264102354,2021-12-16,2242.7148167000000000,20658.677689789012,927067.7188810733,149564.03739423247,-777503.6814868408,-0.0007775036814868408
14,1639541159,6.738042519488319232,44.535334910753434,2021-12-15,2225.7164515500000000,20140.295745048636,896954.8162073634,135706.16908520737,-761248.647122156,-0.000761248647122156
12,1639437479,6.737320846192701792,44.19520718048334,2021-12-14,2208.7180864000000000,19533.848792186403,863302.4944029123,131605.80667397357,-731696.6877289388,-0.0007316966877289388
11,1639385639,6.735799869081812666,43.67812968872316,2021-12-13,2182.8764062500000000,21749.308093775617,949969.0995599277,146498.9866106738,-803470.1129492539,-0.0008034701129492538
9,1639281959,6.735107143360377542,43.161052196963,2021-12-12,2157.0347261000000000,21511.09161879818,928441.3481726014,144879.50682324718,-783561.8413493542,-0.0007835618413493542
7,1639178279,6.957541277202360139,43.161052196963,2021-12-11,2157.0347261000000000,20089.753949012866,867094.9188174878,139775.29234909613,-727319.6264683916,-0.0007273196264683916
6,1639126439,6.957541277202360139,43.161052196963,2021-12-10,2157.0347261000000000,21045.44796610322,908343.6781734498,146424.5729213776,-761919.1052520722,-0.0007619191052520723
4,1639022759,6.957541277202360139,43.161052196963,2021-12-09,2157.0347261000000000,23036.509133446463,994279.9731444976,160277.46317860292,-834002.5099658947,-0.0008340025099658947
2,1638919079,7.181248409371189892,41.911005640457255,2021-12-08,2094.5618786050000000,22072.965208040943,925100.1693358207,158511.44629034962,-766588.7230454711,-0.0007665887230454712
0,1638815400,7.181149451213326868,40.73113952860164,2021-12-07,2035.5963982500000000,23865.3893454435,972064.503333662,171380.92760102398,-800683.5757326381,-0.0008006835757326382
94,1638659889,7.176335192885870638,50.61747404833633,2021-12-05,2529.6799709950000000,24624.838157241036,1246447.1063686302,176716.09268692773,-1069731.0136817025,-0.0010697310136817025
92,1638556208,7.176335192885870638,50.61747404833633,2021-12-04,2529.6799709950000000,27675.58591164428,1400868.2516551567,198609.28116146926,-1202258.9704936875,-0.0012022589704936875
91,1638504368,7.176335192885870638,50.61747404833633,2021-12-03,2529.6799709950000000,28804.084147365073,1457989.9818153474,206707.762765582,-1251282.2190497655,-0.0012512822190497656
89,1638400688,7.326193761939822710,40.80131997325176,2021-12-02,2039.1037653900000000,28957.91012795457,1181520.956887342,212151.26053823475,-969369.6963491073,-0.0009693696963491073
87,1638297007,7.326193761939822710,40.80131997325176,2021-12-01,2039.1037653900000000,29572.578639952728,1206600.2435228615,216654.4411564965,-989945.802366365,-0.000989945802366365
86,1638245167,7.326193761939822710,40.80131997325176,2021-11-30,2039.1037653900000000,30191.67778013158,1231860.305636464,221190.0814152971,-1010670.2242211668,-0.0010106702242211668
84,1638141487,7.326193761939822710,40.80131997325176,2021-11-29,2039.1037653900000000,29957.754299821652,1222315.9188670819,219476.3126730793,-1002839.6061940026,-0.0010028396061940025
82,1638037806,7.472159461424622227,40.75722198940639,2021-11-28,2036.8999061775000000,29086.99416872529,1185505.0783393057,217342.65868224346,-968162.4196570623,-0.0009681624196570623
81,1637985966,7.472159461424622227,40.75722198940639,2021-11-27,2036.8999061775000000,28655.24810877619,1167908.3083309089,214116.58327546198,-953791.7250554468,-0.0009537917250554468
79,1637882286,7.472159461424622227,40.75722198940639,2021-11-26,2036.8999061775000000,32033.712846802155,1305605.1456420147,239361.01053279213,-1066244.1351092225,-0.0010662441351092225
77,1637778605,7.472159461424622227,40.75722198940639,2021-11-25,2036.8999061775000000,31159.30253775918,1269966.6105665248,232827.27726890944,-1037139.3332976154,-0.0010371393332976155
76,1637726765,7.472159461424622227,40.75722198940639,2021-11-24,2036.8999061775000000,31744.651168658496,1293823.7946572832,237201.09557951574,-1056622.6990777676,-0.0010566226990777676
74,1637623085,7.472159461424622227,40.75722198940639,2021-11-23,2036.8999061775000000,31156.476135157685,1269851.4142482642,232806.1579379689,-1037045.2563102953,-0.0010370452563102954
72,1637519404,7.471280321602801859,40.76666718575058,2021-11-22,2037.3719432450000000,31848.793156496457,1298369.1508787016,237951.26157693,-1060417.8893017715,-0.0010604178893017715
71,1637467564,7.465189960743098260,40.854917646844115,2021-11-21,2041.7823850550000000,32142.503986895827,1313179.3533479876,239949.89807611972,-1073229.455271868,-0.001073229455271868
69,1637363884,7.465189960743098260,40.854917646844115,2021-11-20,2041.7823850550000000,32039.40775970088,1308967.3654762378,239180.26515587352,-1069787.1003203643,-0.0010697871003203644
67,1637260203,7.465189960743098260,40.854917646844115,2021-11-19,2041.7823850550000000,32377.243336402305,1322769.6101405486,241702.27191144685,-1081067.3382291016,-0.0010810673382291016
66,1637208363,7.465189960743098260,40.854917646844115,2021-11-18,2041.7823850550000000,31347.895196311714,1280715.6766472154,234017.99250993298,-1046697.6841372824,-0.0010466976841372825
64,1637104683,7.458207879450540660,40.98151554478564,2021-11-17,2048.1092943450000000,30903.60749693785,1266476.6710257125,230485.52893710867,-1035991.1420886038,-0.001035991142088604
62,1637001002,7.458207879450540660,40.98151554478564,2021-11-16,2048.1092943450000000,33598.59272012667,1376921.2498427925,250585.2889636983,-1126335.9608790942,-0.0011263359608790942
61,1636949162,7.458207879450540660,40.98151554478564,2021-11-15,2048.1092943450000000,33731.688844140765,1382375.730718027,251577.94752454455,-1130797.7831934826,-0.0011307977831934825
59,1636845482,7.458207879450540660,40.98151554478564,2021-11-14,2048.1092943450000000,32899.45813707589,1348269.6550595998,245370.9979075926,-1102898.657152007,-0.001102898657152007
57,1636741801,7.458207879450540660,40.98151554478564,2021-11-13,2048.1092943450000000,32336.23586414503,1325187.9527263143,241170.36911373763,-1084017.5836125766,-0.0010840175836125765
56,1636689961,7.455267002096960499,50.879993545308196,2021-11-12,2542.7997547450000000,33859.330749128036,1722762.5299640899,252430.3512470612,-1470332.1787170286,-0.0014703321787170286
54,1636586281,7.455267002096960499,50.879993545308196,2021-11-11,2542.7997547450000000,33005.203235212735,1679304.5275692092,246062.60257698534,-1433241.924992224,-0.001433241924992224
