,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
47,1639541169,9213831.297805716529495108,128215782.45948638,2021-12-15,6252054385.82093773,0.7663686621235996,98260557.66660707,7061191.5647319155,-91199366.10187516,-0.09119936610187515
45,1639437489,9587868.161440403653143743,128331255.14768605,2021-12-14,6257685061.80210574,0.7526255701382519,96585384.0720847,7216074.741414476,-89369309.33067022,-0.08936930933067022
43,1639333808,10210341.267369366252416480,129195766.10864994,2021-12-13,6299840321.01750296,0.8389389040909576,108387354.43238246,8565852.513241537,-99821501.91914093,-0.09982150191914094
42,1639281968,10190015.202332282037641462,129216651.01395155,2021-12-12,6300858710.18367000,0.8471104717045299,109460778.19250813,8632068.584724028,-100828709.6077841,-0.1008287096077841
40,1639178288,10178059.673213578091202558,129220862.73854226,2021-12-11,6301064082.17995633,0.8062302145857971,104181763.89465676,8205859.2344020335,-95975904.66025473,-0.09597590466025473
38,1639074607,9676854.869904406796224069,128391807.65676187,2021-12-10,6260637721.55021076,0.8654178944527172,111112567.84729311,8374523.366437193,-102738044.48085591,-0.10273804448085591
37,1639022767,9175775.139274630803478760,128198932.79790206,2021-12-09,6251232763.09566075,0.9115740539183241,116862820.87858638,8364398.541551552,-108498422.33703484,-0.10849842233703484
35,1638919087,9174473.925585498492394712,128218971.82044466,2021-12-08,6252209905.35047250,0.8986824289118084,115228137.02817191,8244938.51143323,-106983198.51673868,-0.10698319851673868
33,1638815406,9185916.056850768143644834,128264448.22962351,2021-12-07,6254427424.73852494,0.8609838474621042,110433618.12934513,7908925.349091294,-102524692.78025384,-0.10252469278025385
32,1638763566,9175751.414149619497524519,128325499.11378947,2021-12-06,6257404386.23878750,0.83230064256456,106805395.36982486,7636983.798009397,-99168411.57181546,-0.09916841157181545
30,1638659886,9173778.865193792102725619,128458224.8657324,2021-12-05,6263876355.62998474,0.8862815347940813,113850152.69092454,8130550.812505459,-105719601.87841909,-0.10571960187841908
28,1638556205,9172536.848947897945998089,128458402.31999753,2021-12-04,6263885008.64988235,1.0464369230641324,134423615.26547262,9598481.23690541,-124825134.02856721,-0.12482513402856721
