Token,Position,"Position($,Billion)"
TUSD,-48990218.51920927,-0.048990218519209275
RAI,-6353975.497557215,-0.0063539754975572155
GUSD,-2911591.1399999987,-0.002911591139999999
YFI,-50425219.76337787,-0.05042521976337787
BAT,-4319219.401161765,-0.004319219401161764
MANA,-40156524.78384253,-0.040156524783842525
DPI,-42267664.69991126,-0.04226766469991126
UNI,-42434058.524075225,-0.042434058524075224
WBTC,-1120772237.3782694,-1.1207722373782694
REN,-21010846.13356322,-0.02101084613356322
BUSD,-3820800.7093398096,-0.0038208007093398096
LINK,-536392910.42188823,-0.5363929104218882
SUSD,-23340503.134012368,-0.02334050313401237
DAI,-410787181.3721516,-0.4107871813721516
AAVE,-319555661.18637294,-0.31955566118637296
FRAX,-4676662.505194716,-0.004676662505194716
XSUSHI,-93042391.57995132,-0.09304239157995131
PAX,-7096643.030289832,-0.007096643030289832
FEI,-18985794.936799392,-0.018985794936799392
MKR,-116335754.38697618,-0.11633575438697619
USDC,-558725531.4760833,-0.5587255314760833
BAL,-5217853.411932564,-0.005217853411932564
SNX,-6389868.2964968365,-0.006389868296496837
WETH,-3915087747.6128407,-3.9150877476128407
AMPL,-9527278.288049158,-0.009527278288049158
RENFIL,-1258171.62753864,-0.00125817162753864
CRV,-37474072.26299499,-0.03747407226299499
USDT,-119831290.49928963,-0.11983129049928963
KNC,-963716.8333728549,-0.0009637168333728549
ZRX,-12994533.115242166,-0.012994533115242166
ENJ,-21601924.661185924,-0.021601924661185923
