,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,6546214,1539981394,0xdf7d1baac4a7056dd54dcd4e47d6a0ee8e8bee51bc0e8f8157f80fe92ee9c431,2137,0xb33f18e01da253b9ea1ecdb7010e8011647bd4b07e5ff40078d1d93d3374ba19,0x47de053b3f48bebd953f6b84206eec1eda6aa492,0xcce629ba507d7256cce7d30628279a155c5309c5,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,500,Asobicoin promo,ABXP,0,148,300000,6000000000,51272,6624429,deprecated,7523270
1,6961974,1545912505,0xb3f3b3af48e0d4a43cc280f382e84ad0b961a9430ea142fce25d60c6abc6da1d,135,0x84a79e98fc9cdd06e91ece234358952d3bee4478c7e51c66ec3ed68aaf9864cd,0x1615aecb476aec5f6066dcf2e80716ccf0e7345c,0x85332b222787eacab0fff68cf3b884798823528c,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,666,WinETHFree,winethfree.com (Win ETH Free),0,30,2000000,4000000000,1702926,3184073,deprecated,7107510
2,7395001,1552940623,0xc13fcc31bca22217fb636e592811d61809d33cf784c09d2692e794665a9e0077,121,0xbb1e2233f7275db37ef02a0dcd04c0d1325d04de40e5e06e8ae89a1ab8ce164b,0x9ae49c0d7f8f9ef4b864e004fe86ac8294e20950,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,1000001,Wrapped BTC,WBTC,8,46,255796,3000000000,206465,6878457,deprecated,6674483
3,7395026,1552940919,0x4a42f86be62be21bbc340ee997dfad710ffe357c8b54f51eb811e6d4d7981f08,122,0xb3d52d799f2d6769702c6994829818b3f3f37152021edf1626dda749743ec3c9,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x1ab601a2e158fbfd44b314e3a9dae742332c7f48,1000000,Wrapped BTC,WBTC,8,99,235546,10000000000,157031,4519740,deprecated,6674458
4,7412628,1553177843,0xf6ef3a0df2a4c69c835ead901cfab8167561bd5f3c48a2fec51076203ca71a92,127,0xde78ff87c08d324dcff5d019aaa3a874cea1511afd0f3998bbc469dcd931af4f,0x9ae49c0d7f8f9ef4b864e004fe86ac8294e20950,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,1021271,Wrapped BTC,WBTC,8,65,237796,11600000000,191465,3158648,deprecated,6656856
5,7412633,1553177898,0x2bfbfdea02dae5ea52919cfe67d38850e8e88fe5378ca6eaf468bcb2669f56a0,128,0x1e10c486e8d66bd18196c47185dac9e163d4e6dd169e31ee7264279455f17793,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x1ab601a2e158fbfd44b314e3a9dae742332c7f48,1000000,Wrapped BTC,WBTC,8,14,235546,11600000000,157031,837289,deprecated,6656851
6,7535853,1554839133,0x1d990a75e70c6aa607ba4c793124dd91425e740dc902e16dbce16eec8b77fb0a,526580,0x4ae64cfdccfd9ffa84f5ca378c268791dd42e0c7631e1167f58b09f84a3d5bd2,0x59a5208b32e627891c389ebafc644145224006e8,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,2966795478370000000000,Sai Stablecoin v1.0,SAI,18,95,157278,3000000000,52426,4533594,deprecated,6533631
7,7549087,1555017301,0x2b0b308bc2f01006d7e0b24988d55d73e8aab8506999bbe769c545c7401a249e,134,0xbcada35047b02f0c7891f6a75b1c56359ae2d309820c45cacb0bd96f7a2202e9,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x083fc10ce7e97cafbae0fe332a9c4384c5f54e45,1483000000000000000000,Sai Stablecoin v1.0,SAI,18,5,55371,10000000000,37362,408907,deprecated,6520397
8,7549092,1555017381,0x7480953ff87cb40c094be8591bbd83e5a205b813ed74d84e966c9f42c4dca178,135,0xedbf8f4414bbfcc55e4c804e34a917b2b22091ada08524e0b975ffe81b74d8c1,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x497b91c076701f954ecba97d1b6de1c47b2838ed,1483000000000000000000,Sai Stablecoin v1.0,SAI,18,18,78543,20000000000,52362,696895,deprecated,6520392
9,7559277,1555154237,0xd82707c09e77d493c58248af1f369a1d895496815c1a97b85d2248bd98dd7491,136,0xa4b3b2c0297bcf0a60f64b3a2b2bf99e8d641d3bc47211b73a60e48fb1ca23ff,0x9ae49c0d7f8f9ef4b864e004fe86ac8294e20950,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,965532,Wrapped BTC,WBTC,8,118,342112,5000000000,194998,5070320,deprecated,6510207
10,7559284,1555154330,0xcd19b4e373e0bce999039ebb921cd8f93c766bd8278cdf67118cf65d125267ef,137,0x1319a72068b5e3016c548c58e8fc20b23ebcbf9bf6ab288e42244ae5960d85b9,0x9ae49c0d7f8f9ef4b864e004fe86ac8294e20950,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,321844,Wrapped BTC,WBTC,8,74,342112,5000000000,194998,4451044,deprecated,6510200
11,7559288,1555154394,0xb0d70486a938cd6e4f646e7d9e27cc2cfd1f0fb8eed796106aad87d088f3197a,138,0x1894474a935bfc19105ad0ba124c07bf66eacfcb8e69b5eec4647a45feeb25d4,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x1ab601a2e158fbfd44b314e3a9dae742332c7f48,1000000,Wrapped BTC,WBTC,8,13,235450,1000000000,156967,4274903,deprecated,6510196
12,7559295,1555154572,0x02de3a69c34fa015748b91ce612b14a3fab3bfa161f2abd368952bb58a5f04e3,139,0x9ada585ced46a7cdead6c5bed7d087d226c59daf19ba5bba75cb1da54d425fb8,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x1ab601a2e158fbfd44b314e3a9dae742332c7f48,300000,Wrapped BTC,WBTC,8,129,235546,5000000000,157031,5607765,deprecated,6510189
13,7565721,1555240317,0x9ececa5c1ad471d90e84523763631d16d6158ec6d5b38fbd6637117bdb1d552b,1127,0xd55ad3503c5f7012c08128fdc6b2d2d53dcc640df59f9f56faa5555b31c53586,0xbb530108497bd5007b74443119a8de8f33cc98bf,0xc3761eb917cd790b30dad99f6cc5b4ff93c4f9ea,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,990000000000000000,ERC20,ERC20,18,8,3197037,1000000000,3196715,3439474,deprecated,6503763
14,7599086,1555689399,0x00c14bf9f2a23e89e2b05b4e6cb0549059c10faa60693707f35c918793cc2fce,142,0xb71e3223faae6312cf1a81c09951fcb00c9bff76b8bba2691a8449614eb95264,0x9ae49c0d7f8f9ef4b864e004fe86ac8294e20950,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,10327391236173941357,Raiden,RDN,18,65,376184,3000000000,238391,7126418,deprecated,6470398
15,7599131,1555689917,0x3bd1cb4ce76386c1a37c58b009a379f73cf051f552eef89e7238885b8de527b6,143,0xbfec1215944db9af9542f0a4db035893cd76ef5530a2aa189bca937ab95b3da7,0x9ae49c0d7f8f9ef4b864e004fe86ac8294e20950,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,12628530227955234853,KyberNetwork,KNC,18,60,380000,4000000000,242581,5790865,deprecated,6470353
16,7599133,1555689938,0xcbd3735126d102f06be4d452947eb4e7694e3486c683637bdc6135f182c90468,144,0x2562220342001167ab723fbb43f2ec936dd5cb50dc1b9442b681c9c2b734038f,0x9ae49c0d7f8f9ef4b864e004fe86ac8294e20950,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,3531435135150000000,Sai Stablecoin v1.0,SAI,18,28,500000,4000000000,287437,2493186,deprecated,6470351
17,7599194,1555690765,0xf95ed7da798f5111853894ed1d4a40aef40790d46ef30e7535ebd3d8986f129a,147,0xadf753107ddb9cf1591f52fdf85b31d72cb9a5223ecb4ff933ff2e013a91052b,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x1ab601a2e158fbfd44b314e3a9dae742332c7f48,4000000000000000000,Sai Stablecoin v1.0,SAI,18,8,235153,4000000000,156769,372145,deprecated,6470290
18,7599226,1555691139,0x3da1f4c01992b29373e8b9bf37105822c796efaa6bf1f9a5c46bf278a9923465,148,0x690b68e6da39d0b173fbd1dd6e51316317ec7224231b2247e5450dc8e208da14,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0x1ab601a2e158fbfd44b314e3a9dae742332c7f48,12000000000000000000,KyberNetwork,KNC,18,107,234325,3000000000,156217,5811790,deprecated,6470258
19,7599256,1555691562,0xeac363bf913c3c3b181743c751a4ba46df3531d0f6a694d74132431eaf6ac596,150,0xc24c1e8f276dad85d92d67e3a3fc67555eb723fdafe562ccde72b1df2dc92699,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,0x1ab601a2e158fbfd44b314e3a9dae742332c7f48,10000000000000000000,Raiden,RDN,18,70,256812,4000000000,171208,5771556,deprecated,6470228
20,7599668,1555696985,0xc068117a2d985b7c26688d462438dce7e5bf324b0eb4ce16096617511ecac5fb,151,0x41a4dbd944fa93fac4c78e2b1fb01f75bae915e988533e71e1144a5a87bf9a54,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0x1ab601a2e158fbfd44b314e3a9dae742332c7f48,628530200000000000,KyberNetwork,KNC,18,95,234421,3000000000,156281,7164718,deprecated,6469816
21,7599685,1555697219,0x0b6cfe940d9df10cafa339733f98b1679da8cc74b7e3ab55226b60333e1ab703,152,0x4b9fbcc5301b6ae0bcc4460df775ed3db9debd017383575f90e86e126c795f81,0x1ab601a2e158fbfd44b314e3a9dae742332c7f48,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,628530200000000000,KyberNetwork,KNC,18,61,118513,1100000000,79009,3563321,deprecated,6469799
22,7599709,1555697452,0x94e27185e5717f9f3421e20c8aedcff34f296fcbbe39a8b09289713cef579923,103,0x592bacd206e40339b141e67c9e29e7f12d21af85f22fe481a0b36b9c59b090be,0x1ab601a2e158fbfd44b314e3a9dae742332c7f48,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,17100000000000000000,KyberNetwork,KNC,18,40,380000,3000000000,314359,3273489,deprecated,6469775
23,7599715,1555697586,0xfd61b9e6325279f712bc52950028ecf0f16ca861150c0a9fa23f4279e6dc6fde,153,0xdfbe7f3762745433dd62b17e71c2427375e809c8cc07d1f666eb54c5124f0720,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0x1ab601a2e158fbfd44b314e3a9dae742332c7f48,17000000000000000000,KyberNetwork,KNC,18,110,234325,1000000000,156217,6150880,deprecated,6469769
24,7599726,1555697733,0xfedad4a95a020f09c6e67b1f708c9eab4d9922e5a4e450dc866b88abc53b4060,154,0x730a33a97ba6c0a0e914101c786f79f4f68b1032a3d1a2e665cbbc31c82c4d48,0x1ab601a2e158fbfd44b314e3a9dae742332c7f48,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,17000000000000000000,KyberNetwork,KNC,18,154,118513,2000000000,79009,7288235,deprecated,6469758
25,7599852,1555699593,0xcd57a323bb6d15b667c18c0fe1c5f6786e60b86508a779071cc46817e2e7c62d,155,0xe4ce1499d422ee77b5caa1b689aa2bd71fd0d6f0c4a7dcebcd76fe6a71fcf6c8,0x9ae49c0d7f8f9ef4b864e004fe86ac8294e20950,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,5308694999999999984,Sai Stablecoin v1.0,SAI,18,25,500000,3000000000,384501,1260636,deprecated,6469632
26,7599858,1555699678,0x37fdd05d86eccdc817d6362ce76c19b80f505208b5fb083912db4f9e4e81aad5,156,0xcbf0fcb8396a5bb1f0881c6245fbdc950fd20178de2edc73eb54e156f2c26dcc,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x1ab601a2e158fbfd44b314e3a9dae742332c7f48,5000000000000000000,Sai Stablecoin v1.0,SAI,18,106,235153,3000000000,156769,7508026,deprecated,6469626
27,7600168,1555703951,0x92ef936565f7e126fa5b44c966495f6ad51bd34c26068520f7c97ccd1acff7b4,157,0x49260e83c37081ec1c441be0b4888670b818f3dfaeeee8626776edc219d94a04,0x9ae49c0d7f8f9ef4b864e004fe86ac8294e20950,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,3000021050249999999,Sai Stablecoin v1.0,SAI,18,85,500000,3000000000,369843,7676041,deprecated,6469316
28,7600182,1555704173,0x2434de52d09c7db0ced4d7f315dce1d8506f83825a1811eaffcf056287316c04,158,0xcd3b91c84210988817af491963e393007515fb7049c0df94847441a4bb9da52f,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x1ab601a2e158fbfd44b314e3a9dae742332c7f48,3000000000000000000,Sai Stablecoin v1.0,SAI,18,132,235153,3000000000,156769,7683646,deprecated,6469302
29,7600206,1555704475,0xb5c80ac204317bd5a659ce5ba202c70c98b2a430797e4525cf642de31faa2115,159,0x5ee0d35541419560556ff0a08a50b97ee901cbc9c18c4df228c40a380e59c7eb,0x9ae49c0d7f8f9ef4b864e004fe86ac8294e20950,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,20533640053155226512,Raiden,RDN,18,49,358244,3000000000,223441,4594772,deprecated,6469278
30,7600212,1555704520,0xde4b0af019a245f3d9df17944ab7c04ddf9540e44322c0026de8f1fd57397402,160,0x27e54239ad2fb98c373473dc0f9767f6b5878757b4dcc42aa4c23eb5bbac3b6e,0x4d37f28d2db99e8d35a6c725a5f1749a085850a3,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,0x1ab601a2e158fbfd44b314e3a9dae742332c7f48,20000000000000000000,Raiden,RDN,18,69,234408,3000000000,156272,5477523,deprecated,6469272
