,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,6016808,1532363694,0xd9e5cbd1765657e4600708b41e0932e1ece3e28253f90b542d49e17c2540444a,0,0x63c298c9162c35c365bc2736de4ac2df10b0596e2502962933f6b3bf12eb359e,0xb47494b3d487b82b78af230c8460a12272389755,0x43c9b7b7ce699ac2c1d3aad3b5a78274a0f9c86d,0x4defa30195094963cfac7285d8d6e6e523c7f90d,59,,,0,152,500000,6000000000,94196,7317595,deprecated,8052690
1,6629301,1541156534,0x51f662378a5e158bece87f19c5537fe69805e7163fe409f782000a66b0a44582,7,0x315a2dc749155e62cd146ca74b5553d4b4ebec0d7d98e3a184c57a166c419a35,0x09cabec1ead1c0ba254b09efb3ee13841712be14,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x4defa30195094963cfac7285d8d6e6e523c7f90d,1962145581583193733,Sai Stablecoin v1.0,SAI,18,121,93573,9450000000,61793,6396008,deprecated,7440197
2,6629306,1541156649,0x31f62df00bd7be033d6e4c959dfc7f596c2ec0902cda9d87c3b9c35a032b817d,8,0x608338dea08bb4a6d9deedb76a8efc852624c9683302fc0552dab2d6eb6d939a,0x4defa30195094963cfac7285d8d6e6e523c7f90d,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x09cabec1ead1c0ba254b09efb3ee13841712be14,1899990690552313612,Sai Stablecoin v1.0,SAI,18,51,121995,9000000000,80455,3117984,deprecated,7440192
3,6629306,1541156649,0x31f62df00bd7be033d6e4c959dfc7f596c2ec0902cda9d87c3b9c35a032b817d,8,0x608338dea08bb4a6d9deedb76a8efc852624c9683302fc0552dab2d6eb6d939a,0x0000000000000000000000000000000000000000,0x09cabec1ead1c0ba254b09efb3ee13841712be14,0x4defa30195094963cfac7285d8d6e6e523c7f90d,9659152971520629,Uniswap V1,UNI-V1,18,51,121995,9000000000,80455,3117984,deprecated,7440192
4,6631567,1541188584,0xb36f12039499caa104be5b61bd31cbe53b2dfb715b4ba66ba5025227486fe8e2,9,0xe6a2e9e42318344f125eeb186dab91ad1abf3e7f29014ffe90dc292a4e45cf6e,0x49c4f9bc14884f6210f28342ced592a633801a8b,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0x4defa30195094963cfac7285d8d6e6e523c7f90d,2305393265221633224,KyberNetwork,KNC,18,92,93529,50000000000,61766,2012584,deprecated,7437931
5,6667151,1541692849,0xda7f108b480d3f9e09920fb4a20bad21b33b7461b16c80c48571f3dc8a1bf0ac,11,0xdc172dfa32e76642598fb1e0c922a6c72f731c4ce4effadee1f343caf3c1053f,0x09cabec1ead1c0ba254b09efb3ee13841712be14,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x4defa30195094963cfac7285d8d6e6e523c7f90d,1984025605099764083,Sai Stablecoin v1.0,SAI,18,72,102315,5000000000,67549,6621216,deprecated,7402347
6,6667151,1541692849,0xda7f108b480d3f9e09920fb4a20bad21b33b7461b16c80c48571f3dc8a1bf0ac,11,0xdc172dfa32e76642598fb1e0c922a6c72f731c4ce4effadee1f343caf3c1053f,0x4defa30195094963cfac7285d8d6e6e523c7f90d,0x09cabec1ead1c0ba254b09efb3ee13841712be14,0x0000000000000000000000000000000000000000,9659000000000000,Uniswap V1,UNI-V1,18,72,102315,5000000000,67549,6621216,deprecated,7402347
7,6667168,1541693084,0xb7a7b15962eaa21787d02069f6aa62ef6461d63ac3d1d3cece613cbfa579ad45,12,0xd56d7b229feab820ebcd4dbc5f7fc2e61508a12449426e7aebce793cb8ba5d29,0x4defa30195094963cfac7285d8d6e6e523c7f90d,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x09cabec1ead1c0ba254b09efb3ee13841712be14,2040000000000000000,Sai Stablecoin v1.0,SAI,18,122,159382,5000000000,105016,6889549,deprecated,7402330
8,6667168,1541693084,0xb7a7b15962eaa21787d02069f6aa62ef6461d63ac3d1d3cece613cbfa579ad45,12,0xd56d7b229feab820ebcd4dbc5f7fc2e61508a12449426e7aebce793cb8ba5d29,0x4e395304655f0796bc3bc63709db72173b9ddf98,0x42d6622dece394b54999fbd73d108123806f6a18,0x4defa30195094963cfac7285d8d6e6e523c7f90d,40223607332617063711,SPANK,SPANK,18,122,159382,5000000000,105016,6889549,deprecated,7402330
9,6667174,1541693163,0x8b47aafdb6b95ad98ce8279dc1835d1d1110992c8ca2f2284e6e67b9324e7dc7,13,0x80c58b3e9a21b746d8ffd341ea916eed95245bb467feb6bb8f67482c4efee0c8,0x4defa30195094963cfac7285d8d6e6e523c7f90d,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0x49c4f9bc14884f6210f28342ced592a633801a8b,2305000000000000000,KyberNetwork,KNC,18,103,135840,5000000000,89566,6332933,deprecated,7402324
