,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,7768255,1557967840,0xf44249bceb7e0b53af449aea7d79bdbcc3ba8a5310ef3a75a08fb3e2380238af,1,0xe9e8a6c5de174ef2071c1de99e2af0630a73ebf3be983806174c561e51d8dcc1,0x66666ca6c60c1b1b6b0a8850e6edb3e5b93fb340,0xb8c77482e45f1f44de1745f52c74426c631bdd52,0x66666600e43c6d9e1a249d29d58639dedfcd9ade,754600310000000000,BNB,BNB,18,40,52514,16900000000,37514,2120449,deprecated,6301225
1,7768354,1557969174,0x55429de07f4b749d82e9d52d3c149e1ce2ab76a8acc8f3436315854f9cf31d99,2,0x18b819984c4fb56afde64b3a121b5fda58e8426b26b9c8eb490e265e4f8219bf,0x66666ca6c60c1b1b6b0a8850e6edb3e5b93fb340,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x66666600e43c6d9e1a249d29d58639dedfcd9ade,1705209319779777536,Sai Stablecoin v1.0,SAI,18,152,52298,13000000000,37298,7617337,deprecated,6301126
2,7785950,1558206898,0x15395298de3cf22057a31f6a8777e0f740c060486af5d9d44c2c352e85d1dbed,1,0x76086a8eb15e0e56682f041c504873da91234c297ce758aace956558847301e3,0x66666600e43c6d9e1a249d29d58639dedfcd9ade,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x57376313a1a3cc409898ccff7531025b58a8ada0,990099009900990080,Sai Stablecoin v1.0,SAI,18,40,37426,2500000000,37426,7996404,deprecated,6283530
3,7785952,1558206909,0x66e4871f28da9a18ddb73d4123b812f883344308545ec6162cb7af3d905b5545,79,0xfa11f6ef432f4688d9289c47d8d257ab0adb8c824b3f3f31fb9f79ba528ac90d,0xb341c20c37573bd0ab3e69b063e535635f4710f8,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x66666600e43c6d9e1a249d29d58639dedfcd9ade,990099009900990080,Sai Stablecoin v1.0,SAI,18,148,37362,2500000000,37362,7880413,deprecated,6283528
4,7792223,1558291798,0x35ef0d55f6427afa46f4442635bdba0686528e9f70fed5aa1e7d60db9d6ef095,69,0xd204b0ad350e7eeb4515debdc0c177cb2f968b07470212f09b76cd16841b3901,0x57376313a1a3cc409898ccff7531025b58a8ada0,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x66666600e43c6d9e1a249d29d58639dedfcd9ade,1000700490343240320,Sai Stablecoin v1.0,SAI,18,103,37362,2500000000,37362,6380815,deprecated,6277257
5,7799011,1558384089,0x026920e63b0dcd4f780990092d1030fcf4d382524fad2670ab7a7e425196f09a,5,0x9bf2493620bbf8b400bc68d701211eb41ebe5ce83ec72055b88f32c7d95cc1ed,0x66666600e43c6d9e1a249d29d58639dedfcd9ade,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x57376313a1a3cc409898ccff7531025b58a8ada0,10000000000000000,Sai Stablecoin v1.0,SAI,18,82,37234,2500000000,37234,4325520,deprecated,6270469
6,7846566,1559026487,0xe75f7598a06e2495784010d0ef2fb8771e9755f62eb5b1736d0bddc395257103,14,0x12629b47a4dcaa183d6c5abd680b7a8e07599e6039e4065b094837319c9800d0,0x66666600e43c6d9e1a249d29d58639dedfcd9ade,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0xb341c20c37573bd0ab3e69b063e535635f4710f8,2340000000000000,Sai Stablecoin v1.0,SAI,18,79,37298,2500000000,37298,5564123,deprecated,6222914
7,7847900,1559044635,0x62c11d564569f76cb2960c9a8c5c450b83c47bf84bf0eeb684d31c5fc95fd6e4,15,0xd25883081af8a256053cd621ee2b044cf10310f21506765e26735b13b245938c,0x66666600e43c6d9e1a249d29d58639dedfcd9ade,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0xb341c20c37573bd0ab3e69b063e535635f4710f8,2341639147403182,Sai Stablecoin v1.0,SAI,18,94,37362,2500000000,37362,7996273,deprecated,6221580
8,7848681,1559055318,0x7514ad8e60926cd2834e67e231802a45ae4c06107598e3135eb9cf6716caddef,591333,0x69e65ebf3822f1234414c226432e7091c65a7023d833ecb2c5a191eb2eb7562b,0x59a5208b32e627891c389ebafc644145224006e8,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x66666600e43c6d9e1a249d29d58639dedfcd9ade,47235264650000000000,Sai Stablecoin v1.0,SAI,18,125,112086,15000000000,37362,5278237,deprecated,6220799
9,7848766,1559056413,0x53b691d32bbad3c659d5b05260fe2626a01e98bbf42e64273ee5cc3ded209bd4,17,0x853651c029fd642d4ed3b1326a73ea882ddd7cc674c735d3c2298e664de24204,0x66666600e43c6d9e1a249d29d58639dedfcd9ade,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x2a0c4181d011165f76cd8fda407de97577554a92,46000000000000000000,Sai Stablecoin v1.0,SAI,18,39,52362,15000000000,52362,1518660,deprecated,6220714
