,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,8291456,1565019248,0x5b489be5d8ad9f774d22d1758e1b845741ba60d7e12bb200930643dba6d339ed,0,0x17f08e1d027050b729b67c5de056697593e8d60273018bcccda1c114d8434893,0x2e642b8d59b45a1d8c5aef716a84ff44ea665914,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x74aa01d162e6dc6a657cac857418c403d48e2d77,9708895769362442869,BAT,BAT,18,51,68321,4000000000,61527,6789056,deprecated,5778043
1,8298650,1565115450,0x4da25fc176f54814b05e24b9d6081f46e6ebab7d670ac2e634d27d032c25c825,1,0x4dc3a207a0f507649dfe4c1d496140cceccc54018b291e6078c11ad106125904,0x3fb2f18065926ddb33e7571475c509541d15da0e,0xb4efd85c19999d84251304bda99e90b92300bd93,0x74aa01d162e6dc6a657cac857418c403d48e2d77,4264277776424146636,Rocket Pool,RPL,18,68,68521,6000000000,61707,2818126,deprecated,5770849
2,8298713,1565116326,0x0087a5a24bf91ce4de42f54de28cebd09dd8f252253b51dad4e0856fba2e1879,2,0xd0b9a35fb18ef186ac369f87b2b860875cdac99b9f3e2da1226a14897fcb2474,0x48b04d2a05b6b604d8d5223fd1984f191ded51af,0x1985365e9f78359a9b6ad760e32412f4a445e862,0x74aa01d162e6dc6a657cac857418c403d48e2d77,103147310972447486,Reputation,REP,18,59,97551,6000000000,87685,3012829,deprecated,5770786
3,8317080,1565363086,0x94edd69e8b9e6c5b1a5c109e01bb6b04130b12ef6aacf8141fdd6a4e2506ca2c,5,0x6891e45f3c6e8648d31df40b854d6487f0076546a8c5875b3666bbb7f27892bb,0x077d52b047735976dfda76fef74d4d988ac25196,0x960b236a07cf122663c4303350609a66a7b288c0,0x74aa01d162e6dc6a657cac857418c403d48e2d77,259121318017002458,Aragon,ANT,18,117,132217,3000000000,118708,5328636,deprecated,5752419
4,8317089,1565363221,0xa16cf7309d3f31e19eb600f43851ad8a5ecf176979af02e0ba7cd39be2153e98,6,0x9a100f9af309866214b3ffec00110155f845da7fffdb1d326fa68816b5443cbb,0x87d80dbd37e551f58680b4217b23af6a752da83f,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x74aa01d162e6dc6a657cac857418c403d48e2d77,47177298465842584,Bancor,BNT,18,160,68633,3000000000,61806,6951525,deprecated,5752410
5,8317100,1565363427,0xdc56b30ac12c8675d68b051778e654295f9b2faec5f333740d14e6b3abf13082,7,0xed8da70dad98dfd823d5bc712bb80cdb8e48012de4c09d97977244dc219d08bd,0x45a2fdfed7f7a2c791fb1bdf6075b83fad821dde,0xf5dce57282a584d2746faf1593d3121fcac444dc,0x74aa01d162e6dc6a657cac857418c403d48e2d77,10205524,Compound Sai,cSAI,8,30,82890,3000000000,74560,3515970,deprecated,5752399
6,8317100,1565363427,0xa3d58f336b00d2ecd62e45aa0a9af36d4925f6fd1c4ea0e045ab01fc383ef973,8,0xed8da70dad98dfd823d5bc712bb80cdb8e48012de4c09d97977244dc219d08bd,0x1c6c712b1f4a7c263b1dbd8f97fb447c945d3b9a,0x41e5560054824ea6b0732e656e3ad64e20e94e45,0x74aa01d162e6dc6a657cac857418c403d48e2d77,489496,Civic,CVC,8,31,67951,3000000000,61192,3577162,deprecated,5752399
7,8317100,1565363427,0xe472b856d056cff64592fb7b37f9d71c4bbd727e9753e2c3022ca03fd4a61073,9,0xed8da70dad98dfd823d5bc712bb80cdb8e48012de4c09d97977244dc219d08bd,0x09cabec1ead1c0ba254b09efb3ee13841712be14,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x74aa01d162e6dc6a657cac857418c403d48e2d77,210284516826590,Sai Stablecoin v1.0,SAI,18,32,68620,3000000000,61793,3638955,deprecated,5752399
8,8317100,1565363427,0x4a795b1bbfa0ae33a66869ca0919c0cea7a0b42e807c6b09b347b6ada4a1b746,10,0xed8da70dad98dfd823d5bc712bb80cdb8e48012de4c09d97977244dc219d08bd,0xd55c1ca9f5992a2e5e379dce49abf24294abe055,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,0x74aa01d162e6dc6a657cac857418c403d48e2d77,8895,DGD,DGD,9,33,68277,3000000000,61482,3700437,deprecated,5752399
9,8317100,1565363427,0xff120a9fdee7642edd620805ebe73055ae78aca03589478516730bbc8b48745b,11,0xed8da70dad98dfd823d5bc712bb80cdb8e48012de4c09d97977244dc219d08bd,0x61792f290e5100fbbcbb2309f03a1bab869fb850,0xc719d010b63e5bbf2c0551872cd5316ed26acd83,0x74aa01d162e6dc6a657cac857418c403d48e2d77,2264327408253325323,Decentralized Insurance Protocol,DIP,18,34,72229,3000000000,65025,3765462,deprecated,5752399
10,8317102,1565363456,0x0f33c34ec76240d3cb9fd7e627d563a8362115ade65e8a01f416304ed626dacc,12,0xde9a465251bc69ea551a39716c9573785ba7ea2d4b1e572efc00988effe54e08,0xf79cb3bea83bd502737586a6e8b133c378fd1ff2,0x4946fcea7c692606e8908002e55a582af44ac121,0x74aa01d162e6dc6a657cac857418c403d48e2d77,50453021700732715,FOAM Token,FOAM,18,132,80693,3000000000,72599,6379248,deprecated,5752397
11,8317106,1565363474,0xa5e9260dd65d81db3801306d73edbc8b79ac8876150016de7868689093f038cd,13,0x9636a26b7a738f342c4e3a2453eaa6091d9b01eb5a67d53c1985ea68b7f0fd83,0x60a87cc7fca7e53867facb79da73181b1bb4238b,0x419d0d8bdd9af5e606ae2232ed285aff190e711b,0x74aa01d162e6dc6a657cac857418c403d48e2d77,8627739,FunFair,FUN,8,26,81842,3000000000,73622,965480,deprecated,5752393
12,8317108,1565363485,0x938b03ffea70eb4010b9b30bf0711fe61f02f952e5ae19519f6665413e1ea2db,14,0xa2f75af2570c19013b62fc95f5e637e46d9ba2ad4a8762c07622cf60b5b8a366,0x26cc0eab6cb650b0db4d0d0da8cb5bf69f4ad692,0x543ff227f64aa17ea132bf9886cab5db55dcaddf,0x74aa01d162e6dc6a657cac857418c403d48e2d77,2974044055147194,DAOstack,GEN,18,29,68939,3000000000,62080,1234728,deprecated,5752391
