,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,9255265,1578688212,0xf523b69c6d5aeef60544720e55a29cacf90ab891704992b63ec219e5fa4d0e1a,477,0x9c5b607bd536f21bbce86e6e9a970f5dd6dc98b03dc39523b0d0fe1cc0b4ca8f,0xc4963e94d919651857c4e11e3424e0554e827f7e,0x6b175474e89094c44da98b954eedeac495271d0f,0xb96abc18d24eeda781f83be55ed737056965944b,4500000000000000000000,Dai Stablecoin,DAI,18,38,78027,20000000000,52018,1367232,deprecated,4814233
1,9287787,1579118943,0x7d7d7b959035e484a65299deb0f620f190da68ec47382d8cf3186dc0f7d65576,5,0x1e93daf9bc2974d8d4d2b7e26571d305e0207130a7e8f0298dbabb6ee1e9e064,0xb96abc18d24eeda781f83be55ed737056965944b,0x6b175474e89094c44da98b954eedeac495271d0f,0x65bf64ff5f51272f729bdcd7acfb00677ced86cd,979969146043857712883,Dai Stablecoin,DAI,18,39,1700000,5000000000,639036,6574871,deprecated,4781711
2,9287787,1579118943,0x7d7d7b959035e484a65299deb0f620f190da68ec47382d8cf3186dc0f7d65576,5,0x1e93daf9bc2974d8d4d2b7e26571d305e0207130a7e8f0298dbabb6ee1e9e064,0x65bf64ff5f51272f729bdcd7acfb00677ced86cd,0x408e41876cccdc0f92210600ef50372656052a38,0xb96abc18d24eeda781f83be55ed737056965944b,20000010415036475132557,Republic,REN,18,39,1700000,5000000000,639036,6574871,deprecated,4781711
3,9287892,1579120589,0xf87927ce4eacdca43df87c380e20bdfca7d7cac1fbaf5ab85f573931440c73eb,1835237,0x8188ed0e9628daf667f4dd591fba1657a081e092d9b552151f17454718931a2c,0x564286362092d8e7936f0549571a803b203aaced,0x408e41876cccdc0f92210600ef50372656052a38,0xb96abc18d24eeda781f83be55ed737056965944b,77000000000000000000,Republic,REN,18,3,207128,40000000000,38183,196687,deprecated,4781606
4,9287921,1579120957,0xeb0f0897618b1bf76af505331974901245b938f8b5def934eeff9677b4cef4c9,6,0x85b399a987a7299290ad6e4bc3bf9a5c86f63a963281d13915a8acb9cfa6f4f3,0xb96abc18d24eeda781f83be55ed737056965944b,0x6b175474e89094c44da98b954eedeac495271d0f,0x65bf64ff5f51272f729bdcd7acfb00677ced86cd,3520000000000000000000,Dai Stablecoin,DAI,18,25,1050000,8000000000,404076,2589892,deprecated,4781577
5,9287947,1579121318,0xa2a460bbeac4e91f3abe691fd41012346770eb8c548aa8fb947c9679e225ead4,52,0xa173c0481b69e3859c58019988dcacc9d309d086011b089852831231f9828e2f,0x0f61cc84840511e8c2079e2a55b50f9a43fab645,0x6b175474e89094c44da98b954eedeac495271d0f,0xb96abc18d24eeda781f83be55ed737056965944b,0,Dai Stablecoin,DAI,18,74,42801,2000000000,28534,9625275,deprecated,4781551
6,9288304,1579126143,0x0278842f1fcc769a9a96f763787e58dfa11b0fee3de5364a923c3f9f17956626,7,0xd615b5c71038239296184bcf4034964407d8b34f354a61a50aef2b6c19fefe3c,0x65bf64ff5f51272f729bdcd7acfb00677ced86cd,0x408e41876cccdc0f92210600ef50372656052a38,0xb96abc18d24eeda781f83be55ed737056965944b,20055999539864132717978,Republic,REN,18,69,369600,8000000000,228565,3846440,deprecated,4781194
7,9288576,1579130046,0x34d6f648d1e9f7bfe27a4142cb234a629d896e86cd72234f407b9c8553ab8719,8,0x5124ed795e097f2ea4a44ac5a81000188a31f2b6c80fde676353a06f2a1a9512,0x65bf64ff5f51272f729bdcd7acfb00677ced86cd,0x408e41876cccdc0f92210600ef50372656052a38,0xb96abc18d24eeda781f83be55ed737056965944b,15004465882581166754997,Republic,REN,18,53,369615,7000000000,228577,4231702,deprecated,4780922
8,9368480,1580187348,0x890906ba1516570f1c213abfb12cca8404caffa057507342436961634e1122eb,7140,0x512ff2d21f9d2be0f4e481aaa2c20287ffcf96487b7dc86096a2cc4612baf5c4,0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e,0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e,0xb96abc18d24eeda781f83be55ed737056965944b,88888800000000,KickToken,KICK,8,6,7000000,1000000000,2728030,3583437,deprecated,4701018
9,9559215,1582721188,0x1b495a1b3919e684a87b79ee55269f6205776ebcf7397d0558269c0649728fd5,5,0x5f317d56d4c04d77b56c8ea666673fec9977daeb5326cbada7a6dcf7acad0174,0x30a224f0d1928b2cb995506e520d8959f0090813,0x6b175474e89094c44da98b954eedeac495271d0f,0xb96abc18d24eeda781f83be55ed737056965944b,900000000000000000000,Dai Stablecoin,DAI,18,80,37018,8000000000,22018,4276375,deprecated,4510283
