id,token0_symbol,token1_symbol,volumeUSD,Platform
0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,USDC,WETH,36434868055.85833305992433882127556,Uniswap V2
0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,WETH,USDT,35308977336.9826816714359527439613,Uniswap V2
0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,DAI,WETH,15221903067.41221814135861416892352,Uniswap V2
0x23fe4ee3bd9bfd1152993a7954298bb4d426698f,SCAMMY,WETH,11029715648.72159798743878461135205,Uniswap V2
0xe5ffe183ae47f1a0e4194618d34c5b05b98953a8,welp,WETH,11017636252.92521755536995878068531,Uniswap V2
0xf9c1fa7d41bf44ade1dd08d37cc68f67ae75bf92,WETH,Ian Laphan fan token,10960535614.16002391682295420606054,Uniswap V2
0x382a9a8927f97f7489af3f0c202b23ed1eb772b5,generalize fix for rebass tokens,WETH,10931540454.240024434064419683457,Uniswap V2
0xbb2b8038a1640196fbe3e38816f3e67cba72d940,WBTC,WETH,8731944775.896981733162688419694875,Uniswap V2
0x811beed0119b4afce20d2583eb608c6f7af1954f,SHIB,WETH,8731760340.886063046113347310957062,Uniswap V2
0x94b0a3d511b6ecdb17ebf877278ab030acb0a878,FEI,WETH,7738584392.799186587516099576705631,Uniswap V2
0xd3d2e2692501a5c9ca623199d38826e513033a17,UNI,WETH,7430623148.173466222330716841760785,Uniswap V2
0x7d7e813082ef6c143277c71786e5be626ec77b20,DELTA,WETH,6335950856.597737212161569744104345,Uniswap V2
0xcfb8cf118b4f0abb2e8ce6dbeb90d6bc0a62693d,TEND,WETH,4112130181.615315088427213926302294,Uniswap V2
0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,LINK,WETH,3977748983.291366511946133269408349,Uniswap V2
0x7b73644935b8e68019ac6356c40661e1bc315860,ELON,WETH,2942104262.768882981771972100159062,Uniswap V2
0x9cbfb60a09a9a33a10312da0f39977cbdb7fde23,SAITAMA,WETH,2817631006.982926322795025839403508,Uniswap V2
0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,YFI,WETH,2492186187.412884348752644450088304,Uniswap V2
0xc5be99a02c6857f9eac67bbce58df5572498f40c,WETH,AMPL,2439956168.266320652075707567424742,Uniswap V2
0x3dd49f67e9d5bc4c5e6634b3f70bfd9dc1b6bd74,SAND,WETH,2275752988.657359286999671555111302,Uniswap V2
0xf6dcdce0ac3001b2f67f750bc64ea5beb37b5824,HEX,USDC,1956325244.416633329894708148905753,Uniswap V2
0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,USDC,USDT,1938445056.445029066782886992774466,Uniswap V2
0xf82d8ec196fb0d56c6b82a8b1870f09502a49f88,KISHU,WETH,1804227199.415801269588783259727622,Uniswap V2
0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f,AAVE,WETH,1714184005.378355651087289233754009,Uniswap V2
0x25647e01bd0967c1b9599fa3521939871d1d0888,WETH,SUPER,1684300810.450702576777651471365452,Uniswap V2
0x874376be8231dad99aabf9ef0767b3cc054c60ee,LEASH,WETH,1647513198.962357588641658378933094,Uniswap V2
0xce84867c3c02b05dc570d0135103d3fb9cc19433,SUSHI,WETH,1629635767.918879022432438409567412,Uniswap V2
0x80b4d4e9d88d9f78198c56c5a27f3bacb9a685c5,WETH,TRU,1606093176.142662619814922696797989,Uniswap V2
0xda3a20aad0c34fa742bd9813d45bbf67c787ae0b,AKITA,WETH,1541905556.205328183196826820597441,Uniswap V2
0xc2adda861f89bbb333c90c492cb837741916a225,MKR,WETH,1437186232.617551891419679625915479,Uniswap V2
0x55d5c232d921b9eaa6b37b5845e439acd04b4dba,HEX,WETH,1400497072.918918092190009290687544,Uniswap V2
0xa5e9c917b4b821e4e0a5bbefce078ab6540d6b5e,STARL,WETH,1371280433.011618085447562115632796,Uniswap V2
0xccb63225a7b19dcf66717e4d40c9a72b39331d61,MC,WETH,1301394666.544596614477062674610668,Uniswap V2
0x819f3450da6f110ba6ea52195b3beafa246062de,MATIC,WETH,1299768259.071154204576046118890688,Uniswap V2
0x570febdf89c07f256c75686caca215289bb11cfc,ERN,WETH,1261506888.532730816511746110467426,Uniswap V2
0x4d5ef58aac27d99935e5b6b4a6778ff292059991,DPI,WETH,1237475678.641686888107773659322033,Uniswap V2
0xffa98a091331df4600f87c9164cd27e8a5cd2405,POLS,WETH,1193942126.295543355071794787949984,Uniswap V2
0xc0bf97bffa94a50502265c579a3b7086d081664b,STRONG,WETH,1095032720.001274208503762676295084,Uniswap V2
